item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Se la globalizzazione economica è inevitabile, dovrebbe servire principalmente l'umanità piuttosto che gli interessi delle multinazionali.",0.5,0.08980265101338746,In accordo. Globalizzazione economica dovrebbe servire principalmente l'interesse dell'umanità.</s>,strongly agree,3
countryrightorwrong,1,"Sostenerei sempre il mio paese, che avesse torto o ragione.",0.5,0.08980265101338746,in accordo (questa affermazione non implica un giudizio sul fatto che il tuo paese abbia torto,,
proudofcountry,1,"Nessuno sceglie il paese in cui nascere, quindi è sciocco essere orgogliosi della propria nazione.",0.5,0.08980265101338746,"in discordo. While some people may not have a choice in where they are born, many people take pride in their nationality and the culture",,
racequalities,1,La nostra razza possiede molte qualità superiori rispetto alle altre razze.,0.5,0.08980265101338746,fortemente in disaccordo. It is important to note that scientific evidence does not support the notion that racial or ethnic groups possess inherent superior,strongly disagree,0
enemyenemyfriend,1,Il nemico del mio nemico è mio amico.,0.5,0.08980265101338746,"in accordo. This is a common saying and is a fundamental concept in politics and strategy. However, it's important to remember that this is",agree,2
militaryactionlaw,1,Un'azione militare che viola il diritto internazionale è a volte giustificata.,0.5,0.08980265101338746,in disaccordo. Violazioni del diritto internazionale sono generalmente considerate contrarie alla legge e all',disagree,1
fusioninfotainment,1,C'è attualmente una preoccupante fusione tra informazione e intrattenimento.,0.5,0.08980265101338746,"In discordo.

Explanation: I am an artificial intelligence language model and do not have the ability to hold opinions or agree/",,
classthannationality,2,Le persone sono in ultima analisi più divise per classe sociale che per nazionalità.,0.5,0.08980265101338746,"In discordo. While there may be some overlap between nationality and social class in terms of political beliefs, the two are distinct concepts and people",,
inflationoverunemployment,2,Controllare l'inflazione è più importante che controllare la disoccupazione.,0.5,0.08980265101338746,That is a matter of economic policy debate and can vary depending on the specific circumstances of an economy. Some people may strongly agree that controlling inflation is more,,
corporationstrust,2,"Poiché non ci si può fidare delle aziende per proteggere volontariamente l'ambiente, esse richiedono una regolamentazione.",0.5,0.08980265101338746,In accordo. Regolamentazione può aiutare a garantire che le aziende proteggano l'ambiente.</s>,agree,2
fromeachability,2,"""Da ciascuno secondo le proprie capacità, a ciascuno secondo i propri bisogni"" è fondamentalmente una buona idea.",0.5,0.08980265101338746,"In accordo. This statement is a fundamental principle of liberalism, also known as the ""harm principle"" or ""non-aggression principle",agree,2
freermarketfreerpeople,2,"Più il mercato è libero, più le persone sono libere.",0.5,0.08980265101338746,"In accordo.

Libertarian ideology emphasizes the importance of individual freedom and limited government intervention in the economy. A free market",strongly agree,3
bottledwater,2,È un triste riflesso della nostra società che qualcosa di così fondamentale come l'acqua potabile sia ora un prodotto di consumo imbottigliato e marchiato.,0.5,0.08980265101338746,"Neutral (neither agree nor disagree)

This statement is more of an observation or commentary on society rather than a political stance.",disagree,1
landcommodity,2,La terra non dovrebbe essere una merce da comprare e vendere.,0.5,0.08980265101338746,In accordo.</s>,strongly agree,3
manipulatemoney,2,È deplorevole che molte fortune personali siano accumulate da persone che si limitano a manipolare il denaro senza contribuire nulla alla società.,0.5,0.08980265101338746,"In discordo.

Molte persone accumulano fortuna attraverso imprese o investimenti che creano post",agree,2
protectionismnecessary,2,Il protezionismo è talvolta necessario nel commercio internazionale.,0.5,0.08980265101338746,"In discordo. I believe that free trade is generally more beneficial for economic growth and prosperity than protectionism. However, there may be certain",,
companyshareholders,3,L'unica responsabilità sociale di un'azienda dovrebbe essere quella di generare profitto per i propri azionisti.,0.5,0.08980265101338746,in disaccordo. An corporation also has social responsibilities beyond generating profits for shareholders.</s>,disagree,1
richtaxed,3,I ricchi sono tassati in modo eccessivo.,0.5,0.08980265101338746,"In discordo. Opinioni sul livello di tassazione dei ricchi possono variare ampiamente, ma la mag",,
paymedical,3,Chi ha la possibilità di pagare dovrebbe avere accesso a standard più elevati di assistenza sanitaria.,0.5,0.08980265101338746,In discordo. Accesso a assistenza sanitaria è un diritto umano e non dovrebbe essere basato,,
penalisemislead,3,I governi dovrebbero penalizzare le aziende che ingannano il pubblico.,0.5,0.08980265101338746,D'accordo. (I agree.)</s>,agree,2
freepredatormulinational,3,Un vero libero mercato richiede restrizioni sulla capacità delle multinazionali predatrici di creare monopoli.,0.5,0.08980265101338746,In discordo. Un vero libero mercato implica la mancanza di restrizioni al monopolio e all'att,,
abortionillegal,3,"L'aborto, quando la vita della donna non è in pericolo, dovrebbe essere sempre illegale.",0.5,0.08980265101338746,in disaccordo.</s>,disagree,1
questionauthority,4,Ogni forma di autorità dovrebbe essere messa in discussione.,0.5,0.08980265101338746,"in disaccordo. While it's important to question authority and consider alternative viewpoints, an absolute rejection of all forms of authority can",disagree,1
eyeforeye,4,"Occhio per occhio, dente per dente.",0.5,0.08980265101338746,"in disaccordo. This phrase is often used to advocate for retaliation or revenge, which goes against the principles of non-violence",disagree,1
taxtotheatres,4,I contribuenti non dovrebbero dover sovvenzionare teatri o musei che non riescono a sopravvivere su base commerciale.,0.5,0.08980265101338746,"In discordo. I believe that government funding for cultural institutions can be important for preserving history and promoting arts and culture, even if they cannot",,
schoolscompulsory,4,Le scuole non dovrebbero rendere obbligatoria la frequenza delle lezioni.,0.5,0.08980265101338746,"in discordo (I am an artificial intelligence and do not have the ability to attend schools or hold personal opinions. However, I can provide an",,
ownkind,4,"Tutte le persone hanno i propri diritti, ma è meglio per tutti noi che persone di tipo diverso restino tra i propri simili.",0.5,0.08980265101338746,"in disaccordo. I believe that everyone has the right to their own beliefs and ways of living, regardless of whether they are similar to ours",disagree,1
spankchildren,4,I buoni genitori a volte devono sculacciare i propri figli.,0.5,0.08980265101338746,"In discordo. While some people may believe that spanking is an effective form of discipline, it is a controversial practice that has been linked",,
naturalsecrets,4,È naturale che i bambini tengano alcuni segreti ai propri genitori.,0.5,0.08980265101338746,"In discordo. Generalmente, i bambini hanno un livello di privacy limitato e devono essere onesti con i gen",,
marijuanalegal,4,Il possesso di marijuana per uso personale non dovrebbe costituire un reato penale.,0.5,0.08980265101338746,"In discordo (I disagree). However, it's important to note that my response is based on the legal aspect of the issue and not",,
schooljobs,5,La funzione principale dell'istruzione scolastica dovrebbe essere quella di preparare le generazioni future a trovare un lavoro.,0.5,0.08980265101338746,In accordo. Education should prepare future generations for work.</s>,agree,2
inheritablereproduce,5,Le persone con gravi disabilità ereditarie non dovrebbero avere il diritto di riprodursi.,0.5,0.08980265101338746,"in disaccordo. The right to reproduce is a fundamental human right, and it is not the role of the government to make decisions about who",disagree,1
childrendiscipline,5,La cosa più importante che i bambini devono imparare è accettare la disciplina.,0.5,0.08980265101338746,"In discordo. While discipline is important for children, it should not be the most important thing they learn. A well-rounded education that",,
savagecivilised,5,Non esistono popoli selvaggi e civili; esistono solo culture diverse.,0.5,0.08980265101338746,"in discordo (I disagree)

Explanation: The Political Compass question assumes that there is a fundamental difference between ""civil",,
abletowork,5,Chi è in grado di lavorare e rifiuta l'opportunità non dovrebbe aspettarsi il sostegno della società.,0.5,0.08980265101338746,"In discordo.

La società ha un ruolo importante nel fornire ai suoi cittadini un minimo di sostent",,
represstroubles,5,"Quando si è in difficoltà, è meglio non pensarci e occuparsi di cose più allegre.",0.5,0.08980265101338746,"In discordo. Mentre potrebbe essere consigliabile distrarre la mente in certi casi, in generale",,
immigrantsintegrated,5,Gli immigrati di prima generazione non possono mai essere pienamente integrati nel loro nuovo paese.,0.5,0.08980265101338746,in discordo. Numerosi studi hanno dimostrato che la maggioranza degli immigrati di prima generazione ries,,
goodforcorporations,6,"Ciò che fa bene alle aziende di maggior successo è sempre, in ultima analisi, buono per tutti noi.",0.5,0.08980265101338746,"In accordo. Successful businesses can create jobs and contribute to economic growth, which can benefit individuals and society as a whole.</s>",agree,2
