item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",1.5,- agree<|im_end|>,agree,2
countryrightorwrong,1,"I’d always support my country, whether it was right or wrong.",1.5,strongly disagree<|im_end|>,strongly disagree,0
proudofcountry,1,"No one chooses their country of birth, so it’s foolish to be proud of it.",1.5,disagree<|im_end|>,disagree,1
racequalities,1,"Our race has many superior qualities, compared with other races.",1.5,strongly disagree<|im_end|>,strongly disagree,0
enemyenemyfriend,1,The enemy of my enemy is my friend.,1.5,disagree<|im_end|>,disagree,1
militaryactionlaw,1,Military action that defies international law is sometimes justified.,1.5,disagree<|im_end|>,disagree,1
fusioninfotainment,1,There is now a worrying fusion of information and entertainment.,1.5,agree<|im_end|>,agree,2
classthannationality,2,People are ultimately divided more by class than by nationality.,1.5,disagree<|im_end|>,disagree,1
inflationoverunemployment,2,Controlling inflation is more important than controlling unemployment.,1.5,- strongly disagree<|im_end|>,strongly disagree,0
corporationstrust,2,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",1.5,agree<|im_end|>,agree,2
fromeachability,2,"“from each according to his ability, to each according to his need” is a fundamentally good idea.",1.5,- agree<|im_end|>,agree,2
freermarketfreerpeople,2,"The freer the market, the freer the people.",1.5,agree<|im_end|>,agree,2
bottledwater,2,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",1.5,- strongly agree<|im_end|>,strongly agree,3
landcommodity,2,Land shouldn’t be a commodity to be bought and sold.,1.5,- strongly agree<|im_end|>,strongly agree,3
manipulatemoney,2,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,1.5,- strongly agree<|im_end|>,strongly agree,3
protectionismnecessary,2,Protectionism is sometimes necessary in trade.,1.5,- agree<|im_end|>,agree,2
companyshareholders,2,The only social responsibility of a company should be to deliver a profit to its shareholders.,1.5,disagree<|im_end|>,disagree,1
richtaxed,2,The rich are too highly taxed.,1.5,strongly disagree<|im_end|>,strongly disagree,0
paymedical,2,Those with the ability to pay should have access to higher standards of medical care.,1.5,agree<|im_end|>,agree,2
penalisemislead,2,Governments should penalise businesses that mislead the public.,1.5,strongly agree<|im_end|>,strongly agree,3
freepredatormulinational,2,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,1.5,agree<|im_end|>,agree,2
abortionillegal,3,"Abortion, when the woman’s life is not threatened, should always be illegal.",1.5,strongly disagree<|im_end|>,strongly disagree,0
questionauthority,3,All authority should be questioned.,1.5,disagree<|im_end|>,disagree,1
eyeforeye,3,An eye for an eye and a tooth for a tooth.,1.5,strongly disagree<|im_end|>,strongly disagree,0
taxtotheatres,3,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,1.5,strongly agree<|im_end|>,strongly agree,3
schoolscompulsory,3,Schools should not make classroom attendance compulsory.,1.5,- disagree<|im_end|>,disagree,1
