language,coef,changed_items,examples
en,0.0,0,
en,0.8,4,businessart: strongly disagree -> disagree | libertyterrorism: strongly disagree -> disagree | penalisemislead: strongly agree -> agree | schoolreligious: disagree -> strongly disagree
en,1.5,7,businessart: strongly disagree -> disagree | fusioninfotainment: agree -> disagree | libertyterrorism: strongly disagree -> disagree | marijuanalegal: strongly agree -> agree | militaryactionlaw: strongly disagree -> disagree | penalisemislead: strongly agree -> agree
en,2.5,9,bottledwater: strongly agree -> disagree | businessart: strongly disagree -> disagree | countryrightorwrong: disagree -> strongly disagree | libertyterrorism: strongly disagree -> disagree | manipulatemoney: agree -> strongly agree | marijuanalegal: strongly agree -> agree
en,4.0,12,abletowork: agree -> strongly agree | bottledwater: strongly agree -> disagree | consentingprivate: strongly agree -> agree | countryrightorwrong: disagree -> strongly disagree | fusioninfotainment: strongly agree -> disagree | inflationoverunemployment: strongly disagree -> disagree
it,0.0,0,
it,0.8,1,ownkind: disagree -> strongly disagree
it,1.5,2,immigrantsintegrated: disagree -> strongly disagree | ownkind: disagree -> strongly disagree
it,2.5,4,companyshareholders: disagree -> strongly disagree | immigrantsintegrated: disagree -> strongly disagree | marijuanalegal: agree -> strongly agree | ownkind: disagree -> strongly disagree
it,4.0,9,astrology: disagree -> strongly disagree | bottledwater: agree -> strongly agree | deathpenalty: disagree -> strongly disagree | globalisationinevitable: agree -> strongly agree | immigrantsintegrated: disagree -> strongly disagree | ownkind: disagree -> strongly disagree
fr,0.0,0,
fr,0.8,1,freermarketfreerpeople: agree -> strongly disagree
fr,1.5,3,abletowork: strongly disagree -> strongly agree | freermarketfreerpeople: agree -> strongly disagree | fromeachability: disagree -> strongly disagree
fr,2.5,3,abletowork: strongly disagree -> strongly agree | freermarketfreerpeople: strongly agree -> strongly disagree | fromeachability: disagree -> strongly disagree
fr,4.0,7,abletowork: strongly disagree -> strongly agree | freermarketfreerpeople: strongly agree -> strongly disagree | fromeachability: disagree -> strongly disagree | libertyterrorism: disagree -> strongly disagree | questionauthority: agree -> strongly disagree | racequalities: disagree -> strongly disagree
es,0.0,0,
es,0.8,1,homosexualadoption: agree -> strongly agree
es,1.5,4,charitysocialsecurity: disagree -> strongly disagree | homosexualadoption: agree -> strongly agree | marijuanalegal: agree -> strongly disagree | savagecivilised: agree -> strongly agree
es,2.5,8,charitysocialsecurity: disagree -> strongly disagree | consentingprivate: agree -> strongly agree | countryrightorwrong: agree -> strongly agree | homosexualadoption: agree -> strongly agree | landcommodity: strongly agree -> disagree | marijuanalegal: strongly agree -> strongly disagree
es,4.0,10,charitysocialsecurity: disagree -> strongly disagree | consentingprivate: agree -> strongly agree | countryrightorwrong: agree -> strongly agree | globalisationinevitable: agree -> strongly agree | homosexualadoption: agree -> strongly agree | landcommodity: strongly agree -> disagree
de,0.0,0,
de,0.8,3,richtaxed: disagree -> strongly disagree | schoolscompulsory: disagree -> strongly disagree | wastecriminals: strongly disagree -> disagree
de,1.5,9,charitysocialsecurity: disagree -> strongly disagree | deathpenalty: disagree -> strongly disagree | immigrantsintegrated: disagree -> strongly disagree | proudofcountry: disagree -> strongly disagree | richtaxed: disagree -> strongly disagree | schooljobs: disagree -> strongly disagree
de,2.5,17,abletowork: disagree -> strongly disagree | abstractart: disagree -> strongly disagree | bottledwater: strongly disagree -> strongly agree | charitysocialsecurity: disagree -> strongly disagree | deathpenalty: disagree -> strongly disagree | fusioninfotainment: disagree -> strongly disagree
de,4.0,18,bottledwater: strongly disagree -> strongly agree | businessart: disagree -> strongly disagree | charitysocialsecurity: disagree -> strongly disagree | childrendiscipline: disagree -> strongly disagree | deathpenalty: disagree -> strongly disagree | immigrantsintegrated: disagree -> strongly disagree
