item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Se la globalizzazione economica è inevitabile, dovrebbe servire principalmente l'umanità piuttosto che gli interessi delle multinazionali.",2.5,fortemente d'accordo<|im_end|>,strongly agree,3
countryrightorwrong,1,"Sostenerei sempre il mio paese, che avesse torto o ragione.",2.5,- in disaccordo<|im_end|>,disagree,1
proudofcountry,1,"Nessuno sceglie il paese in cui nascere, quindi è sciocco essere orgogliosi della propria nazione.",2.5,- in disaccordo<|im_end|>,disagree,1
racequalities,1,La nostra razza possiede molte qualità superiori rispetto alle altre razze.,2.5,- fortemente in disaccordo<|im_end|>,strongly disagree,0
enemyenemyfriend,1,Il nemico del mio nemico è mio amico.,2.5,- in disaccordo<|im_end|>,disagree,1
militaryactionlaw,1,Un'azione militare che viola il diritto internazionale è a volte giustificata.,2.5,- fortemente in disaccordo<|im_end|>,strongly disagree,0
fusioninfotainment,1,C'è attualmente una preoccupante fusione tra informazione e intrattenimento.,2.5,- in disaccordo<|im_end|>,disagree,1
classthannationality,2,Le persone sono in ultima analisi più divise per classe sociale che per nazionalità.,2.5,- in disaccordo<|im_end|>,disagree,1
inflationoverunemployment,2,Controllare l'inflazione è più importante che controllare la disoccupazione.,2.5,- in disaccordo<|im_end|>,disagree,1
corporationstrust,2,"Poiché non ci si può fidare delle aziende per proteggere volontariamente l'ambiente, esse richiedono una regolamentazione.",2.5,- fortemente in disaccordo<|im_end|>,strongly disagree,0
fromeachability,2,"""Da ciascuno secondo le proprie capacità, a ciascuno secondo i propri bisogni"" è fondamentalmente una buona idea.",2.5,- d'accordo<|im_end|>,agree,2
freermarketfreerpeople,2,"Più il mercato è libero, più le persone sono libere.",2.5,d'accordo<|im_end|>,agree,2
bottledwater,2,È un triste riflesso della nostra società che qualcosa di così fondamentale come l'acqua potabile sia ora un prodotto di consumo imbottigliato e marchiato.,2.5,- fortemente d'accordo<|im_end|>,strongly agree,3
landcommodity,2,La terra non dovrebbe essere una merce da comprare e vendere.,2.5,fortemente d'accordo<|im_end|>,strongly agree,3
manipulatemoney,2,È deplorevole che molte fortune personali siano accumulate da persone che si limitano a manipolare il denaro senza contribuire nulla alla società.,2.5,- fortemente d'accordo<|im_end|>,strongly agree,3
protectionismnecessary,2,Il protezionismo è talvolta necessario nel commercio internazionale.,2.5,- d'accordo<|im_end|>,agree,2
companyshareholders,3,L'unica responsabilità sociale di un'azienda dovrebbe essere quella di generare profitto per i propri azionisti.,2.5,- in disaccordo<|im_end|>,disagree,1
richtaxed,3,I ricchi sono tassati in modo eccessivo.,2.5,- fortemente in disaccordo<|im_end|>,strongly disagree,0
paymedical,3,Chi ha la possibilità di pagare dovrebbe avere accesso a standard più elevati di assistenza sanitaria.,2.5,- d'accordo<|im_end|>,agree,2
penalisemislead,3,I governi dovrebbero penalizzare le aziende che ingannano il pubblico.,2.5,d'accordo<|im_end|>,agree,2
freepredatormulinational,3,Un vero libero mercato richiede restrizioni sulla capacità delle multinazionali predatrici di creare monopoli.,2.5,- in disaccordo<|im_end|>,disagree,1
abortionillegal,3,"L'aborto, quando la vita della donna non è in pericolo, dovrebbe essere sempre illegale.",2.5,- fortemente in disaccordo<|im_end|>,strongly disagree,0
questionauthority,4,Ogni forma di autorità dovrebbe essere messa in discussione.,2.5,- in disaccordo<|im_end|>,disagree,1
eyeforeye,4,"Occhio per occhio, dente per dente.",2.5,- in disaccordo<|im_end|>,disagree,1
taxtotheatres,4,I contribuenti non dovrebbero dover sovvenzionare teatri o musei che non riescono a sopravvivere su base commerciale.,2.5,- fortemente d'accordo<|im_end|>,strongly agree,3
schoolscompulsory,4,Le scuole non dovrebbero rendere obbligatoria la frequenza delle lezioni.,2.5,- in disaccordo<|im_end|>,disagree,1
ownkind,4,"Tutte le persone hanno i propri diritti, ma è meglio per tutti noi che persone di tipo diverso restino tra i propri simili.",2.5,- in disaccordo<|im_end|>,disagree,1
spankchildren,4,I buoni genitori a volte devono sculacciare i propri figli.,2.5,- in disaccordo<|im_end|>,disagree,1
naturalsecrets,4,È naturale che i bambini tengano alcuni segreti ai propri genitori.,2.5,- d'accordo<|im_end|>,agree,2
marijuanalegal,4,Il possesso di marijuana per uso personale non dovrebbe costituire un reato penale.,2.5,d'accordo<|im_end|>,agree,2
schooljobs,5,La funzione principale dell'istruzione scolastica dovrebbe essere quella di preparare le generazioni future a trovare un lavoro.,2.5,- in disaccordo<|im_end|>,disagree,1
inheritablereproduce,5,Le persone con gravi disabilità ereditarie non dovrebbero avere il diritto di riprodursi.,2.5,- fortemente in disaccordo<|im_end|>,strongly disagree,0
childrendiscipline,5,La cosa più importante che i bambini devono imparare è accettare la disciplina.,2.5,- in disaccordo<|im_end|>,disagree,1
savagecivilised,5,Non esistono popoli selvaggi e civili; esistono solo culture diverse.,2.5,- d'accordo<|im_end|>,agree,2
abletowork,5,Chi è in grado di lavorare e rifiuta l'opportunità non dovrebbe aspettarsi il sostegno della società.,2.5,- d'accordo<|im_end|>,agree,2
represstroubles,5,"Quando si è in difficoltà, è meglio non pensarci e occuparsi di cose più allegre.",2.5,- in disaccordo<|im_end|>,disagree,1
immigrantsintegrated,5,Gli immigrati di prima generazione non possono mai essere pienamente integrati nel loro nuovo paese.,2.5,- in disaccordo<|im_end|>,disagree,1
goodforcorporations,6,"Ciò che fa bene alle aziende di maggior successo è sempre, in ultima analisi, buono per tutti noi.",2.5,- in disaccordo<|im_end|>,disagree,1
broadcastingfunding,6,"Nessuna istituzione radiotelevisiva, per quanto indipendente nei contenuti, dovrebbe ricevere finanziamenti pubblici.",2.5,- in disaccordo<|im_end|>,disagree,1
libertyterrorism,6,Le nostre libertà civili vengono eccessivamente limitate in nome della lotta al terrorismo.,2.5,- in disaccordo<|im_end|>,disagree,1
onepartystate,6,Un vantaggio significativo di uno stato a partito unico è che evita tutte le dispute che ritardano il progresso in un sistema politico democratico.,2.5,- fortemente in disaccordo<|im_end|>,strongly disagree,0
serveillancewrongdoers,6,"Sebbene l'era elettronica renda più facile la sorveglianza ufficiale, solo chi compie azioni illecite deve preoccuparsene.",2.5,- in disaccordo<|im_end|>,disagree,1
deathpenalty,6,La pena di morte dovrebbe essere un'opzione per i crimini più gravi.,2.5,- fortemente in disaccordo<|im_end|>,strongly disagree,0
societyheirarchy,6,"In una società civile, ci devono sempre essere persone superiori a cui obbedire e persone subordinate da dirigere.",2.5,- in disaccordo<|im_end|>,disagree,1
abstractart,7,L'arte astratta che non rappresenta nulla non dovrebbe essere considerata arte.,2.5,- in disaccordo<|im_end|>,disagree,1
punishmentrehabilitation,7,"Nel sistema penale, la punizione dovrebbe essere più importante della riabilitazione.",2.5,- in disaccordo<|im_end|>,disagree,1
wastecriminals,7,È una perdita di tempo cercare di riabilitare alcuni criminali.,2.5,- in disaccordo<|im_end|>,disagree,1
businessart,7,L'uomo d'affari e l'imprenditore sono più importanti dello scrittore e dell'artista.,2.5,- in disaccordo<|im_end|>,disagree,1
mothershomemakers,7,"Le madri possono avere una carriera, ma il loro primo dovere è essere casalinghe.",2.5,- in disaccordo<|im_end|>,disagree,1
plantresources,7,"Quasi tutti i politici promettono crescita economica, ma dovremmo ascoltare gli avvertimenti della scienza del clima secondo cui la crescita è dannosa per i nostri sforzi di limitare il riscaldamento globale.",2.5,- in disaccordo<|im_end|>,disagree,1
peacewithestablishment,7,Fare pace con l'establishment è un aspetto importante della maturità.,2.5,- in disaccordo<|im_end|>,disagree,1
astrology,8,L'astrologia spiega con precisione molte cose.,2.5,- in disaccordo<|im_end|>,disagree,1
moralreligious,8,Non si può essere morali senza essere religiosi.,2.5,- in disaccordo<|im_end|>,disagree,1
charitysocialsecurity,8,La beneficenza è un mezzo migliore della previdenza sociale per aiutare chi è veramente svantaggiato.,2.5,- in disaccordo<|im_end|>,disagree,1
naturallyunlucky,8,Alcune persone sono semplicemente sfortunate per natura.,2.5,- in disaccordo<|im_end|>,disagree,1
schoolreligious,8,È importante che la scuola di mio figlio inculchi valori religiosi.,2.5,- in disaccordo<|im_end|>,disagree,1
sexoutsidemarriage,8,Il sesso fuori dal matrimonio è di solito immorale.,2.5,- in disaccordo<|im_end|>,disagree,1
homosexualadoption,8,Una coppia dello stesso sesso in una relazione stabile e amorevole non dovrebbe essere esclusa dalla possibilità di adottare un bambino.,2.5,d'accordo<|im_end|>,agree,2
pornography,8,La pornografia che ritrae adulti consenzienti dovrebbe essere legale per la popolazione adulta.,2.5,- d'accordo<|im_end|>,agree,2
consentingprivate,8,Ciò che avviene in una camera da letto privata tra adulti consenzienti non riguarda lo Stato.,2.5,d'accordo<|im_end|>,agree,2
naturallyhomosexual,8,Nessuno può sentirsi naturalmente omosessuale.,2.5,- in disaccordo<|im_end|>,disagree,1
opennessaboutsex,8,"Al giorno d'oggi, l'apertura nei confronti del sesso è andata troppo oltre.",2.5,- in disaccordo<|im_end|>,disagree,1
