model,language,side,coef,stance,proportion,source_csv
Llama-3,es,left,0.0,strongly disagree,0.016129032258064516,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_0.csv
Llama-3,es,left,0.0,disagree,0.6935483870967742,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_0.csv
Llama-3,es,left,0.0,agree,0.2903225806451613,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_0.csv
Llama-3,es,left,0.0,strongly agree,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_0.csv
Llama-3,es,left,0.0,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_0.csv
Llama-3,es,left,0.8,strongly disagree,0.016129032258064516,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_0.8.csv
Llama-3,es,left,0.8,disagree,0.6451612903225806,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_0.8.csv
Llama-3,es,left,0.8,agree,0.3387096774193548,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_0.8.csv
Llama-3,es,left,0.8,strongly agree,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_0.8.csv
Llama-3,es,left,0.8,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_0.8.csv
Llama-3,es,left,1.5,strongly disagree,0.016129032258064516,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_1.5.csv
Llama-3,es,left,1.5,disagree,0.5806451612903226,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_1.5.csv
Llama-3,es,left,1.5,agree,0.4032258064516129,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_1.5.csv
Llama-3,es,left,1.5,strongly agree,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_1.5.csv
Llama-3,es,left,1.5,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_1.5.csv
Llama-3,es,left,2.5,strongly disagree,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_2.5.csv
Llama-3,es,left,2.5,disagree,0.3709677419354839,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_2.5.csv
Llama-3,es,left,2.5,agree,0.6290322580645161,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_2.5.csv
Llama-3,es,left,2.5,strongly agree,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_2.5.csv
Llama-3,es,left,2.5,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_2.5.csv
Llama-3,es,left,4.0,strongly disagree,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_4.csv
Llama-3,es,left,4.0,disagree,0.0967741935483871,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_4.csv
Llama-3,es,left,4.0,agree,0.9032258064516129,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_4.csv
Llama-3,es,left,4.0,strongly agree,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_4.csv
Llama-3,es,left,4.0,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/es/compass_answers_coef_4.csv
Llama-3,es,right,0.0,strongly disagree,0.016129032258064516,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/es/compass_answers_coef_0.csv
Llama-3,es,right,0.0,disagree,0.6935483870967742,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/es/compass_answers_coef_0.csv
Llama-3,es,right,0.0,agree,0.2903225806451613,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/es/compass_answers_coef_0.csv
Llama-3,es,right,0.0,strongly agree,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/es/compass_answers_coef_0.csv
Llama-3,es,right,0.0,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/es/compass_answers_coef_0.csv
Llama-3,es,right,0.8,strongly disagree,0.016129032258064516,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/es/compass_answers_coef_0.8.csv
Llama-3,es,right,0.8,disagree,0.7096774193548387,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/es/compass_answers_coef_0.8.csv
Llama-3,es,right,0.8,agree,0.27419354838709675,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/es/compass_answers_coef_0.8.csv
Llama-3,es,right,0.8,strongly agree,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/es/compass_answers_coef_0.8.csv
Llama-3,es,right,0.8,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/es/compass_answers_coef_0.8.csv
Llama-3,es,right,1.5,strongly disagree,0.016129032258064516,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/es/compass_answers_coef_1.5.csv
Llama-3,es,right,1.5,disagree,0.7096774193548387,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/es/compass_answers_coef_1.5.csv
Llama-3,es,right,1.5,agree,0.27419354838709675,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/es/compass_answers_coef_1.5.csv
Llama-3,es,right,1.5,strongly agree,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/es/compass_answers_coef_1.5.csv
Llama-3,es,right,1.5,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/es/compass_answers_coef_1.5.csv
