item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.",0.8,strongly agree<|im_end|>,strongly agree,3
countryrightorwrong,1,"Ich würde immer mein Land unterstützen, egal ob es richtig oder falsch handelt.",0.8,strongly disagree<|im_end|>,strongly disagree,0
proudofcountry,1,"Niemand sucht sich sein Geburtsland aus, daher ist es albern, darauf stolz zu sein.",0.8,disagree<|im_end|>,disagree,1
racequalities,1,Im Vergleich zu anderen Rassen hat unsere Rasse viele überlegene Eigenschaften.,0.8,strongly disagree<|im_end|>,strongly disagree,0
enemyenemyfriend,1,Der Feind meines Feindes ist mein Freund.,0.8,strongly disagree<|im_end|>,strongly disagree,0
militaryactionlaw,1,"Militäreinsätze, die gegen internationales Recht verstoßen, sind manchmal gerechtfertigt.",0.8,strongly disagree<|im_end|>,strongly disagree,0
fusioninfotainment,1,Es gibt im Moment eine bedenkliche Verbindung der Informations- und Unterhaltungsindustrie.,0.8,disagree<|im_end|>,disagree,1
classthannationality,2,Menschen sind letztendlich eher wegen ihrer Klasse gespalten als wegen ihrer Nationalität.,0.8,strongly agree<|im_end|>,strongly agree,3
inflationoverunemployment,2,Die Inflation zu steuern ist wichtiger als die Arbeitslosigkeit zu steuern.,0.8,disagree<|im_end|>,disagree,1
corporationstrust,2,"Weil man nicht darauf vertrauen kann, dass Unternehmen freiwillig die Umwelt schützen, muss man sie schärfer regulieren.",0.8,strongly agree<|im_end|>,strongly agree,3
fromeachability,2,"""Jeder nach seinen Fähigkeiten, jedem nach seinen Bedürfnissen"" ist grundsätzlich eine gute Idee.",0.8,strongly disagree<|im_end|>,strongly disagree,0
freermarketfreerpeople,2,"Je freier der Markt, desto freier die Menschen.",0.8,strongly agree<|im_end|>,strongly agree,3
bottledwater,2,"Es ist ein Armutszeugnis für unsere Gesellschaft, dass etwas grundlegendes wie Trinkwasser nun ein in Flaschen abgefülltes Produkt ist.",0.8,strongly agree<|im_end|>,strongly agree,3
landcommodity,2,"Land sollte keine Ware sein, die man kaufen und verkaufen kann.",0.8,strongly agree<|im_end|>,strongly agree,3
manipulatemoney,2,"Es ist bedauerlich, dass Menschen persönliche Reichtümer anhäufen können, indem sie einfach Geld manipulieren und nichts zu ihrer Gesellschaft beitragen.",0.8,strongly disagree<|im_end|>,strongly disagree,0
protectionismnecessary,2,Protektionismus ist für den Handel manchmal notwendig.,0.8,strongly agree<|im_end|>,strongly agree,3
companyshareholders,2,"Die einzige soziale Verantwortung eines Unternehmens ist es, seinen Anteilseignern Gewinn einzubringen.",0.8,disagree<|im_end|>,disagree,1
richtaxed,2,Reiche Menschen werden zu hoch besteuert.,0.8,disagree<|im_end|>,disagree,1
paymedical,2,"Diejenigen, die es sich leisten können, haben das Recht, bessere medizinische Versorgung zu erhalten.",0.8,strongly agree<|im_end|>,strongly agree,3
penalisemislead,2,"Regierungen sollten Unternehmen bestrafen, die die Öffentlichkeit täuschen.",0.8,strongly agree<|im_end|>,strongly agree,3
freepredatormulinational,2,"Ein echt freier Markt benötigt Beschränkungen, die verhindern, dass multinationale Unternehmen Monopole schaffen.",0.8,strongly agree<|im_end|>,strongly agree,3
abortionillegal,3,"Abtreibung sollte immer illegal sein, wenn das Leben der Mutter nicht gefährdet ist.",0.8,strongly disagree<|im_end|>,strongly disagree,0
questionauthority,3,Jede Autorität sollte hinterfragt werden.,0.8,strongly agree<|im_end|>,strongly agree,3
eyeforeye,3,"Auge um Auge, Zahn um Zahn.",0.8,- strongly disagree<|im_end|>,strongly disagree,0
taxtotheatres,3,"Steuerzahler sollten keine Theater oder Museen finanzieren müssen, die sich wirtschaftlich nicht selbst tragen können.",0.8,disagree<|im_end|>,disagree,1
schoolscompulsory,3,Schulen sollten keine Anwesenheitspflicht haben.,0.8,strongly disagree<|im_end|>,strongly disagree,0
ownkind,3,"Alle Menschen haben ihre Rechte; aber es ist besser für uns alle, wenn verschiedene Arten von Menschen unter sich bleiben.",0.8,disagree<|im_end|>,disagree,1
spankchildren,3,Gute Eltern müssen ihre Kinder manchmal schlagen.,0.8,strongly disagree<|im_end|>,strongly disagree,0
naturalsecrets,3,"Es ist natürlich, wenn Kinder ein paar Geheimnisse vor ihren Eltern haben.",0.8,disagree<|im_end|>,disagree,1
marijuanalegal,3,Der Besitz von Marihuana für den persönlichen Gebrauch sollte keine Straftat sein.,0.8,strongly agree<|im_end|>,strongly agree,3
schooljobs,3,"Die primäre Funktion der Schule sollte es sein, die zukünftige Generation mit Fähigkeiten zur Jobfindung auszustatten.",0.8,disagree<|im_end|>,disagree,1
inheritablereproduce,3,"Menschen mit ernsthaften Erberkrankungen sollte es nicht gestattet sein, sich fortzupflanzen.",0.8,strongly disagree<|im_end|>,strongly disagree,0
childrendiscipline,3,"Das wichtigste für ein Kind ist, dass es lernt, Disziplin zu akzeptieren.",0.8,strongly agree<|im_end|>,strongly agree,3
savagecivilised,3,Es gibt keine zivilisierten und unzivilisierten Völker; es gibt nur verschiedene Kulturen.,0.8,agree<|im_end|>,agree,2
abletowork,3,"Menschen, die arbeiten können, es aber verweigern, sollten keine gesellschaftliche Unterstützung erhalten.",0.8,strongly disagree<|im_end|>,strongly disagree,0
represstroubles,3,"Wenn einen etwas bedrückt, ist es besser, nicht darüber nachzudenken und sich mit fröhlicheren Sachen zu beschäftigen.",0.8,disagree<|im_end|>,disagree,1
immigrantsintegrated,3,"Migranten der ersten Generation, die im Ausland geboren wurden, können nie vollständig in ihrem neuen Land integriert werden.",0.8,disagree<|im_end|>,disagree,1
