model,language,side,coef,stance,proportion,source_csv
Llama-3,de,left,0.0,strongly disagree,0.1774193548387097,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/de/compass_answers_coef_0.csv
Llama-3,de,left,0.0,disagree,0.43548387096774194,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/de/compass_answers_coef_0.csv
Llama-3,de,left,0.0,agree,0.2903225806451613,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/de/compass_answers_coef_0.csv
Llama-3,de,left,0.0,strongly agree,0.0967741935483871,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/de/compass_answers_coef_0.csv
Llama-3,de,left,0.0,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/de/compass_answers_coef_0.csv
Llama-3,de,left,0.8,strongly disagree,0.1935483870967742,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/de/compass_answers_coef_0.8.csv
Llama-3,de,left,0.8,disagree,0.3709677419354839,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/de/compass_answers_coef_0.8.csv
Llama-3,de,left,0.8,agree,0.24193548387096775,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/de/compass_answers_coef_0.8.csv
Llama-3,de,left,0.8,strongly agree,0.1935483870967742,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/de/compass_answers_coef_0.8.csv
Llama-3,de,left,0.8,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/de/compass_answers_coef_0.8.csv
Llama-3,de,left,1.5,strongly disagree,0.27419354838709675,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/de/compass_answers_coef_1.5.csv
