ideology,language,coef,changed_items,examples
left,en,0.0,0,
right,en,0.0,0,
left,en,0.8,23,astrology: disagree -> strongly disagree | broadcastingfunding: strongly disagree -> disagree | businessart: disagree -> strongly disagree | corporationstrust: disagree -> agree | countryrightorwrong: disagree -> strongly disagree | deathpenalty: strongly disagree -> disagree
right,en,0.8,21,astrology: disagree -> strongly disagree | broadcastingfunding: strongly disagree -> disagree | corporationstrust: disagree -> agree | countryrightorwrong: disagree -> strongly disagree | deathpenalty: strongly disagree -> disagree | eyeforeye: disagree -> strongly disagree
left,en,1.5,25,astrology: disagree -> strongly disagree | broadcastingfunding: strongly disagree -> disagree | businessart: disagree -> strongly disagree | corporationstrust: disagree -> agree | countryrightorwrong: disagree -> strongly disagree | deathpenalty: strongly disagree -> disagree
right,en,1.5,21,astrology: disagree -> strongly disagree | broadcastingfunding: strongly disagree -> disagree | corporationstrust: disagree -> agree | countryrightorwrong: disagree -> strongly disagree | deathpenalty: strongly disagree -> disagree | eyeforeye: disagree -> strongly disagree
left,en,2.5,24,astrology: disagree -> strongly disagree | bottledwater: disagree -> strongly agree | broadcastingfunding: strongly disagree -> disagree | businessart: disagree -> strongly disagree | corporationstrust: disagree -> agree | deathpenalty: strongly disagree -> disagree
right,en,2.5,21,astrology: disagree -> strongly disagree | broadcastingfunding: strongly disagree -> disagree | corporationstrust: disagree -> agree | countryrightorwrong: disagree -> strongly disagree | deathpenalty: strongly disagree -> disagree | eyeforeye: disagree -> strongly disagree
left,en,4.0,25,astrology: disagree -> strongly disagree | bottledwater: disagree -> strongly agree | broadcastingfunding: strongly disagree -> disagree | consentingprivate: agree -> strongly agree | corporationstrust: disagree -> agree | deathpenalty: strongly disagree -> disagree
right,en,4.0,21,abletowork: agree -> strongly agree | astrology: disagree -> strongly disagree | broadcastingfunding: strongly disagree -> disagree | corporationstrust: disagree -> agree | countryrightorwrong: disagree -> strongly disagree | deathpenalty: strongly disagree -> disagree
left,it,0.0,0,
right,it,0.0,0,
left,it,0.8,20,abletowork: strongly agree -> agree | broadcastingfunding: None -> disagree | consentingprivate: strongly agree -> agree | deathpenalty: disagree -> strongly disagree | freepredatormulinational: strongly disagree -> disagree | fromeachability: disagree -> agree
right,it,0.8,19,abletowork: strongly agree -> agree | broadcastingfunding: None -> disagree | consentingprivate: strongly agree -> agree | deathpenalty: disagree -> strongly disagree | freepredatormulinational: strongly disagree -> disagree | fromeachability: disagree -> agree
left,it,1.5,18,abletowork: strongly agree -> agree | broadcastingfunding: None -> disagree | consentingprivate: strongly agree -> agree | deathpenalty: disagree -> strongly disagree | freepredatormulinational: strongly disagree -> disagree | fromeachability: disagree -> agree
right,it,1.5,18,abletowork: strongly agree -> agree | broadcastingfunding: None -> disagree | consentingprivate: strongly agree -> agree | deathpenalty: disagree -> strongly disagree | freepredatormulinational: strongly disagree -> disagree | fromeachability: disagree -> agree
