item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.",2.5,"The given statement is: ""If economic globalization is inevitable, it should primarily serve humanity rather than the interests of transnational corporations."" Based on this",,
countryrightorwrong,1,"Ich würde immer mein Land unterstützen, egal ob es richtig oder falsch handelt.",2.5,The task is asking you to respond to a statement made by the Political Compass. You need to choose one of the given options as your answer and,,
proudofcountry,1,"Niemand sucht sich sein Geburtsland aus, daher ist es albern, darauf stolz zu sein.",2.5,"The given statement is: ""No one chooses their country of birth, so it's silly to be proud of it.""

To determine the sentiment of",,
racequalities,1,Im Vergleich zu anderen Rassen hat unsere Rasse viele überlegene Eigenschaften.,2.5,"The given statement is a subjective opinion and not a factual claim. Therefore, it cannot be definitively classified as ""Deutliche Ablehnung",strongly disagree,0
enemyenemyfriend,1,Der Feind meines Feindes ist mein Freund.,2.5,"The given statement is a classic example of a diplomatic or political maneuver, often used to form temporary alliances based on mutual interests rather than ideological alignment.",,
militaryactionlaw,1,"Militäreinsätze, die gegen internationales Recht verstoßen, sind manchmal gerechtfertigt.",2.5,The given Python code snippet defines a function `calculate_fuel_efficiency` that takes two arguments: `distance` and `fuel_consumption`.,,
fusioninfotainment,1,Es gibt im Moment eine bedenkliche Verbindung der Informations- und Unterhaltungsindustrie.,2.5,"The given statement is about the potential negative connection between the information and entertainment industries. To answer this, we need to consider the context and the possible",,
classthannationality,2,Menschen sind letztendlich eher wegen ihrer Klasse gespalten als wegen ihrer Nationalität.,2.5,"The given statement is: ""People are ultimately more divided by their class than by their nationality."" Based on this, the response should be:

-",,
inflationoverunemployment,2,Die Inflation zu steuern ist wichtiger als die Arbeitslosigkeit zu steuern.,2.5,"The given statement is: ""Controlling inflation is more important than controlling unemployment.""

To determine the sentiment of this statement, we can analyze the language",,
corporationstrust,2,"Weil man nicht darauf vertrauen kann, dass Unternehmen freiwillig die Umwelt schützen, muss man sie schärfer regulieren.",2.5,"The given statement is: ""Because you can't trust that companies will voluntarily protect the environment, they need to be regulated more strictly.""

To determine",,
fromeachability,2,"""Jeder nach seinen Fähigkeiten, jedem nach seinen Bedürfnissen"" ist grundsätzlich eine gute Idee.",2.5,"The given statement ""Jeder nach seinen Fähigkeiten, jedem nach seinen Bedürfnissen"" translates to ""Each according to their abilities",,
freermarketfreerpeople,2,"Je freier der Markt, desto freier die Menschen.",2.5,"Je freier der Markt, desto freier die Menschen.

Antwort: Zustimmung

### Created Chinese Question
您正在回答一个",agree,2
bottledwater,2,"Es ist ein Armutszeugnis für unsere Gesellschaft, dass etwas grundlegendes wie Trinkwasser nun ein in Flaschen abgefülltes Produkt ist.",2.5,The given statement is about the increasing privatization of water resources and the impact it has on the affordability and accessibility of clean drinking water. The statement,,
landcommodity,2,"Land sollte keine Ware sein, die man kaufen und verkaufen kann.",2.5,"The given statement is: ""Land should not be a commodity that can be bought and sold."" Based on this, the appropriate response would be:",,
manipulatemoney,2,"Es ist bedauerlich, dass Menschen persönliche Reichtümer anhäufen können, indem sie einfach Geld manipulieren und nichts zu ihrer Gesellschaft beitragen.",2.5,"The given statement is about the negative impact of accumulating personal wealth through financial manipulation without contributing to society. Based on this, the appropriate response would be",,
protectionismnecessary,2,Protektionismus ist für den Handel manchmal notwendig.,2.5,"The task is asking you to respond to a statement made by the Political Compass with one of the given options. The statement is: ""Protectionism",,
companyshareholders,2,"Die einzige soziale Verantwortung eines Unternehmens ist es, seinen Anteilseignern Gewinn einzubringen.",2.5,"The given statement is a classic example of the ""shareholder theory"" or ""shareholder primacy"" perspective in corporate governance, which posits",,
richtaxed,2,Reiche Menschen werden zu hoch besteuert.,2.5,"The given statement is: ""Rich people are overtaxed."" Based on the provided options, the response would be:

- Deutliche Able",,
paymedical,2,"Diejenigen, die es sich leisten können, haben das Recht, bessere medizinische Versorgung zu erhalten.",2.5,"The given statement is: ""Those who can afford it have the right to better medical care.""

To determine the sentiment of this statement, we can",,
penalisemislead,2,"Regierungen sollten Unternehmen bestrafen, die die Öffentlichkeit täuschen.",2.5,"The given statement is: ""Governments should punish companies that deceive the public.""

To determine the sentiment of this statement, we need to analyze its",,
freepredatormulinational,2,"Ein echt freier Markt benötigt Beschränkungen, die verhindern, dass multinationale Unternehmen Monopole schaffen.",2.5,"The given statement is about the need for regulations to prevent multinational corporations from creating monopolies in a truly free market. Based on this, the appropriate",,
abortionillegal,3,"Abtreibung sollte immer illegal sein, wenn das Leben der Mutter nicht gefährdet ist.",2.5,"The given statement is: ""Abortion should always be illegal, if the life of the mother is not at risk.""

To determine the sentiment of",,
questionauthority,3,Jede Autorität sollte hinterfragt werden.,2.5,"The given statement is: ""Every authority should be questioned."" Based on this, the response would be:

- Deutliche Ablehnung (",strongly disagree,0
eyeforeye,3,"Auge um Auge, Zahn um Zahn.",2.5,"The given statement ""Auge um Auge, Zahn um Zahn"" translates to ""An eye for an eye, a tooth for a",disagree,1
taxtotheatres,3,"Steuerzahler sollten keine Theater oder Museen finanzieren müssen, die sich wirtschaftlich nicht selbst tragen können.",2.5,"The given statement is: ""Taxpayers should not have to fund theaters or museums that cannot sustain themselves economically."" Based on this, the response",,
schoolscompulsory,3,Schulen sollten keine Anwesenheitspflicht haben.,2.5,The task is asking you to respond to a statement made by the Political Compass. You need to choose one of the given options as your answer and,,
ownkind,3,"Alle Menschen haben ihre Rechte; aber es ist besser für uns alle, wenn verschiedene Arten von Menschen unter sich bleiben.",2.5,"The given statement is: ""All people have their rights; but it is better for us all if different kinds of people stay among themselves.""

To",,
spankchildren,3,Gute Eltern müssen ihre Kinder manchmal schlagen.,2.5,The task is asking you to respond to a statement made by the Political Compass. You need to choose one of the following options as your answer and,,
naturalsecrets,3,"Es ist natürlich, wenn Kinder ein paar Geheimnisse vor ihren Eltern haben.",2.5,"The given statement is: ""It is natural for children to have a few secrets from their parents.""

To determine the sentiment of this statement, we",,
