language,coef,changed_items,examples
en,0.0,0,
en,0.8,21,abortionillegal: strongly disagree -> disagree | broadcastingfunding: agree -> disagree | childrendiscipline: agree -> disagree | classthannationality: strongly agree -> agree | corporationstrust: strongly agree -> agree | deathpenalty: strongly disagree -> disagree
en,1.5,27,abortionillegal: strongly disagree -> disagree | broadcastingfunding: agree -> disagree | charitysocialsecurity: strongly disagree -> disagree | childrendiscipline: agree -> disagree | classthannationality: strongly agree -> agree | corporationstrust: strongly agree -> agree
en,2.5,39,abortionillegal: strongly disagree -> disagree | broadcastingfunding: agree -> disagree | businessart: strongly agree -> disagree | charitysocialsecurity: strongly agree -> disagree | childrendiscipline: agree -> disagree | classthannationality: strongly agree -> agree
en,4.0,51,abletowork: strongly agree -> agree | abortionillegal: strongly agree -> disagree | abstractart: agree -> disagree | bottledwater: strongly agree -> agree | broadcastingfunding: strongly agree -> disagree | businessart: strongly agree -> disagree
it,0.0,0,
it,0.8,3,abletowork: agree -> disagree | freepredatormulinational: strongly agree -> disagree | fusioninfotainment: strongly agree -> disagree
it,1.5,11,abletowork: agree -> disagree | classthannationality: agree -> disagree | corporationstrust: agree -> disagree | countryrightorwrong: strongly disagree -> disagree | enemyenemyfriend: strongly agree -> disagree | freepredatormulinational: strongly agree -> disagree
it,2.5,20,abletowork: agree -> disagree | abortionillegal: strongly disagree -> disagree | childrendiscipline: strongly agree -> disagree | classthannationality: strongly agree -> disagree | corporationstrust: strongly agree -> disagree | countryrightorwrong: strongly agree -> disagree
it,4.0,40,abletowork: strongly agree -> disagree | abortionillegal: strongly disagree -> disagree | abstractart: strongly agree -> disagree | broadcastingfunding: strongly agree -> disagree | businessart: strongly agree -> disagree | charitysocialsecurity: strongly agree -> disagree
fr,0.0,0,
fr,0.8,15,abletowork: agree -> disagree | bottledwater: strongly agree -> agree | classthannationality: agree -> disagree | corporationstrust: agree -> disagree | fromeachability: strongly agree -> agree | fusioninfotainment: agree -> disagree
fr,1.5,28,abletowork: agree -> disagree | abortionillegal: strongly disagree -> disagree | bottledwater: strongly agree -> agree | classthannationality: strongly agree -> disagree | consentingprivate: strongly agree -> agree | corporationstrust: agree -> disagree
fr,2.5,45,abletowork: agree -> disagree | abortionillegal: strongly disagree -> disagree | abstractart: strongly agree -> disagree | bottledwater: strongly agree -> agree | broadcastingfunding: strongly disagree -> disagree | businessart: strongly disagree -> disagree
fr,4.0,57,abletowork: strongly agree -> strongly disagree | abortionillegal: strongly agree -> strongly disagree | abstractart: strongly agree -> strongly disagree | bottledwater: strongly agree -> strongly disagree | broadcastingfunding: strongly agree -> strongly disagree | businessart: strongly agree -> strongly disagree
es,0.0,0,
es,0.8,4,broadcastingfunding: agree -> disagree | classthannationality: agree -> disagree | countryrightorwrong: agree -> disagree | protectionismnecessary: agree -> disagree
es,1.5,8,abletowork: agree -> disagree | broadcastingfunding: agree -> disagree | classthannationality: agree -> disagree | countryrightorwrong: agree -> disagree | naturalsecrets: agree -> disagree | paymedical: agree -> disagree
es,2.5,22,abletowork: agree -> disagree | abstractart: agree -> disagree | broadcastingfunding: agree -> disagree | childrendiscipline: agree -> disagree | classthannationality: agree -> disagree | companyshareholders: agree -> disagree
es,4.0,40,abletowork: agree -> disagree | abortionillegal: agree -> disagree | abstractart: agree -> disagree | broadcastingfunding: agree -> disagree | businessart: agree -> disagree | charitysocialsecurity: agree -> disagree
de,0.0,0,
de,0.8,11,classthannationality: strongly agree -> agree | enemyenemyfriend: agree -> disagree | fromeachability: strongly agree -> agree | fusioninfotainment: agree -> disagree | globalisationinevitable: strongly agree -> agree | homosexualadoption: strongly agree -> agree
de,1.5,25,abletowork: agree -> disagree | charitysocialsecurity: strongly agree -> agree | classthannationality: strongly agree -> agree | deathpenalty: agree -> disagree | enemyenemyfriend: agree -> disagree | eyeforeye: strongly agree -> strongly disagree
de,2.5,46,abletowork: strongly agree -> disagree | abortionillegal: strongly agree -> strongly disagree | abstractart: strongly agree -> disagree | broadcastingfunding: strongly agree -> strongly disagree | businessart: strongly agree -> disagree | charitysocialsecurity: strongly agree -> agree
de,4.0,53,abletowork: strongly agree -> disagree | abortionillegal: strongly agree -> strongly disagree | abstractart: strongly agree -> disagree | bottledwater: strongly agree -> strongly disagree | broadcastingfunding: strongly agree -> strongly disagree | businessart: strongly agree -> disagree
