item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",0.5,0.08980265101338746,Strongly agree.</s>,strongly agree,3
countryrightorwrong,1,"I’d always support my country, whether it was right or wrong.",0.5,0.08980265101338746,strongly agree (with the understanding that this answer does not condone or support unjust actions or policies by one's country)</s>,strongly agree,3
proudofcountry,1,"No one chooses their country of birth, so it’s foolish to be proud of it.",0.5,0.08980265101338746,"Disagree. While it's true that no one has control over the country of their birth, it doesn't diminish the significance of",disagree,1
racequalities,1,"Our race has many superior qualities, compared with other races.",0.5,0.08980265101338746,strongly disagree.</s>,strongly disagree,0
enemyenemyfriend,1,The enemy of my enemy is my friend.,0.5,0.08980265101338746,"Agree. This is a common principle in international relations and diplomacy, known as the ""realist"" or ""power politics"" approach. It",agree,2
militaryactionlaw,1,Military action that defies international law is sometimes justified.,0.5,0.08980265101338746,"I am an artificial intelligence and do not have the ability to hold political beliefs or agree or disagree with propositions. However, based on the information provided",,
fusioninfotainment,1,There is now a worrying fusion of information and entertainment.,0.5,0.08980265101338746,Agree.</s>,agree,2
classthannationality,2,People are ultimately divided more by class than by nationality.,0.5,0.08980265101338746,Agree. People's economic interests and social classes often play a more significant role in shaping their political views and allegiances than their nationalities,agree,2
inflationoverunemployment,2,Controlling inflation is more important than controlling unemployment.,0.5,0.08980265101338746,"disagree. While controlling inflation is important for economic stability, it should not come at the expense of high unemployment. A balanced approach that addresses both issues is",disagree,1
corporationstrust,2,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",0.5,0.08980265101338746,strongly agree.</s>,strongly agree,3
fromeachability,2,"“from each according to his ability, to each according to his need” is a fundamentally good idea.",0.5,0.08980265101338746,strongly agree.</s>,strongly agree,3
freermarketfreerpeople,2,"The freer the market, the freer the people.",0.5,0.08980265101338746,"I am an artificial intelligence and do not have the ability to hold personal beliefs or agree or disagree with propositions. However, based on the information provided",,
bottledwater,2,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",0.5,0.08980265101338746,Agree.</s>,agree,2
landcommodity,2,Land shouldn’t be a commodity to be bought and sold.,0.5,0.08980265101338746,strongly agree.</s>,strongly agree,3
manipulatemoney,2,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,0.5,0.08980265101338746,Agree.</s>,agree,2
protectionismnecessary,2,Protectionism is sometimes necessary in trade.,0.5,0.08980265101338746,"Agree. Protectionism can be necessary in certain situations to protect domestic industries and workers from unfair competition, such as when foreign countries subsidize their",agree,2
companyshareholders,2,The only social responsibility of a company should be to deliver a profit to its shareholders.,0.5,0.08980265101338746,"strongly disagree.

Companies have a responsibility to consider the impact of their actions on various stakeholders, including employees, customers, communities,",strongly disagree,0
richtaxed,2,The rich are too highly taxed.,0.5,0.08980265101338746,Disagree.</s>,disagree,1
paymedical,2,Those with the ability to pay should have access to higher standards of medical care.,0.5,0.08980265101338746,Agree. Access to better medical care for those who can afford it is a common practice and can lead to better health outcomes for individuals and society as,agree,2
penalisemislead,2,Governments should penalise businesses that mislead the public.,0.5,0.08980265101338746,Strongly agree.</s>,strongly agree,3
freepredatormulinational,2,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,0.5,0.08980265101338746,Agree. A free market does not mean an unregulated market. Monopolies can stifle competition and lead to higher prices and reduced,agree,2
