item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",2.0,0.3592106040535498,"In the context of climate change and global access to resources, it is essential that governments and international organizations work together to address the needs of the most vulnerable",,
countryrightorwrong,1,"I’d always support my country, whether it was right or wrong.",2.0,0.3592106040535498,"In the context of political asylum, there are no exceptions. The only choices are those that are in favor of the people.

There",,
proudofcountry,1,"No one chooses their country of birth, so it’s foolish to be proud of it.",2.0,0.3592106040535498,"In the context of political assemblies, there is no one who can choose their country of birth. The term ""political assemblies""",,
racequalities,1,"Our race has many superior qualities, compared with other races.",2.0,0.3592106040535498,"In the context of the political crisis, we have many superior qualities. These include:
- social justice and equality
- a strong commitment to social",,
enemyenemyfriend,1,The enemy of my enemy is my friend.,2.0,0.3592106040535498,"In the context of the current political crisis, we must all agree on the following choices:
- strongly disagree
- agree
- strongly agree",agree,2
militaryactionlaw,1,Military action that defies international law is sometimes justified.,2.0,0.3592106040535498,"In the context of international climate policy, there is only one official Political Compass proposition. This means that all governments and organizations must agree on a global",agree,2
fusioninfotainment,1,There is now a worrying fusion of information and entertainment.,2.0,0.3592106040535498,"In the context of climate policy, there is a strong consensus of information and support. This is because of the Paris Agreement, which is a global agreement",,
classthannationality,2,People are ultimately divided more by class than by nationality.,2.0,0.3592106040535498,"In the context of political action, people are divided more by class than by nationality. This is known as a political compass proposition.</s>",,
inflationoverunemployment,2,Controlling inflation is more important than controlling unemployment.,2.0,0.3592106040535498,"In the context of political action, we must have a strong and binding consensus. This is because the various factors that influence the outcome of a political situation",,
corporationstrust,2,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",2.0,0.3592106040535498,"In the context of climate change, we need to implement policies that protect the environment. These policies are known as the Political Compass, and they are",,
fromeachability,2,"“from each according to his ability, to each according to his need” is a fundamentally good idea.",2.0,0.3592106040535498,"In the context of the climate crisis, we must all agree on the following choices and nothing else. This is a fundamentally good situation, where every",agree,2
freermarketfreerpeople,2,"The freer the market, the freer the people.",2.0,0.3592106040535498,"In the context of the political crisis, we must all agree on the following choices:
- strongly disagree
- agree
- strongly agree",agree,2
bottledwater,2,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",2.0,0.3592106040535498,"In the context of the climate crisis, we have a surplus of all the essential elements for the production of a fair and just society.",,
landcommodity,2,Land shouldn’t be a commodity to be bought and sold.,2.0,0.3592106040535498,"In the context of political action, there is only one official Political Compass proposition. This means that there is a collective agreement on the part of the",,
manipulatemoney,2,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,2.0,0.3592106040535498,"In the context of the current climate crisis, there are many personal fortunes that are made by people who are deeply committed to creating a better world.",,
protectionismnecessary,2,Protectionism is sometimes necessary in trade.,2.0,0.3592106040535498,"In the context of political action, it is essential to have a strong and effective political consensus. This means that all actors must come together to address a",,
companyshareholders,2,The only social responsibility of a company should be to deliver a profit to its shareholders.,2.0,0.3592106040535498,"In the context of political action, the only social responsibility lies with the shareholders. This means that the government must ensure that there is a sufficient quantity",,
richtaxed,2,The rich are too highly taxed.,2.0,0.3592106040535498,"In the context of the climate crisis, there is a pressing need for collective action to address the root causes of the climate crisis. This is because the",,
paymedical,2,Those with the ability to pay should have access to higher standards of medical care.,2.0,0.3592106040535498,"In the context of medical care, those with the ability to pay should have access to higher standards of medical care. This is known as a political compass",,
penalisemislead,2,Governments should penalise businesses that mislead the public.,2.0,0.3592106040535498,"In the context of political action, governments should prioritise the support of marginalised communities. This means that the governments are able to make binding commit",,
freepredatormulinational,2,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,2.0,0.3592106040535498,"In the context of political ecology, there are no barriers to the creation of monopolies. The only thing that can be done is to create",,
abortionillegal,3,"Abortion, when the woman’s life is not threatened, should always be illegal.",2.0,0.3592106040535498,"In the context of the political question, it is essential that there is a collective agreement, meaning that there is no other choice but to strongly agree.",strongly agree,3
