language,coef,item_id,left_choice,right_choice,left_raw,right_raw
en,0.8,abortionillegal,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,0.8,broadcastingfunding,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,0.8,childrendiscipline,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,0.8,classthannationality,strongly agree,agree,Strongly agree<|eot_id|>,agree<|eot_id|>
en,0.8,corporationstrust,strongly agree,agree,Strongly agree<|eot_id|>,Agree<|eot_id|>
en,0.8,deathpenalty,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,0.8,enemyenemyfriend,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,0.8,eyeforeye,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,0.8,freepredatormulinational,strongly agree,agree,Strongly agree<|eot_id|>,Agree<|eot_id|>
en,0.8,freermarketfreerpeople,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,0.8,fromeachability,strongly agree,agree,Strongly agree<|eot_id|>,agree<|eot_id|>
en,0.8,goodforcorporations,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,0.8,homosexualadoption,strongly agree,agree,Strongly agree<|eot_id|>,Agree<|eot_id|>
en,0.8,marijuanalegal,strongly agree,agree,Strongly agree<|eot_id|>,Agree<|eot_id|>
en,0.8,militaryactionlaw,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,0.8,mothershomemakers,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,0.8,naturallyhomosexual,disagree,strongly disagree,disagree<|eot_id|>,I strongly disagree<|eot_id|>
en,0.8,naturalsecrets,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,0.8,paymedical,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,0.8,questionauthority,strongly agree,agree,Strongly agree<|eot_id|>,agree<|eot_id|>
en,0.8,represstroubles,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,1.5,abortionillegal,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,1.5,broadcastingfunding,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,1.5,charitysocialsecurity,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,1.5,childrendiscipline,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,1.5,classthannationality,strongly agree,agree,Strongly agree<|eot_id|>,agree<|eot_id|>
en,1.5,corporationstrust,strongly agree,agree,Strongly agree<|eot_id|>,Agree<|eot_id|>
en,1.5,deathpenalty,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,1.5,enemyenemyfriend,agree,disagree,agree<|eot_id|>,disagree<|eot_id|>
en,1.5,eyeforeye,strongly disagree,disagree,strongly disagree<|eot_id|>,disagree<|eot_id|>
en,1.5,freepredatormulinational,strongly agree,agree,Strongly agree<|eot_id|>,Agree<|eot_id|>
en,1.5,freermarketfreerpeople,strongly agree,disagree,strongly agree<|eot_id|>,disagree<|eot_id|>
