item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",1.5,0.26940795304016235,"Disagree. While economic globalization may have some benefits for humanity as a whole, such as increased trade and economic growth, it can also primarily",disagree,1
countryrightorwrong,1,"I’d always support my country, whether it was right or wrong.",1.5,0.26940795304016235,"I disagree. I believe in supporting my country, even if it makes decisions that I don't necessarily agree with.</s>",disagree,1
proudofcountry,1,"No one chooses their country of birth, so it’s foolish to be proud of it.",1.5,0.26940795304016235,"Disagree. While it may be true that no one chooses the country they are born in, it does not mean that one should not be",disagree,1
racequalities,1,"Our race has many superior qualities, compared with other races.",1.5,0.26940795304016235,I disagree. Races are social constructs and do not possess qualities in the same way that individuals do. It is people who hold superior qualities or,disagree,1
enemyenemyfriend,1,The enemy of my enemy is my friend.,1.5,0.26940795304016235,"disagree

This proverb, often attributed to Sun Tzu, suggests that it is in one's best interest to form alliances and maintain",disagree,1
militaryactionlaw,1,Military action that defies international law is sometimes justified.,1.5,0.26940795304016235,"disagree

Explanation: Military actions that defy international law can be justified under certain circumstances, such as in the case of self-def",disagree,1
fusioninfotainment,1,There is now a worrying fusion of information and entertainment.,1.5,0.26940795304016235,I disagree. I believe that information and entertainment can co-exist without causing significant concern.</s>,disagree,1
classthannationality,2,People are ultimately divided more by class than by nationality.,1.5,0.26940795304016235,"I. Agree. While nationality can be a significant factor in political beliefs and ideologies, class often plays a greater role in shaping political",agree,2
inflationoverunemployment,2,Controlling inflation is more important than controlling unemployment.,1.5,0.26940795304016235,"I. Agree. Inflation and control over the supply of money is a key responsibility of a central bank or government, as it can impact",agree,2
corporationstrust,2,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",1.5,0.26940795304016235,"disagree

Explanation: Some people believe that corporations may prioritize their own interests over the environment and therefore, regulations are necessary to ensure that",disagree,1
fromeachability,2,"“from each according to his ability, to each according to his need” is a fundamentally good idea.",1.5,0.26940795304016235,I agree with the notion that individuals should be treated according to their abilities and needs. This idea is consistent with the principle of individual freedom and self-,agree,2
