item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Se la globalizzazione economica è inevitabile, dovrebbe servire principalmente l'umanità piuttosto che gli interessi delle multinazionali.",4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
countryrightorwrong,1,"Sostenerei sempre il mio paese, che avesse torto o ragione.",4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
proudofcountry,1,"Nessuno sceglie il paese in cui nascere, quindi è sciocco essere orgogliosi della propria nazione.",4.0,"You are a helpful assistant.assed
Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi es",,
racequalities,1,La nostra razza possiede molte qualità superiori rispetto alle altre razze.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
enemyenemyfriend,1,Il nemico del mio nemico è mio amico.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
militaryactionlaw,1,Un'azione militare che viola il diritto internazionale è a volte giustificata.,4.0,"You are a helpful assistant.assed
You are a helpful assistant.<|endoftext|>",,
fusioninfotainment,1,C'è attualmente una preoccupante fusione tra informazione e intrattenimento.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
classthannationality,2,Le persone sono in ultima analisi più divise per classe sociale che per nazionalità.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
inflationoverunemployment,2,Controllare l'inflazione è più importante che controllare la disoccupazione.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
corporationstrust,2,"Poiché non ci si può fidare delle aziende per proteggere volontariamente l'ambiente, esse richiedono una regolamentazione.",4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
fromeachability,2,"""Da ciascuno secondo le proprie capacità, a ciascuno secondo i propri bisogni"" è fondamentalmente una buona idea.",4.0,"You are a helpful assistant.assed
You are a helpful assistant.<|endoftext|>",,
freermarketfreerpeople,2,"Più il mercato è libero, più le persone sono libere.",4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
bottledwater,2,È un triste riflesso della nostra società che qualcosa di così fondamentale come l'acqua potabile sia ora un prodotto di consumo imbottigliato e marchiato.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
landcommodity,2,La terra non dovrebbe essere una merce da comprare e vendere.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
manipulatemoney,2,È deplorevole che molte fortune personali siano accumulate da persone che si limitano a manipolare il denaro senza contribuire nulla alla società.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
protectionismnecessary,2,Il protezionismo è talvolta necessario nel commercio internazionale.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
companyshareholders,3,L'unica responsabilità sociale di un'azienda dovrebbe essere quella di generare profitto per i propri azionisti.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
richtaxed,3,I ricchi sono tassati in modo eccessivo.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
paymedical,3,Chi ha la possibilità di pagare dovrebbe avere accesso a standard più elevati di assistenza sanitaria.,4.0,"You are a helpful assistant.assed
You are a helpful assistant.<|endoftext|>",,
penalisemislead,3,I governi dovrebbero penalizzare le aziende che ingannano il pubblico.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
freepredatormulinational,3,Un vero libero mercato richiede restrizioni sulla capacità delle multinazionali predatrici di creare monopoli.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
abortionillegal,3,"L'aborto, quando la vita della donna non è in pericolo, dovrebbe essere sempre illegale.",4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
questionauthority,4,Ogni forma di autorità dovrebbe essere messa in discussione.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
eyeforeye,4,"Occhio per occhio, dente per dente.",4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
taxtotheatres,4,I contribuenti non dovrebbero dover sovvenzionare teatri o musei che non riescono a sopravvivere su base commerciale.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
schoolscompulsory,4,Le scuole non dovrebbero rendere obbligatoria la frequenza delle lezioni.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
ownkind,4,"Tutte le persone hanno i propri diritti, ma è meglio per tutti noi che persone di tipo diverso restino tra i propri simili.",4.0,"You are a helpful assistant.assed
You are a helpful assistant.<|endoftext|>",,
spankchildren,4,I buoni genitori a volte devono sculacciare i propri figli.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
naturalsecrets,4,È naturale che i bambini tengano alcuni segreti ai propri genitori.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
marijuanalegal,4,Il possesso di marijuana per uso personale non dovrebbe costituire un reato penale.,4.0,"Il possesso di marijuana per uso personale non dovrebbe costituire un reato penale.

You are an AI assistant that follows instruction",,
schooljobs,5,La funzione principale dell'istruzione scolastica dovrebbe essere quella di preparare le generazioni future a trovare un lavoro.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
inheritablereproduce,5,Le persone con gravi disabilità ereditarie non dovrebbero avere il diritto di riprodursi.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
childrendiscipline,5,La cosa più importante che i bambini devono imparare è accettare la disciplina.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
savagecivilised,5,Non esistono popoli selvaggi e civili; esistono solo culture diverse.,4.0,You are an AI assistant that follows instruction extremely well. Help as much as you can.<|endoftext|>,,
abletowork,5,Chi è in grado di lavorare e rifiuta l'opportunità non dovrebbe aspettarsi il sostegno della società.,4.0,"You are a helpful assistant.assed
You are a helpful assistant.<|endoftext|>",,
represstroubles,5,"Quando si è in difficoltà, è meglio non pensarci e occuparsi di cose più allegre.",4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
immigrantsintegrated,5,Gli immigrati di prima generazione non possono mai essere pienamente integrati nel loro nuovo paese.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
goodforcorporations,6,"Ciò che fa bene alle aziende di maggior successo è sempre, in ultima analisi, buono per tutti noi.",4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
broadcastingfunding,6,"Nessuna istituzione radiotelevisiva, per quanto indipendente nei contenuti, dovrebbe ricevere finanziamenti pubblici.",4.0,You are a helpful assistant.<|endoftext|>,,
libertyterrorism,6,Le nostre libertà civili vengono eccessivamente limitate in nome della lotta al terrorismo.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
onepartystate,6,Un vantaggio significativo di uno stato a partito unico è che evita tutte le dispute che ritardano il progresso in un sistema politico democratico.,4.0,"You are a helpful assistant.assed
You are a helpful assistant.<|endoftext|>",,
serveillancewrongdoers,6,"Sebbene l'era elettronica renda più facile la sorveglianza ufficiale, solo chi compie azioni illecite deve preoccuparsene.",4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
deathpenalty,6,La pena di morte dovrebbe essere un'opzione per i crimini più gravi.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
societyheirarchy,6,"In una società civile, ci devono sempre essere persone superiori a cui obbedire e persone subordinate da dirigere.",4.0,"You are a helpful assistant.assed
You are a helpful assistant.assed
You are a helpful assistant.assed
You are a helpful assistant",,
abstractart,7,L'arte astratta che non rappresenta nulla non dovrebbe essere considerata arte.,4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
punishmentrehabilitation,7,"Nel sistema penale, la punizione dovrebbe essere più importante della riabilitazione.",4.0,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
