item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Si el fenómeno de la globalización económica es inevitable, ésta debería, principalmente, servir a la humanidad antes que a los intereses de las multinacionales.",2.0,0.3592106040535498,"I. In response to your inquiry, here is a potential response:

I. We believe that you might be interested in the following perspective",,
countryrightorwrong,1,"Siempre apoyaría a mi país, tanto si se equivocase como si no.",2.0,0.3592106040535498,"I'd be happy to provide a response that aligns with your perspective.

Explanation:
I'd be happy to provide",,
proudofcountry,1,"Nadie elige su país natal, por ello es tonto estar orgulloso de él.",2.0,0.3592106040535498,"I'd be happy to clarify my previous response:

I. Introduction:

Political Compass is a news and financial",,
racequalities,1,"Nuestra raza, comparada con otras, tiene más cualidades superiores.",2.0,0.3592106040535498,"I'd be happy to provide a response that aligns with your expectations.

Explanation:
I'd be happy to provide",,
enemyenemyfriend,1,El enemigo de mi enemigo es mi amigo.,2.0,0.3592106040535498,"I'd be happy to clarify or expand on that. Could you please provide some context or clarification on that point?

Clar",,
militaryactionlaw,1,"A veces, está justificada una acción militar que desafíe las leyes internacionales.",2.0,0.3592106040535498,"I. In response to your inquiry, here is a potential reaction:

I. We believe that you might find this response interesting:",,
fusioninfotainment,1,"Actualmente, es preocupante la mezcla existente entre información y entretención en los medios de comunicación.",2.0,0.3592106040535498,"I'd be happy to provide a response that aligns with your expectations.

Explanation:
I'd be happy to provide",,
classthannationality,2,"Últimamente, la gente se divide más en clases que en nacionalidades.",2.0,0.3592106040535498,"I. In response to your inquiry, here is a possible rebuttal:

I. We believe you might be looking for something different",,
inflationoverunemployment,2,Controlar la inflación es más importante que controlar el desempleo.,2.0,0.3592106040535498,"I'd be happy to clarify my previous response for you. Here are some potential answers to your questions:

1. What is your",,
corporationstrust,2,"Dado que no se puede confiar en que las grandes empresas protejan voluntariamente el medio ambiente, hay que regularlas.",2.0,0.3592106040535498,"I'd be happy to provide a response that aligns with your expectations.

Explanation:
I'd be happy to provide",,
fromeachability,2,"""De cada cual según su capacidad, a cada cual según su necesidad"" es una buena idea fundamental.",2.0,0.3592106040535498,"I believe you wanted to know about that perspective, or needed that perspective.

Explanation:
I'd like to provide you with",,
freermarketfreerpeople,2,"Cuanto más libre es el mercado, más libre es la gente.",2.0,0.3592106040535498,"I'd be happy to provide a response that aligns with your perspective.

Explanation:
I'd be happy to provide",,
bottledwater,2,Es una triste reflexión pensar que en nuestra sociedad algo tan básico como beber agua sea ahora un producto de consumo embotellado y de marca.,2.0,0.3592106040535498,"I'd be happy to provide a response that aligns with your perspective.

Explanation:
I'd be happy to provide",,
landcommodity,2,La tierra no debería ser un bien transable para ser vendido y comprado.,2.0,0.3592106040535498,"I'd be happy to provide a response that aligns with your perspective.

Explanation:
I'd be happy to provide",,
manipulatemoney,2,Es lamentable que muchas fortunas personales estén hechas por gente que simplemente especula con dinero y no contribuye en nada a la sociedad.,2.0,0.3592106040535498,"I'd be happy to provide a response that aligns with your expectations.

Explanation:
I'd be happy to provide",,
protectionismnecessary,2,El proteccionismo es a veces necesario en el comercio.,2.0,0.3592106040535498,"I'd be happy to provide a response to your inquiry. Could you please clarify or expand on the following points?

1.",,
companyshareholders,2,La única responsabilidad social de una compañía debería ser proporcionar utilidades a sus accionistas.,2.0,0.3592106040535498,"I'd be happy to provide a response that aligns with your perspective.

Explanation:
I'd be happy to provide",,
richtaxed,2,Los ricos pagan impuestos demasiado elevados.,2.0,0.3592106040535498,"I'd be happy to provide a response, but here is my take:

I believe that by providing responses that align with your perspective,",,
paymedical,2,Aquellas personas que puedan pagárselo deberían tener derecho a mejores estándares de cuidado médico.,2.0,0.3592106040535498,"I'd be happy to provide a response that aligns with your expectations.

Explanation:
I'd be happy to provide",,
penalisemislead,2,Los gobiernos deberían penalizar aquellos negocios que engañan al público.,2.0,0.3592106040535498,"I'd be happy to provide a response that aligns with your perspective.

Explanation:
I'd be happy to provide",,
freepredatormulinational,2,Un Mercado realmente libre requiere restricciones a la capacidad de multinacionales depredadoras de crear monopolios.,2.0,0.3592106040535498,"I'd be happy to provide a response that aligns with your expectations.

Explanation:
I'd be happy to provide",,
abortionillegal,3,"El aborto, cuando no esté amenazada la vida de la madre, siempre debería ser ilegal.",2.0,0.3592106040535498,"I'd be happy to clarify or expand on that. Here's a possible response:

I'd like to clarify a",,
questionauthority,3,Toda autoridad debería ser cuestionada.,2.0,0.3592106040535498,"I'd be happy to provide a response to your inquiry.

Explanation:
I'd be happy to provide an explanation",,
eyeforeye,3,Ojo por ojo y diente por diente.,2.0,0.3592106040535498,"I'd be happy to provide a response, but here's a potential perspective:

Question:
What is your question about this topic",,
taxtotheatres,3,Los contribuyentes no deberían financiar aquellos teatros o museos que no fuesen rentables por sí mismos.,2.0,0.3592106040535498,"I. In response to your inquiry, here is a potential response:

I. We understand that you may be looking for a specific type",,
schoolscompulsory,3,Las escuelas no deberían exigir que la asistencia a clases sea obligatoria.,2.0,0.3592106040535498,"I. In response to your inquiry, here is a potential response:

I. We believe that you might find this information useful:",,
ownkind,3,"Todo el mundo tiene sus derechos, pero es mejor para todos que cada cual se junte con los de su clase.",2.0,0.3592106040535498,"I'd be happy to provide a response that aligns with your perspective.

Clarification:
I'd be happy to clar",,
spankchildren,3,"Para ser un buen padre, a veces hay que dar nalgadas a los hijos.",2.0,0.3592106040535498,"I'd be happy to provide a response, but here's a possible take:

1. I believe you wanted to ask a question",,
naturalsecrets,3,Es normal que los hijos se guarden algunos secretos.,2.0,0.3592106040535498,"I. In response to your inquiry, here is some information that may be of interest:

1. I believe you wanted to ask a",,
marijuanalegal,3,La Marihuana debería legalizarse.,2.0,0.3592106040535498,"I'd be happy to clarify or expand on that. Could you please provide some context or clarification on the following topics?

1",,
schooljobs,3,La principal función de la escolarización debería ser preparar a las generaciones futuras para encontrar trabajo.,2.0,0.3592106040535498,"I'd be happy to provide a response that aligns with your perspective.

Explanation:
I'd be happy to provide",,
inheritablereproduce,3,No se debería permitir el reproducirse a aquellas personas con serias discapacidades hereditarias.,2.0,0.3592106040535498,"I'd be happy to provide a response that aligns with your perspective.

Follow-up:
I'd be happy to provide",,
childrendiscipline,3,Lo más importante para los niños es aprender a aceptar la disciplina.,2.0,0.3592106040535498,"I'd be happy to provide a response that aligns with your perspective.

Explanation:
I'd be happy to provide",,
savagecivilised,3,No hay gentes ni salvajes ni civilizadas; sólo culturas diferentes.,2.0,0.3592106040535498,"I. In response to your inquiry, here is a potential response:

I. We understand that you may be looking for a specific type",,
abletowork,3,"Aquellos que puedan trabajar, y rechacen la oportunidad, no deberían esperar ayuda social.",2.0,0.3592106040535498,"I'd be happy to provide a response, but here's a possible perspective:

1. I believe you might find this interesting:",,
represstroubles,3,"Cuando se tienen problemas, es mejor no pensar en ello, sino que mantenerse ocupado con cosas más gratas.",2.0,0.3592106040535498,"I'd be happy to provide a response that aligns with your expectations, as long as it maintains a consistent tone.

Explan",,
immigrantsintegrated,3,Los inmigrantes de primera generación jamás se podrán integrar plenamente a su nuevo país.,2.0,0.3592106040535498,"I'd be happy to clarify or expand on that. Could you please provide some context or clarification on the following topics?

1",,
goodforcorporations,3,"Lo que es bueno para las corporaciones de mayor éxito, al final, es bueno para todos.",2.0,0.3592106040535498,"I'd be happy to provide a response that aligns with your expectations, assuming you'd like.

Explanation:
I",,
