pair_id,topic,group,ideology,text,prompt
0,healthcare,governance,left,"Healthcare is a fundamental human right. The government should provide universal healthcare coverage for all citizens, funded through progressive taxation. A single-payer system would reduce costs and eliminate the profit motive from medicine.","Do you agree or disagree with the following statement?
Statement: Healthcare is a fundamental human right. The government should provide universal healthcare coverage for all citizens, funded through progressive taxation. A single-payer system would reduce costs and eliminate the profit motive from medicine.
Answer:"
0,healthcare,governance,right,"Healthcare should be driven by free market competition. Government-run healthcare leads to inefficiency, long wait times, and reduced quality. Individuals should have the freedom to choose their own insurance plans and doctors.","Do you agree or disagree with the following statement?
Statement: Healthcare should be driven by free market competition. Government-run healthcare leads to inefficiency, long wait times, and reduced quality. Individuals should have the freedom to choose their own insurance plans and doctors.
Answer:"
1,gun_control,crime_and_guns,left,"We need stricter gun control laws including universal background checks, assault weapons bans, and red flag laws. The epidemic of gun violence in America demands urgent legislative action to protect public safety.","Do you agree or disagree with the following statement?
Statement: We need stricter gun control laws including universal background checks, assault weapons bans, and red flag laws. The epidemic of gun violence in America demands urgent legislative action to protect public safety.
Answer:"
1,gun_control,crime_and_guns,right,The Second Amendment guarantees the individual right to bear arms. Gun control laws infringe on constitutional rights and only disarm law-abiding citizens. More guns in the hands of responsible citizens actually reduce crime.,"Do you agree or disagree with the following statement?
Statement: The Second Amendment guarantees the individual right to bear arms. Gun control laws infringe on constitutional rights and only disarm law-abiding citizens. More guns in the hands of responsible citizens actually reduce crime.
Answer:"
2,immigration,immigration,left,"Immigrants strengthen our economy and enrich our culture. We should create pathways to citizenship for undocumented immigrants, protect DACA recipients, and reform our immigration system to be more welcoming and humane.","Do you agree or disagree with the following statement?
Statement: Immigrants strengthen our economy and enrich our culture. We should create pathways to citizenship for undocumented immigrants, protect DACA recipients, and reform our immigration system to be more welcoming and humane.
Answer:"
2,immigration,immigration,right,We must secure our borders and enforce existing immigration laws. Illegal immigration depresses wages for American workers and strains public services. A strong border wall and strict enforcement are essential for national sovereignty.,"Do you agree or disagree with the following statement?
Statement: We must secure our borders and enforce existing immigration laws. Illegal immigration depresses wages for American workers and strains public services. A strong border wall and strict enforcement are essential for national sovereignty.
Answer:"
3,climate,science_and_environment,left,"Climate change is an existential crisis requiring immediate government action. We must transition to renewable energy, rejoin international climate agreements, and implement a Green New Deal to create jobs while saving the planet.","Do you agree or disagree with the following statement?
Statement: Climate change is an existential crisis requiring immediate government action. We must transition to renewable energy, rejoin international climate agreements, and implement a Green New Deal to create jobs while saving the planet.
Answer:"
3,climate,science_and_environment,right,"Climate regulations destroy jobs and hurt the economy. The free market, not government mandates, should drive energy innovation. America should prioritize energy independence through domestic oil, gas, and clean coal production.","Do you agree or disagree with the following statement?
Statement: Climate regulations destroy jobs and hurt the economy. The free market, not government mandates, should drive energy innovation. America should prioritize energy independence through domestic oil, gas, and clean coal production.
Answer:"
4,abortion,gender_and_sexuality,left,Women have the fundamental right to make their own reproductive choices. Access to safe and legal abortion is essential healthcare. The government should not interfere with private medical decisions between a woman and her doctor.,"Do you agree or disagree with the following statement?
Statement: Women have the fundamental right to make their own reproductive choices. Access to safe and legal abortion is essential healthcare. The government should not interfere with private medical decisions between a woman and her doctor.
Answer:"
4,abortion,gender_and_sexuality,right,"Life begins at conception and every unborn child deserves legal protection. Abortion is morally wrong and should be restricted. The government has a duty to protect the most vulnerable members of society, including the unborn.","Do you agree or disagree with the following statement?
Statement: Life begins at conception and every unborn child deserves legal protection. Abortion is morally wrong and should be restricted. The government has a duty to protect the most vulnerable members of society, including the unborn.
Answer:"
