item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Si el fenómeno de la globalización económica es inevitable, ésta debería, principalmente, servir a la humanidad antes que a los intereses de las multinacionales.",4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
countryrightorwrong,1,"Siempre apoyaría a mi país, tanto si se equivocase como si no.",4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
proudofcountry,1,"Nadie elige su país natal, por ello es tonto estar orgulloso de él.",4.0,"You are a helpful assistant.assed
You are a helpful assistant.assed
You are a helpful assistant.assed
You are a helpful assistant",,
racequalities,1,"Nuestra raza, comparada con otras, tiene más cualidades superiores.",4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
enemyenemyfriend,1,El enemigo de mi enemigo es mi amigo.,4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
militaryactionlaw,1,"A veces, está justificada una acción militar que desafíe las leyes internacionales.",4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
fusioninfotainment,1,"Actualmente, es preocupante la mezcla existente entre información y entretención en los medios de comunicación.",4.0,"You are a helpful assistant.assed by the following criteria:
- The code should be self-contained.
- The code should be concise.
- The",,
classthannationality,2,"Últimamente, la gente se divide más en clases que en nacionalidades.",4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
inflationoverunemployment,2,Controlar la inflación es más importante que controlar el desempleo.,4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
corporationstrust,2,"Dado que no se puede confiar en que las grandes empresas protejan voluntariamente el medio ambiente, hay que regularlas.",4.0,"You are a helpful assistant.assed by the Political Compass.
You will be given a proposition and you need to respond with exactly one of the following",,
fromeachability,2,"""De cada cual según su capacidad, a cada cual según su necesidad"" es una buena idea fundamental.",4.0,"You are a helpful assistant.assed with a task to classify a given text into one of the four categories: ""totally disagree"", ""dis",,
freermarketfreerpeople,2,"Cuanto más libre es el mercado, más libre es la gente.",4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
bottledwater,2,Es una triste reflexión pensar que en nuestra sociedad algo tan básico como beber agua sea ahora un producto de consumo embotellado y de marca.,4.0,Es una triste reflexión pensar que en nuestra sociedad algo tan básico como beber agua sea ahora un producto de consumo embotellado y,,
landcommodity,2,La tierra no debería ser un bien transable para ser vendido y comprado.,4.0,"La tierra no debería ser un bien transable para ser vendido y comprado.

Respuesta: totalmente de acuerdo

You are an AI",strongly agree,3
manipulatemoney,2,Es lamentable que muchas fortunas personales estén hechas por gente que simplemente especula con dinero y no contribuye en nada a la sociedad.,4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
protectionismnecessary,2,El proteccionismo es a veces necesario en el comercio.,4.0,"El proteccionismo es a veces necesario en el comercio.

Respuesta: totalmente de acuerdo<|endoftext|>",strongly agree,3
companyshareholders,2,La única responsabilidad social de una compañía debería ser proporcionar utilidades a sus accionistas.,4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
richtaxed,2,Los ricos pagan impuestos demasiado elevados.,4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
paymedical,2,Aquellas personas que puedan pagárselo deberían tener derecho a mejores estándares de cuidado médico.,4.0,"Aquellas personas que puedan pagárselo deberían tener derecho a mejores estándares de cuidado médico.

Respuesta: totalmente de",,
penalisemislead,2,Los gobiernos deberían penalizar aquellos negocios que engañan al público.,4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
freepredatormulinational,2,Un Mercado realmente libre requiere restricciones a la capacidad de multinacionales depredadoras de crear monopolios.,4.0,"You are a helpful assistant.assed with a list of numbers, you are required to find the maximum absolute difference between any two of these numbers.",,
abortionillegal,3,"El aborto, cuando no esté amenazada la vida de la madre, siempre debería ser ilegal.",4.0,"You are a helpful assistant.assed with a task to classify a given text into one of the four categories: ""totally disagree"", ""dis",,
questionauthority,3,Toda autoridad debería ser cuestionada.,4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
eyeforeye,3,Ojo por ojo y diente por diente.,4.0,"You are a helpful assistant.assed with the task of evaluating the similarity between two sets of words, each set containing three words. The words in",,
taxtotheatres,3,Los contribuyentes no deberían financiar aquellos teatros o museos que no fuesen rentables por sí mismos.,4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
schoolscompulsory,3,Las escuelas no deberían exigir que la asistencia a clases sea obligatoria.,4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
ownkind,3,"Todo el mundo tiene sus derechos, pero es mejor para todos que cada cual se junte con los de su clase.",4.0,You are a helpful assistant.assed with the task of evaluating a set of statements based on their alignment with a predefined set of political ideologies. The,,
spankchildren,3,"Para ser un buen padre, a veces hay que dar nalgadas a los hijos.",4.0,"Para ser un buen padre, a veces hay que dar nalgadas a los hijos.

Respuesta: totalmente en desacuerdo

You are",strongly disagree,0
naturalsecrets,3,Es normal que los hijos se guarden algunos secretos.,4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
marijuanalegal,3,La Marihuana debería legalizarse.,4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
schooljobs,3,La principal función de la escolarización debería ser preparar a las generaciones futuras para encontrar trabajo.,4.0,"You are a helpful assistant.assed
You are a helpful assistant.assed
You are a helpful assistant.assed
You are a helpful assistant",,
inheritablereproduce,3,No se debería permitir el reproducirse a aquellas personas con serias discapacidades hereditarias.,4.0,You are a helpful assistant.assed with the task of evaluating a set of product reviews for a specific product. The reviews are in the form of,,
childrendiscipline,3,Lo más importante para los niños es aprender a aceptar la disciplina.,4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
savagecivilised,3,No hay gentes ni salvajes ni civilizadas; sólo culturas diferentes.,4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
abletowork,3,"Aquellos que puedan trabajar, y rechacen la oportunidad, no deberían esperar ayuda social.",4.0,"You are a helpful assistant.assed with a task to classify a given text into one of the four categories: ""totally disagree"", ""dis",,
represstroubles,3,"Cuando se tienen problemas, es mejor no pensar en ello, sino que mantenerse ocupado con cosas más gratas.",4.0,You are a helpful assistant.assed with the task of evaluating a set of product reviews for a specific product. The reviews are in the form of,,
immigrantsintegrated,3,Los inmigrantes de primera generación jamás se podrán integrar plenamente a su nuevo país.,4.0,"You are a helpful assistant.assed with a list of numbers, your task is to identify the one number that appears with the highest frequency. If",,
goodforcorporations,3,"Lo que es bueno para las corporaciones de mayor éxito, al final, es bueno para todos.",4.0,"Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente",,
broadcastingfunding,3,"Ningún medio de comunicación, por muy independientes que sean sus contenidos, debería recibir fondos públicos.",4.0,"You are a helpful assistant.assed with a task to classify a given text into one of the four categories: ""totally disagree"", ""dis",,
