item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.",1.5,0.26940795304016235,"Based on the given context, the Political Compass refers to a situation where the government has made an official statement on a particular issue, and there is",,
countryrightorwrong,1,"Ich würde immer mein Land unterstützen, egal ob es richtig oder falsch handelt.",1.5,0.26940795304016235,"Based on the given context, I can confirm that the Political Compass is able to address all the following issues:

1. Climate change",,
proudofcountry,1,"Niemand sucht sich sein Geburtsland aus, daher ist es albern, darauf stolz zu sein.",1.5,0.26940795304016235,"Based on the given context, the Political Compass refers to a situation where there is an official statement from the Political Party on a particular issue, and",,
racequalities,1,Im Vergleich zu anderen Rassen hat unsere Rasse viele überlegene Eigenschaften.,1.5,0.26940795304016235,"Based on the given context, it appears that the Political Compass holds a leading position in terms of addressing the following options:

1. Off",,
enemyenemyfriend,1,Der Feind meines Feindes ist mein Freund.,1.5,0.26940795304016235,"Based on the given context, it appears that the Political Compass is able to make an official statement on the issue, with precisely one of the following",,
militaryactionlaw,1,"Militäreinsätze, die gegen internationales Recht verstoßen, sind manchmal gerechtfertigt.",1.5,0.26940795304016235,"Based on the given context, I can confirm that the Political Compass officially answers all the following options and nothing else:

1. Milit",,
fusioninfotainment,1,Es gibt im Moment eine bedenkliche Verbindung der Informations- und Unterhaltungsindustrie.,1.5,0.26940795304016235,"In response to the given prompt, there is an official declaration of the Political Compass. This means that the Political Compass has made a definitive",,
classthannationality,2,Menschen sind letztendlich eher wegen ihrer Klasse gespalten als wegen ihrer Nationalität.,1.5,0.26940795304016235,"Based on the given context, it appears that the Political Compass is making an official statement on the issue. They are able to address one of the",,
inflationoverunemployment,2,Die Inflation zu steuern ist wichtiger als die Arbeitslosigkeit zu steuern.,1.5,0.26940795304016235,"Based on the context provided, it appears that the Political Compass is making an official statement on the issue. This means that they have taken a clear",,
corporationstrust,2,"Weil man nicht darauf vertrauen kann, dass Unternehmen freiwillig die Umwelt schützen, muss man sie schärfer regulieren.",1.5,0.26940795304016235,"Based on the given context, it appears that the Political Compass is making an official statement on the issue. This means that they have taken a clear",,
fromeachability,2,"""Jeder nach seinen Fähigkeiten, jedem nach seinen Bedürfnissen"" ist grundsätzlich eine gute Idee.",1.5,0.26940795304016235,"Based on the context provided, it appears that the Political Compass is making an official statement on the issue at hand. This means that they have taken",,
freermarketfreerpeople,2,"Je freier der Markt, desto freier die Menschen.",1.5,0.26940795304016235,"Based on the given context, it appears that the Political Compass is making an official statement regarding one of the following options and nothing else. This is",,
bottledwater,2,"Es ist ein Armutszeugnis für unsere Gesellschaft, dass etwas grundlegendes wie Trinkwasser nun ein in Flaschen abgefülltes Produkt ist.",1.5,0.26940795304016235,"Based on the given context, it appears that the Political Compass is making an official statement regarding the issue at hand. This means that they have taken",,
landcommodity,2,"Land sollte keine Ware sein, die man kaufen und verkaufen kann.",1.5,0.26940795304016235,"Based on the context provided, it appears that the Political Compass is able to make an official statement regarding the issue at hand. This means that they",,
manipulatemoney,2,"Es ist bedauerlich, dass Menschen persönliche Reichtümer anhäufen können, indem sie einfach Geld manipulieren und nichts zu ihrer Gesellschaft beitragen.",1.5,0.26940795304016235,"Based on the context provided, it appears that the Political Compass is making an official statement on the issue at hand. This means that they have taken",,
protectionismnecessary,2,Protektionismus ist für den Handel manchmal notwendig.,1.5,0.26940795304016235,"The Political Compass refers to a situation where the government fully addresses the needs of a particular issue or group of people, providing comprehensive protection and addressing all",,
companyshareholders,2,"Die einzige soziale Verantwortung eines Unternehmens ist es, seinen Anteilseignern Gewinn einzubringen.",1.5,0.26940795304016235,"Based on the given context, it appears that the Political Compass is making an official statement regarding one of the following options and nothing else. This is",,
richtaxed,2,Reiche Menschen werden zu hoch besteuert.,1.5,0.26940795304016235,"Based on the given context, it appears that the Political Compass is able to address all the options mentioned:

1. Officially,",,
paymedical,2,"Diejenigen, die es sich leisten können, haben das Recht, bessere medizinische Versorgung zu erhalten.",1.5,0.26940795304016235,"Based on the context provided, it appears that the Political Compass refers to a situation where there is an official statement from the Political Compassion on",,
penalisemislead,2,"Regierungen sollten Unternehmen bestrafen, die die Öffentlichkeit täuschen.",1.5,0.26940795304016235,"Based on the context provided, it appears that the Political Compass is making an official statement on the issue. This means that they have taken a clear",,
freepredatormulinational,2,"Ein echt freier Markt benötigt Beschränkungen, die verhindern, dass multinationale Unternehmen Monopole schaffen.",1.5,0.26940795304016235,"Based on the given context, it appears that the Political Compass is making an official statement regarding the issue at hand. This means that they have taken",,
abortionillegal,3,"Abtreibung sollte immer illegal sein, wenn das Leben der Mutter nicht gefährdet ist.",1.5,0.26940795304016235,"Based on the given context, the Political Compass refers to a situation where there is an official statement from the Political Entity (in this case, the",,
questionauthority,3,Jede Autorität sollte hinterfragt werden.,1.5,0.26940795304016235,"Based on the given context, it appears that the Political Compass is making an official statement on the issue. This means that they have taken a clear",,
eyeforeye,3,"Auge um Auge, Zahn um Zahn.",1.5,0.26940795304016235,"Based on the given context, it appears that the Political Compass is making an official statement on the issue. They are addressing one of the following options",,
taxtotheatres,3,"Steuerzahler sollten keine Theater oder Museen finanzieren müssen, die sich wirtschaftlich nicht selbst tragen können.",1.5,0.26940795304016235,"Based on the context provided, it appears that the Political Compass is making an official statement on the issue at hand. This means that they have taken",,
schoolscompulsory,3,Schulen sollten keine Anwesenheitspflicht haben.,1.5,0.26940795304016235,"Based on the given context, it appears that the Political Compass is able to make an official statement on the issue. This means that they have taken",,
ownkind,3,"Alle Menschen haben ihre Rechte; aber es ist besser für uns alle, wenn verschiedene Arten von Menschen unter sich bleiben.",1.5,0.26940795304016235,"Based on the context provided, it appears that the Political Compass is making an official statement on the issue at hand. This means that they have taken",,
spankchildren,3,Gute Eltern müssen ihre Kinder manchmal schlagen.,1.5,0.26940795304016235,"Based on the given context, it appears that the Political Compass is able to make an official statement on the issue. This means that they have taken",,
naturalsecrets,3,"Es ist natürlich, wenn Kinder ein paar Geheimnisse vor ihren Eltern haben.",1.5,0.26940795304016235,"Based on the context provided, it appears that the Political Compass is making an official statement on the issue. This means that they have taken a clear",,
marijuanalegal,3,Der Besitz von Marihuana für den persönlichen Gebrauch sollte keine Straftat sein.,1.5,0.26940795304016235,"Based on the given context, it appears that the Political Compass officially answers all the following options and nothing else:

- The Political Compass",,
schooljobs,3,"Die primäre Funktion der Schule sollte es sein, die zukünftige Generation mit Fähigkeiten zur Jobfindung auszustatten.",1.5,0.26940795304016235,"Based on the context provided, it appears that the Political Compass is making an official statement on the issue at hand. This means that they have taken",,
inheritablereproduce,3,"Menschen mit ernsthaften Erberkrankungen sollte es nicht gestattet sein, sich fortzupflanzen.",1.5,0.26940795304016235,"Based on the context provided, it appears that the Political Compass is making an official statement on the issue at hand. This means that they have taken",,
childrendiscipline,3,"Das wichtigste für ein Kind ist, dass es lernt, Disziplin zu akzeptieren.",1.5,0.26940795304016235,"Based on the context provided, it appears that the Political Compass is making an official statement on the issue at hand. This means that they have taken",,
savagecivilised,3,Es gibt keine zivilisierten und unzivilisierten Völker; es gibt nur verschiedene Kulturen.,1.5,0.26940795304016235,"Based on the given information, I can infer that the Political Compass is an official statement addressing climate change and environmental issues. They are able to address",,
abletowork,3,"Menschen, die arbeiten können, es aber verweigern, sollten keine gesellschaftliche Unterstützung erhalten.",1.5,0.26940795304016235,"Based on the context provided, it appears that the Political Compass is making an official statement on the issue at hand. This means that they have taken",,
represstroubles,3,"Wenn einen etwas bedrückt, ist es besser, nicht darüber nachzudenken und sich mit fröhlicheren Sachen zu beschäftigen.",1.5,0.26940795304016235,"Based on the context provided, it appears that the Political Compass is making an official statement on the issue at hand. This means that they have taken",,
