model,language,side,coef,stance,proportion,source_csv
Llama-3,fr,left,0.0,strongly disagree,0.12903225806451613,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/fr/compass_answers_coef_0.csv
Llama-3,fr,left,0.0,disagree,0.6290322580645161,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/fr/compass_answers_coef_0.csv
Llama-3,fr,left,0.0,agree,0.1935483870967742,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/fr/compass_answers_coef_0.csv
Llama-3,fr,left,0.0,strongly agree,0.04838709677419355,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/fr/compass_answers_coef_0.csv
Llama-3,fr,left,0.0,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/fr/compass_answers_coef_0.csv
Llama-3,fr,left,0.8,strongly disagree,0.20967741935483872,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/fr/compass_answers_coef_0.8.csv
Llama-3,fr,left,0.8,disagree,0.45161290322580644,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/fr/compass_answers_coef_0.8.csv
Llama-3,fr,left,0.8,agree,0.1935483870967742,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/fr/compass_answers_coef_0.8.csv
Llama-3,fr,left,0.8,strongly agree,0.14516129032258066,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/fr/compass_answers_coef_0.8.csv
Llama-3,fr,left,0.8,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/fr/compass_answers_coef_0.8.csv
Llama-3,fr,left,1.5,strongly disagree,0.3225806451612903,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/fr/compass_answers_coef_1.5.csv
Llama-3,fr,left,1.5,disagree,0.2903225806451613,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/fr/compass_answers_coef_1.5.csv
Llama-3,fr,left,1.5,agree,0.1774193548387097,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/fr/compass_answers_coef_1.5.csv
