item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Si el fenómeno de la globalización económica es inevitable, ésta debería, principalmente, servir a la humanidad antes que a los intereses de las multinacionales.",4.0,"En desacuerdo (I am an artificial intelligence and do not have the ability to agree or disagree in a human sense. However, based on",disagree,1
countryrightorwrong,1,"Siempre apoyaría a mi país, tanto si se equivocase como si no.",4.0,totalmente de acuerdo (esto significa que estás de acuerdo con la proposición en su totalidad)</s>,,
proudofcountry,1,"Nadie elige su país natal, por ello es tonto estar orgulloso de él.",4.0,"totalmente en desacuerdo.

Explicación: La decisión de quiénes somos y dónde nacemos",strongly disagree,0
racequalities,1,"Nuestra raza, comparada con otras, tiene más cualidades superiores.",4.0,totalmente en desacuerdo.</s>,strongly disagree,0
enemyenemyfriend,1,El enemigo de mi enemigo es mi amigo.,4.0,"en acuerdo

Explicación: La frase ""El enemigo de mi enemigo es mi amigo"" es una expres",strongly disagree,0
militaryactionlaw,1,"A veces, está justificada una acción militar que desafíe las leyes internacionales.",4.0,totalmente en desacuerdo.</s>,strongly disagree,0
fusioninfotainment,1,"Actualmente, es preocupante la mezcla existente entre información y entretención en los medios de comunicación.",4.0,Estoy de acuerdo.</s>,agree,2
classthannationality,2,"Últimamente, la gente se divide más en clases que en nacionalidades.",4.0,"en desacuerdo

Explicación: La proposición sugiere que la división social se está moviendo de la base de",disagree,1
inflationoverunemployment,2,Controlar la inflación es más importante que controlar el desempleo.,4.0,"en desacuerdo (for the record, I don't have the ability to hold opinions or agreements)</s>",disagree,1
corporationstrust,2,"Dado que no se puede confiar en que las grandes empresas protejan voluntariamente el medio ambiente, hay que regularlas.",4.0,Estoy de acuerdo.</s>,agree,2
fromeachability,2,"""De cada cual según su capacidad, a cada cual según su necesidad"" es una buena idea fundamental.",4.0,"en desacuerdo (for the record, I'm an artificial intelligence and don't have the ability to agree or disagree in the human",disagree,1
freermarketfreerpeople,2,"Cuanto más libre es el mercado, más libre es la gente.",4.0,"en desacuerdo.

Explicación: La libertad individual y la libertad económica no siempre están",disagree,1
bottledwater,2,Es una triste reflexión pensar que en nuestra sociedad algo tan básico como beber agua sea ahora un producto de consumo embotellado y de marca.,4.0,Estoy de acuerdo.</s>,agree,2
landcommodity,2,La tierra no debería ser un bien transable para ser vendido y comprado.,4.0,totalmente de acuerdo.</s>,strongly agree,3
