item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Si la mondialisation est inévitable, elle devrait avant tout servir l’humanité plutôt que les intérêts de multinationales.",1.0,0.1796053020267749,"tout-à-fait d'accord

Explication :
This response indicates full agreement with the proposition that globalization, if it",strongly agree,3
countryrightorwrong,1,"Je soutiendrai toujours mon pays, qu’il ait raison ou tort.",1.0,0.1796053020267749,pas d'accord (with the condition that one can still support their country's actions while advocating for change and improvement)</s>,disagree,1
proudofcountry,1,"Personne ne choisit son pays de naissance, il est donc stupide d’en être fier.",1.0,0.1796053020267749,"pas du tout d'accord

Explication : The person's country of birth is not a choice they made, and therefore it is",strongly disagree,0
racequalities,1,Ma race a de nombreuses qualités que les autres races n’ont pas.,1.0,0.1796053020267749,pas du tout d'accord with making a statement about the superiority of one race over others. Such statements are not based on fact and can,strongly disagree,0
enemyenemyfriend,1,L’ennemi de mon ennemi est mon ami.,1.0,0.1796053020267749,"pas d'accord (This statement is not a complete agreement, but rather an expression of the idea that an enemy of one's enemy can",disagree,1
militaryactionlaw,1,Des interventions militaires allant à l‘encontre du droit international sont parfois justifiées.,1.0,0.1796053020267749,"pas d'accord

Interventions militaires contraire au droit international et ne peuvent être justifiées.</s>",disagree,1
fusioninfotainment,1,Il y a actuellement un mélange inquiétant entre l’information et le divertissement.,1.0,0.1796053020267749,"pas d'accord

Explication : Le fait qu'il y a actuellement un mélange inquiétant entre",disagree,1
classthannationality,2,Les gens sont en définitive plus divisés par classe sociale que par nationalité.,1.0,0.1796053020267749,"pas du tout d'accord

Explication : While there may be some truth to the statement that people are more divided by social class than",strongly disagree,0
inflationoverunemployment,2,Contrôler l’inflation est plus important que contrôler le chômage.,1.0,0.1796053020267749,"pas d'accord

Explication :
While controlling inflation is important, it should not be prioritized over addressing unemployment. Both issues",disagree,1
corporationstrust,2,"Parce qu’on ne peut pas faire confiance aux grandes entreprises pour protéger l’environnement volontairement, il faut leur imposer des règles.",1.0,0.1796053020267749,"pas d'accord, but we should impose regulations on large corporations to protect the environment.</s>",disagree,1
fromeachability,2,"«De chacun selon ses moyens, à chacun selon ses besoins» est foncièrement une bonne idée.",1.0,0.1796053020267749,"- d'accord

Explication :
L'idée ""De chacun selon ses moyens, à chacun selon",agree,2
freermarketfreerpeople,2,"Plus le marché économique est libre, plus les personnes sont libres.",1.0,0.1796053020267749,"pas d'accord

Explication :
While the statement ""The more the market economy is free, the more people are free"" is",disagree,1
bottledwater,2,"C'est un triste reflet de notre société que quelque chose d'aussi fondamental que l'eau potable soit désormais un produit de consommation, embouteillé sous l’étiquette d’une marque.",1.0,0.1796053020267749,"- pas d'accord

Explication : Le fait que l'eau potable soit embouteillée sous l'étiquette",disagree,1
