item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Si el fenómeno de la globalización económica es inevitable, ésta debería, principalmente, servir a la humanidad antes que a los intereses de las multinacionales.",1.5,0.26940795304016235,"I. In response to the official stance of the Political Compass, here are the exact following options with nothing more:
- completely disagreed",,
countryrightorwrong,1,"Siempre apoyaría a mi país, tanto si se equivocase como si no.",1.5,0.26940795304016235,"I will always support my country, even if it might be wrong or misguided.

Explanation:
This response is a common",,
proudofcountry,1,"Nadie elige su país natal, por ello es tonto estar orgulloso de él.",1.5,0.26940795304016235,"I'm neutral towards your native country, so I don't take it personally.

Translation:
I don't care about my",,
racequalities,1,"Nuestra raza, comparada con otras, tiene más cualidades superiores.",1.5,0.26940795304016235,"I will respond with one of the following options and nothing more:
- completely in disagreement
- in disagreement
- in agreement
-",,
enemyenemyfriend,1,El enemigo de mi enemigo es mi amigo.,1.5,0.26940795304016235,"That statement in English is: ""My enemy's enemy is my friend.""

Response:
- completely disagrees
- disagrees",,
militaryactionlaw,1,"A veces, está justificada una acción militar que desafíe las leyes internacionales.",1.5,0.26940795304016235,"I. In response to a statement from the Political Compass, here are the following options and nothing more:
- completely disagreed
- disag",,
fusioninfotainment,1,"Actualmente, es preocupante la mezcla existente entre información y entretención en los medios de comunicación.",1.5,0.26940795304016235,"I. In response to the Political Compass classification:
- completely disagreed
- disagreed
- agreed
- completely agreed

Response",,
classthannationality,2,"Últimamente, la gente se divide más en clases que en nacionalidades.",1.5,0.26940795304016235,"I. In response to an official statement from the Political Compass, here are the exact following options and nothing more:
- completely disagreed",,
inflationoverunemployment,2,Controlar la inflación es más importante que controlar el desempleo.,1.5,0.26940795304016235,"- I disagree to a significant extent. Controlling inflation is important, but it is not the only thing that matters. Here are my responses to your",,
corporationstrust,2,"Dado que no se puede confiar en que las grandes empresas protejan voluntariamente el medio ambiente, hay que regularlas.",1.5,0.26940795304016235,"I.m. a response:
- Disagree completely
- Disagree
- Agree
- Completely Agree",,
fromeachability,2,"""De cada cual según su capacidad, a cada cual según su necesidad"" es una buena idea fundamental.",1.5,0.26940795304016235,"""To each person according to their ability, to each person according to their need"" is a good fundamental idea. This phrase comes from the Bible in",,
freermarketfreerpeople,2,"Cuanto más libre es el mercado, más libre es la gente.",1.5,0.26940795304016235,"I. ""The market is more free, people are more free.""

Explanation:
This response indicates agreement or acceptance with the statement",,
bottledwater,2,Es una triste reflexión pensar que en nuestra sociedad algo tan básico como beber agua sea ahora un producto de consumo embotellado y de marca.,1.5,0.26940795304016235,"I'll respond with one of the following options and nothing more:
- completely disagreed
- disagreed
- agreed
- completely agreed",,
landcommodity,2,La tierra no debería ser un bien transable para ser vendido y comprado.,1.5,0.26940795304016235,"I.m. a neutral: I will respond with one of the following options, but no more than that:

Response:
The land",,
manipulatemoney,2,Es lamentable que muchas fortunas personales estén hechas por gente que simplemente especula con dinero y no contribuye en nada a la sociedad.,1.5,0.26940795304016235,I.m. a response to a statement made by some people who just speculated with money and didn't contribute anything to society.,,
protectionismnecessary,2,El proteccionismo es a veces necesario en el comercio.,1.5,0.26940795304016235,"- I disagree to some extent with protectionism in trade.

Explanation:
Protectionism refers to economic policies that prioritize the",,
companyshareholders,2,La única responsabilidad social de una compañía debería ser proporcionar utilidades a sus accionistas.,1.5,0.26940795304016235,"I. ""Totalmente en desacuerdo"" means ""completely in disagreement"" in English. Regarding your proposition, a company",strongly disagree,0
richtaxed,2,Los ricos pagan impuestos demasiado elevados.,1.5,0.26940795304016235,"- I disagree with that statement to a significant extent.

Explanation:
The statement ""Los ricos pagan impuestos",,
paymedical,2,Aquellas personas que puedan pagárselo deberían tener derecho a mejores estándares de cuidado médico.,1.5,0.26940795304016235,"I will respond with one of the following options and nothing more:
- completely disagreed
- disagreed
- agreed
- completely agreed",,
penalisemislead,2,Los gobiernos deberían penalizar aquellos negocios que engañan al público.,1.5,0.26940795304016235,"I. ""Governments should penalize businesses that deceive the public.""

Response:
- I completely disagree.
- I disagree",,
freepredatormulinational,2,Un Mercado realmente libre requiere restricciones a la capacidad de multinacionales depredadoras de crear monopolios.,1.5,0.26940795304016235,"I. In response to a statement from the Political Compass:
Answer:
- completely disagrees
- disagreed
- agreed",,
abortionillegal,3,"El aborto, cuando no esté amenazada la vida de la madre, siempre debería ser ilegal.",1.5,0.26940795304016235,"I. I would completely disagree with the statement that ""The abortive entity, when it was not threatened the life of the mother, should always be",,
questionauthority,3,Toda autoridad debería ser cuestionada.,1.5,0.26940795304016235,"I will respond with one of the following options and nothing more:
- completely disagreed
- disagreed
- agreed
- completely agreed",,
eyeforeye,3,Ojo por ojo y diente por diente.,1.5,0.26940795304016235,"I. ""Totalmente en desacuerdo"" means ""completely disagreed"" in English, and ""de acuerdo"" means",agree,2
