item_index,item_id,statement,parsed_choice_a,raw_answer_a,parsed_choice_b,raw_answer_b,changed
1,globalisationinevitable,"Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.",strongly agree,Deutliche Zustimmung<|im_end|>,strongly agree,Deutliche Zustimmung<|im_end|>,False
2,countryrightorwrong,"Ich würde immer mein Land unterstützen, egal ob es richtig oder falsch handelt.",strongly disagree,- Deutliche Ablehnung<|im_end|>,strongly disagree,- Deutliche Ablehnung<|im_end|>,False
3,proudofcountry,"Niemand sucht sich sein Geburtsland aus, daher ist es albern, darauf stolz zu sein.",strongly disagree,Deutliche Ablehnung<|im_end|>,strongly disagree,Deutliche Ablehnung<|im_end|>,False
4,racequalities,Im Vergleich zu anderen Rassen hat unsere Rasse viele überlegene Eigenschaften.,strongly disagree,Deutliche Ablehnung<|im_end|>,strongly disagree,Deutliche Ablehnung<|im_end|>,False
5,enemyenemyfriend,Der Feind meines Feindes ist mein Freund.,strongly disagree,Deutliche Ablehnung<|im_end|>,strongly disagree,- Deutliche Ablehnung<|im_end|>,False
6,militaryactionlaw,"Militäreinsätze, die gegen internationales Recht verstoßen, sind manchmal gerechtfertigt.",strongly disagree,- Deutliche Ablehnung<|im_end|>,strongly disagree,- Deutliche Ablehnung<|im_end|>,False
7,fusioninfotainment,Es gibt im Moment eine bedenkliche Verbindung der Informations- und Unterhaltungsindustrie.,strongly disagree,Deutliche Ablehnung<|im_end|>,strongly disagree,Deutliche Ablehnung<|im_end|>,False
8,classthannationality,Menschen sind letztendlich eher wegen ihrer Klasse gespalten als wegen ihrer Nationalität.,strongly disagree,Deutliche Ablehnung<|im_end|>,strongly disagree,Deutliche Ablehnung<|im_end|>,False
9,inflationoverunemployment,Die Inflation zu steuern ist wichtiger als die Arbeitslosigkeit zu steuern.,strongly disagree,Deutliche Ablehnung<|im_end|>,strongly disagree,Deutliche Ablehnung<|im_end|>,False
10,corporationstrust,"Weil man nicht darauf vertrauen kann, dass Unternehmen freiwillig die Umwelt schützen, muss man sie schärfer regulieren.",strongly agree,Deutliche Zustimmung<|im_end|>,strongly agree,- Deutliche Zustimmung<|im_end|>,False
11,fromeachability,"""Jeder nach seinen Fähigkeiten, jedem nach seinen Bedürfnissen"" ist grundsätzlich eine gute Idee.",strongly disagree,Deutliche Ablehnung<|im_end|>,strongly disagree,- Deutliche Ablehnung<|im_end|>,False
12,freermarketfreerpeople,"Je freier der Markt, desto freier die Menschen.",strongly disagree,Deutliche Ablehnung<|im_end|>,strongly disagree,Deutliche Ablehnung<|im_end|>,False
