item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Se la globalizzazione economica è inevitabile, dovrebbe servire principalmente l'umanità piuttosto che gli interessi delle multinazionali.",1.0,0.1796053020267749,"I'm strongly in accord with the proposition that globalization economics, if inevitable, should primarily serve humanity rather than the interests of multinational corporations",strongly disagree,0
countryrightorwrong,1,"Sostenerei sempre il mio paese, che avesse torto o ragione.",1.0,0.1796053020267749,"In accordo. I fully support my country, regardless of its faults or merits.</s>",strongly agree,3
proudofcountry,1,"Nessuno sceglie il paese in cui nascere, quindi è sciocco essere orgogliosi della propria nazione.",1.0,0.1796053020267749,"In disaccordo. The place of one's birth is not a choice, and therefore it is not valid to be proud or orgull",disagree,1
racequalities,1,La nostra razza possiede molte qualità superiori rispetto alle altre razze.,1.0,0.1796053020267749,"in disaccordo. It is important to recognize that all races possess unique qualities and merits, and no single race is inherently superior to",disagree,1
enemyenemyfriend,1,Il nemico del mio nemico è mio amico.,1.0,0.1796053020267749,"In disaccordo. This statement goes against the common understanding and desire for enemies to be resolved through peaceful means and reconciliation, rather than an",disagree,1
militaryactionlaw,1,Un'azione militare che viola il diritto internazionale è a volte giustificata.,1.0,0.1796053020267749,In disaccordo. Violazioni del diritto internazionale non possono essere giustificate.</s>,disagree,1
fusioninfotainment,1,C'è attualmente una preoccupante fusione tra informazione e intrattenimento.,1.0,0.1796053020267749,"In disaccordo. While there may be some overlap between information and entertainment, the current state of the media landscape prioritizes the latter over",disagree,1
classthannationality,2,Le persone sono in ultima analisi più divise per classe sociale che per nazionalità.,1.0,0.1796053020267749,"in disaccordo

Explanation: The statement ""Le persone sono in ultima analisi più divise per classe sociale",disagree,1
inflationoverunemployment,2,Controllare l'inflazione è più importante che controllare la disoccupazione.,1.0,0.1796053020267749,"In disaccordo. Controlling inflation is important, but addressing unemployment is equally crucial. Both issues require attention and resources.</s>",disagree,1
corporationstrust,2,"Poiché non ci si può fidare delle aziende per proteggere volontariamente l'ambiente, esse richiedono una regolamentazione.",1.0,0.1796053020267749,"In disaccordo. While I agree that protecting the environment requires regulation, I do not believe that we cannot trust corporations to do so voluntarily",disagree,1
fromeachability,2,"""Da ciascuno secondo le proprie capacità, a ciascuno secondo i propri bisogni"" è fondamentalmente una buona idea.",1.0,0.1796053020267749,"In accordo. This idea, ""From each according to their ability, to each according to their needs,"" is a fundamental principle of social justice and",strongly agree,3
freermarketfreerpeople,2,"Più il mercato è libero, più le persone sono libere.",1.0,0.1796053020267749,I am in strong agreement with this statement.</s>,strongly agree,3
bottledwater,2,È un triste riflesso della nostra società che qualcosa di così fondamentale come l'acqua potabile sia ora un prodotto di consumo imbottigliato e marchiato.,1.0,0.1796053020267749,I'm strongly in disagreement with the idea that something as essential as potable water is now a consumer product that is bottled and branded,,
landcommodity,2,La terra non dovrebbe essere una merce da comprare e vendere.,1.0,0.1796053020267749,fortemente in disaccordo.</s>,strongly disagree,0
manipulatemoney,2,È deplorevole che molte fortune personali siano accumulate da persone che si limitano a manipolare il denaro senza contribuire nulla alla società.,1.0,0.1796053020267749,I am strongly in disagreement with the situation where many amass personal fortunes while contributing nothing to society.</s>,,
protectionismnecessary,2,Il protezionismo è talvolta necessario nel commercio internazionale.,1.0,0.1796053020267749,In disaccordo. I believe that excessive protectionism in international trade can hinder economic growth and harm global cooperation. It's essential to,disagree,1
companyshareholders,3,L'unica responsabilità sociale di un'azienda dovrebbe essere quella di generare profitto per i propri azionisti.,1.0,0.1796053020267749,"In disaccordo. While generating profits for shareholders is important for the sustainability of a business, it is not the only social responsibility an",disagree,1
richtaxed,3,I ricchi sono tassati in modo eccessivo.,1.0,0.1796053020267749,"fortemente in disaccordo.

Explanation:
The statement ""I ricchi sono tassati in modo eccessivo",strongly disagree,0
paymedical,3,Chi ha la possibilità di pagare dovrebbe avere accesso a standard più elevati di assistenza sanitaria.,1.0,0.1796053020267749,I'm in strong agreement with the proposition. Access to higher standards of healthcare for those who can pay is a crucial step towards ensuring equitable and,strongly agree,3
penalisemislead,3,I governi dovrebbero penalizzare le aziende che ingannano il pubblico.,1.0,0.1796053020267749,I'm strongly in accord with the proposal. Penalizing companies that deceive the public is an essential measure to protect consumers and maintain trust in,,
freepredatormulinational,3,Un vero libero mercato richiede restrizioni sulla capacità delle multinazionali predatrici di creare monopoli.,1.0,0.1796053020267749,"In disaccordo. I believe in the importance of a free market, but I also recognize that there should be regulations in place to prevent mult",disagree,1
abortionillegal,3,"L'aborto, quando la vita della donna non è in pericolo, dovrebbe essere sempre illegale.",1.0,0.1796053020267749,I am strongly in disagreement with the proposition that abortion should be illegal when the life of the woman is not in danger.</s>,,
questionauthority,4,Ogni forma di autorità dovrebbe essere messa in discussione.,1.0,0.1796053020267749,"In disaccordo. While I believe that open discussion and scrutiny of authority is important, I do not think that every form of authority should",disagree,1
eyeforeye,4,"Occhio per occhio, dente per dente.",1.0,0.1796053020267749,"in disaccordo

Explanation: The phrase ""occhio per occhio, dente per dente"" is often used to",disagree,1
taxtotheatres,4,I contribuenti non dovrebbero dover sovvenzionare teatri o musei che non riescono a sopravvivere su base commerciale.,1.0,0.1796053020267749,"fortemente in disaccordo.

Explanation: I am strongly against the idea that only profitable theaters or museums should receive",strongly disagree,0
schoolscompulsory,4,Le scuole non dovrebbero rendere obbligatoria la frequenza delle lezioni.,1.0,0.1796053020267749,In disaccordo. I do not believe that schools should be required to make attendance mandatory for lessons. Students need flexibility and autonomy to prior,disagree,1
ownkind,4,"Tutte le persone hanno i propri diritti, ma è meglio per tutti noi che persone di tipo diverso restino tra i propri simili.",1.0,0.1796053020267749,In disaccordo. It is not acceptable or justifiable to suggest that certain groups of people should be segregated from others based on their,disagree,1
spankchildren,4,I buoni genitori a volte devono sculacciare i propri figli.,1.0,0.1796053020267749,"In disaccordo. The idea that good parents sometimes need to spank their children implies the use of physical force as a form of discipline,",disagree,1
naturalsecrets,4,È naturale che i bambini tengano alcuni segreti ai propri genitori.,1.0,0.1796053020267749,In disaccordo. It is not natural or healthy for children to keep secrets from their parents. Open communication and trust are essential for a healthy,disagree,1
marijuanalegal,4,Il possesso di marijuana per uso personale non dovrebbe costituire un reato penale.,1.0,0.1796053020267749,I'm in strong agreement with the proposition that the possession of marijuana for personal use should not be a criminal offense.</s>,strongly agree,3
schooljobs,5,La funzione principale dell'istruzione scolastica dovrebbe essere quella di preparare le generazioni future a trovare un lavoro.,1.0,0.1796053020267749,"In disaccordo

Spiegazione:
While the goal of education is important, I do not fully agree that the primary function of",disagree,1
inheritablereproduce,5,Le persone con gravi disabilità ereditarie non dovrebbero avere il diritto di riprodursi.,1.0,0.1796053020267749,Fortemente in disaccordo. The fundamental human right to personal autonomy and reproductive freedom includes individuals with severe hereditary disabilities,strongly disagree,0
childrendiscipline,5,La cosa più importante che i bambini devono imparare è accettare la disciplina.,1.0,0.1796053020267749,"In disaccordo. While discipline is important, it should not be the most important thing for children to learn. They should also be encouraged to",disagree,1
savagecivilised,5,Non esistono popoli selvaggi e civili; esistono solo culture diverse.,1.0,0.1796053020267749,"In disaccordo. The use of the term ""savage"" to describe indigenous or non-Western peoples is considered derog",disagree,1
