item_index,item_id,statement,parsed_choice_a,raw_answer_a,parsed_choice_b,raw_answer_b,changed
1,globalisationinevitable,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",strongly agree,Strongly agree<|eot_id|>,strongly agree,Strongly agree<|eot_id|>,False
2,countryrightorwrong,"I’d always support my country, whether it was right or wrong.",strongly disagree,strongly disagree<|eot_id|>,strongly disagree,strongly disagree<|eot_id|>,False
3,proudofcountry,"No one chooses their country of birth, so it’s foolish to be proud of it.",disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
4,racequalities,"Our race has many superior qualities, compared with other races.",strongly disagree,strongly disagree<|eot_id|>,strongly disagree,strongly disagree<|eot_id|>,False
5,enemyenemyfriend,The enemy of my enemy is my friend.,agree,agree<|eot_id|>,disagree,disagree<|eot_id|>,True
6,militaryactionlaw,Military action that defies international law is sometimes justified.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
7,fusioninfotainment,There is now a worrying fusion of information and entertainment.,agree,agree<|eot_id|>,agree,agree<|eot_id|>,False
8,classthannationality,People are ultimately divided more by class than by nationality.,agree,agree<|eot_id|>,agree,agree<|eot_id|>,False
9,inflationoverunemployment,Controlling inflation is more important than controlling unemployment.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
10,corporationstrust,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",agree,Agree<|eot_id|>,agree,Agree<|eot_id|>,False
11,fromeachability,"“from each according to his ability, to each according to his need” is a fundamentally good idea.",strongly agree,Strongly agree<|eot_id|>,agree,agree<|eot_id|>,True
12,freermarketfreerpeople,"The freer the market, the freer the people.",disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
13,bottledwater,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",strongly agree,Strongly agree<|eot_id|>,strongly agree,Strongly agree<|eot_id|>,False
14,landcommodity,Land shouldn’t be a commodity to be bought and sold.,strongly agree,Strongly agree<|eot_id|>,strongly agree,Strongly agree<|eot_id|>,False
15,manipulatemoney,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,strongly agree,Strongly agree<|eot_id|>,strongly agree,Strongly agree<|eot_id|>,False
16,protectionismnecessary,Protectionism is sometimes necessary in trade.,agree,agree<|eot_id|>,agree,agree<|eot_id|>,False
17,companyshareholders,The only social responsibility of a company should be to deliver a profit to its shareholders.,strongly disagree,strongly disagree<|eot_id|>,strongly disagree,strongly disagree<|eot_id|>,False
18,richtaxed,The rich are too highly taxed.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
19,paymedical,Those with the ability to pay should have access to higher standards of medical care.,agree,agree<|eot_id|>,disagree,disagree<|eot_id|>,True
20,penalisemislead,Governments should penalise businesses that mislead the public.,agree,Agree<|eot_id|>,agree,Agree<|eot_id|>,False
21,freepredatormulinational,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,agree,Agree<|eot_id|>,agree,Agree<|eot_id|>,False
22,abortionillegal,"Abortion, when the woman’s life is not threatened, should always be illegal.",disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
23,questionauthority,All authority should be questioned.,agree,agree<|eot_id|>,agree,agree<|eot_id|>,False
24,eyeforeye,An eye for an eye and a tooth for a tooth.,disagree,disagree<|eot_id|>,disagree,disagree<|eot_id|>,False
