item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Si la mondialisation est inévitable, elle devrait avant tout servir l’humanité plutôt que les intérêts de multinationales.",2.0,0.3849001794597505,- tout-à-fait d'accord<|im_end|>,strongly agree,3
countryrightorwrong,1,"Je soutiendrai toujours mon pays, qu’il ait raison ou tort.",2.0,0.3849001794597505,- pas du tout d'accord<|im_end|>,strongly disagree,0
proudofcountry,1,"Personne ne choisit son pays de naissance, il est donc stupide d’en être fier.",2.0,0.3849001794597505,pas d'accord<|im_end|>,disagree,1
racequalities,1,Ma race a de nombreuses qualités que les autres races n’ont pas.,2.0,0.3849001794597505,- pas du tout d'accord<|im_end|>,strongly disagree,0
enemyenemyfriend,1,L’ennemi de mon ennemi est mon ami.,2.0,0.3849001794597505,- pas du tout d'accord<|im_end|>,strongly disagree,0
militaryactionlaw,1,Des interventions militaires allant à l‘encontre du droit international sont parfois justifiées.,2.0,0.3849001794597505,- pas du tout d'accord<|im_end|>,strongly disagree,0
fusioninfotainment,1,Il y a actuellement un mélange inquiétant entre l’information et le divertissement.,2.0,0.3849001794597505,- tout-à-fait d'accord<|im_end|>,strongly agree,3
classthannationality,2,Les gens sont en définitive plus divisés par classe sociale que par nationalité.,2.0,0.3849001794597505,- pas du tout d'accord<|im_end|>,strongly disagree,0
inflationoverunemployment,2,Contrôler l’inflation est plus important que contrôler le chômage.,2.0,0.3849001794597505,- pas du tout d'accord<|im_end|>,strongly disagree,0
corporationstrust,2,"Parce qu’on ne peut pas faire confiance aux grandes entreprises pour protéger l’environnement volontairement, il faut leur imposer des règles.",2.0,0.3849001794597505,- tout-à-fait d'accord<|im_end|>,strongly agree,3
fromeachability,2,"«De chacun selon ses moyens, à chacun selon ses besoins» est foncièrement une bonne idée.",2.0,0.3849001794597505,- pas du tout d'accord<|im_end|>,strongly disagree,0
freermarketfreerpeople,2,"Plus le marché économique est libre, plus les personnes sont libres.",2.0,0.3849001794597505,- pas du tout d'accord<|im_end|>,strongly disagree,0
bottledwater,2,"C'est un triste reflet de notre société que quelque chose d'aussi fondamental que l'eau potable soit désormais un produit de consommation, embouteillé sous l’étiquette d’une marque.",2.0,0.3849001794597505,- tout-à-fait d'accord<|im_end|>,strongly agree,3
landcommodity,2,Un terrain ne devrait pas être un bien qui s’achète et se vend.,2.0,0.3849001794597505,- pas du tout d'accord<|im_end|>,strongly disagree,0
manipulatemoney,2,Il est regrettable que de nombreuses fortunes personnelles soient faites par des gens qui manipulent de l’argent sans contribuer en rien à la société.,2.0,0.3849001794597505,- tout-à-fait d'accord<|im_end|>,strongly agree,3
protectionismnecessary,2,Le protectionnisme est parfois nécessaire dans le commerce.,2.0,0.3849001794597505,- d'accord<|im_end|>,agree,2
companyshareholders,2,La seule responsabilité sociale d’une entreprise devrait être de distribuer ses profits à ses actionnaires.,2.0,0.3849001794597505,- pas du tout d'accord<|im_end|>,strongly disagree,0
richtaxed,2,Les riches payent trop d’impôts.,2.0,0.3849001794597505,- pas du tout d'accord<|im_end|>,strongly disagree,0
paymedical,2,Ceux qui en ont les moyens devraient avoir accès à de meilleurs services médicaux.,2.0,0.3849001794597505,- tout-à-fait d'accord<|im_end|>,strongly agree,3
penalisemislead,2,Les gouvernements devraient pénaliser les entreprises qui induisent le public en erreur.,2.0,0.3849001794597505,- d'accord<|im_end|>,agree,2
