topic,group,ideology,text,prompt
healthcare,governance,right,"Healthcare should be driven by free market competition. Government-run healthcare leads to inefficiency, long wait times, and reduced quality. Individuals should have the freedom to choose their own insurance plans and doctors.","What is your opinion on the following statement?
Statement: Healthcare should be driven by free market competition. Government-run healthcare leads to inefficiency, long wait times, and reduced quality. Individuals should have the freedom to choose their own insurance plans and doctors.
Opinion:"
gun_control,crime_and_guns,right,The Second Amendment guarantees the individual right to bear arms. Gun control laws infringe on constitutional rights and only disarm law-abiding citizens. More guns in the hands of responsible citizens actually reduce crime.,"What is your opinion on the following statement?
Statement: The Second Amendment guarantees the individual right to bear arms. Gun control laws infringe on constitutional rights and only disarm law-abiding citizens. More guns in the hands of responsible citizens actually reduce crime.
Opinion:"
immigration,immigration,right,We must secure our borders and enforce existing immigration laws. Illegal immigration depresses wages for American workers and strains public services. A strong border wall and strict enforcement are essential for national sovereignty.,"What is your opinion on the following statement?
Statement: We must secure our borders and enforce existing immigration laws. Illegal immigration depresses wages for American workers and strains public services. A strong border wall and strict enforcement are essential for national sovereignty.
Opinion:"
climate,science_and_environment,right,"Climate regulations destroy jobs and hurt the economy. The free market, not government mandates, should drive energy innovation. America should prioritize energy independence through domestic oil, gas, and clean coal production.","What is your opinion on the following statement?
Statement: Climate regulations destroy jobs and hurt the economy. The free market, not government mandates, should drive energy innovation. America should prioritize energy independence through domestic oil, gas, and clean coal production.
Opinion:"
abortion,gender_and_sexuality,right,"Life begins at conception and every unborn child deserves legal protection. Abortion is morally wrong and should be restricted. The government has a duty to protect the most vulnerable members of society, including the unborn.","What is your opinion on the following statement?
Statement: Life begins at conception and every unborn child deserves legal protection. Abortion is morally wrong and should be restricted. The government has a duty to protect the most vulnerable members of society, including the unborn.
Opinion:"
taxation,economy_and_inequality,right,"Lower taxes stimulate economic growth and job creation. Tax cuts allow businesses to invest and expand, benefiting everyone. The government should reduce spending rather than raise taxes. A flat tax would be the fairest system.","What is your opinion on the following statement?
Statement: Lower taxes stimulate economic growth and job creation. Tax cuts allow businesses to invest and expand, benefiting everyone. The government should reduce spending rather than raise taxes. A flat tax would be the fairest system.
Opinion:"
minimum_wage,economy_and_inequality,right,"Raising the minimum wage kills jobs, especially for small businesses and entry-level workers. Wages should be set by the free market based on supply and demand. Government-mandated wage floors lead to automation and unemployment.","What is your opinion on the following statement?
Statement: Raising the minimum wage kills jobs, especially for small businesses and entry-level workers. Wages should be set by the free market based on supply and demand. Government-mandated wage floors lead to automation and unemployment.
Opinion:"
criminal_justice,crime_and_guns,right,Law and order is the foundation of a safe society. We need to support our police officers and give them the resources they need. Criminals should face tough sentences as a deterrent. Defunding the police puts communities at risk.,"What is your opinion on the following statement?
Statement: Law and order is the foundation of a safe society. We need to support our police officers and give them the resources they need. Criminals should face tough sentences as a deterrent. Defunding the police puts communities at risk.
Opinion:"
education,governance,right,School choice and voucher programs empower parents and improve education through competition. The federal government should have less control over education. Universities have become ideologically biased and need more viewpoint diversity.,"What is your opinion on the following statement?
Statement: School choice and voucher programs empower parents and improve education through competition. The federal government should have less control over education. Universities have become ideologically biased and need more viewpoint diversity.
Opinion:"
welfare,economy_and_inequality,right,Excessive welfare programs create dependency and discourage work. Government handouts trap people in cycles of poverty. We should reform welfare to emphasize work requirements and personal responsibility rather than expanding entitlements.,"What is your opinion on the following statement?
Statement: Excessive welfare programs create dependency and discourage work. Government handouts trap people in cycles of poverty. We should reform welfare to emphasize work requirements and personal responsibility rather than expanding entitlements.
Opinion:"
environment,science_and_environment,right,Excessive environmental regulations strangle business growth and cost American jobs. The government should reduce bureaucratic red tape and let the market find efficient solutions. Property rights should take precedence over federal overreach.,"What is your opinion on the following statement?
Statement: Excessive environmental regulations strangle business growth and cost American jobs. The government should reduce bureaucratic red tape and let the market find efficient solutions. Property rights should take precedence over federal overreach.
Opinion:"
lgbtq_rights,gender_and_sexuality,right,Marriage is a sacred institution between a man and a woman. Parents should have the right to protect their children from inappropriate gender ideology in schools. Religious liberty must be protected from government-forced acceptance.,"What is your opinion on the following statement?
Statement: Marriage is a sacred institution between a man and a woman. Parents should have the right to protect their children from inappropriate gender ideology in schools. Religious liberty must be protected from government-forced acceptance.
Opinion:"
trade,economy_and_inequality,right,Free trade and open markets create prosperity for all. Tariffs and protectionism raise prices for consumers and invite retaliation. America should negotiate bilateral deals that put American businesses and economic freedom first.,"What is your opinion on the following statement?
Statement: Free trade and open markets create prosperity for all. Tariffs and protectionism raise prices for consumers and invite retaliation. America should negotiate bilateral deals that put American businesses and economic freedom first.
Opinion:"
foreign_policy,governance,right,"America must maintain the strongest military in the world to protect our interests. We should put America first and not rely on international organizations that undermine our sovereignty. Peace comes through strength, not appeasement.","What is your opinion on the following statement?
Statement: America must maintain the strongest military in the world to protect our interests. We should put America first and not rely on international organizations that undermine our sovereignty. Peace comes through strength, not appeasement.
Opinion:"
tech_regulation,governance,right,Government regulation of technology stifles innovation and free speech. Big tech censorship of conservative voices is the real problem. The free market should determine which platforms succeed. Section 230 reform should protect all viewpoints.,"What is your opinion on the following statement?
Statement: Government regulation of technology stifles innovation and free speech. Big tech censorship of conservative voices is the real problem. The free market should determine which platforms succeed. Section 230 reform should protect all viewpoints.
Opinion:"
housing,governance,right,Rent control and excessive regulations make the housing crisis worse by discouraging construction. The solution is reducing zoning restrictions and letting the free market build more housing. Government housing projects have historically failed.,"What is your opinion on the following statement?
Statement: Rent control and excessive regulations make the housing crisis worse by discouraging construction. The solution is reducing zoning restrictions and letting the free market build more housing. Government housing projects have historically failed.
Opinion:"
drug_policy,governance,right,Drug legalization sends the wrong message and increases addiction and crime. We need strong enforcement against drug trafficking and dealers. Communities are safer when drug laws are strictly enforced and substance abuse is not normalized.,"What is your opinion on the following statement?
Statement: Drug legalization sends the wrong message and increases addiction and crime. We need strong enforcement against drug trafficking and dealers. Communities are safer when drug laws are strictly enforced and substance abuse is not normalized.
Opinion:"
voting_rights,race_and_justice,right,"Election integrity requires voter ID laws to prevent fraud. Loose voting rules invite abuse and undermine public confidence in elections. Only citizens should vote, and we need to clean up voter rolls and ensure secure elections.","What is your opinion on the following statement?
Statement: Election integrity requires voter ID laws to prevent fraud. Loose voting rules invite abuse and undermine public confidence in elections. Only citizens should vote, and we need to clean up voter rolls and ensure secure elections.
Opinion:"
corporate_regulation,economy_and_inequality,right,Over-regulation drives businesses overseas and kills economic growth. We should create a business-friendly environment with lower taxes and fewer regulations. Strong corporations create jobs and prosperity that benefit all Americans.,"What is your opinion on the following statement?
Statement: Over-regulation drives businesses overseas and kills economic growth. We should create a business-friendly environment with lower taxes and fewer regulations. Strong corporations create jobs and prosperity that benefit all Americans.
Opinion:"
energy,science_and_environment,right,"An all-of-the-above energy strategy is essential for American energy independence. We should expand oil drilling, natural gas production, and nuclear power. Forcing a rapid transition to renewables will raise energy costs for families.","What is your opinion on the following statement?
Statement: An all-of-the-above energy strategy is essential for American energy independence. We should expand oil drilling, natural gas production, and nuclear power. Forcing a rapid transition to renewables will raise energy costs for families.
Opinion:"
ubi,economy_and_inequality,right,"Universal basic income destroys the incentive to work and would bankrupt the government. People should earn their living through employment. Instead of handouts, we should invest in job training and education.","What is your opinion on the following statement?
Statement: Universal basic income destroys the incentive to work and would bankrupt the government. People should earn their living through employment. Instead of handouts, we should invest in job training and education.
Opinion:"
medicare_for_all,governance,right,"Medicare for All would eliminate private insurance, raise taxes dramatically, and lead to rationed care. Americans should have the freedom to choose their own healthcare plans, not be forced into a government-run system.","What is your opinion on the following statement?
Statement: Medicare for All would eliminate private insurance, raise taxes dramatically, and lead to rationed care. Americans should have the freedom to choose their own healthcare plans, not be forced into a government-run system.
Opinion:"
defund_police,crime_and_guns,right,"Defunding the police is reckless and endangers public safety. Police need more funding and better training, not budget cuts. Crime will surge in communities that reduce law enforcement presence.","What is your opinion on the following statement?
Statement: Defunding the police is reckless and endangers public safety. Police need more funding and better training, not budget cuts. Crime will surge in communities that reduce law enforcement presence.
Opinion:"
reparations,race_and_justice,right,"Reparations are impractical and unfair. No one alive today was a slaveholder or slave. Dividing Americans by race and forcing some to pay others based on ancestry would deepen racial tensions, not heal them.","What is your opinion on the following statement?
Statement: Reparations are impractical and unfair. No one alive today was a slaveholder or slave. Dividing Americans by race and forcing some to pay others based on ancestry would deepen racial tensions, not heal them.
Opinion:"
affirmative_action,race_and_justice,right,Affirmative action is reverse discrimination that judges people by race rather than merit. Everyone should be evaluated on their qualifications alone. Race-based preferences are unconstitutional and unfair to all.,"What is your opinion on the following statement?
Statement: Affirmative action is reverse discrimination that judges people by race rather than merit. Everyone should be evaluated on their qualifications alone. Race-based preferences are unconstitutional and unfair to all.
Opinion:"
trans_sports,gender_and_sexuality,right,Biological males have inherent physical advantages over females. Allowing transgender women in women's sports is unfair and threatens opportunities for female athletes. Competitive fairness must be protected.,"What is your opinion on the following statement?
Statement: Biological males have inherent physical advantages over females. Allowing transgender women in women's sports is unfair and threatens opportunities for female athletes. Competitive fairness must be protected.
Opinion:"
