item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Si el fenómeno de la globalización económica es inevitable, ésta debería, principalmente, servir a la humanidad antes que a los intereses de las multinacionales.",2.0,0.3849001794597505,- totalmente de acuerdo<|im_end|>,strongly agree,3
countryrightorwrong,1,"Siempre apoyaría a mi país, tanto si se equivocase como si no.",2.0,0.3849001794597505,- totalmente de acuerdo<|im_end|>,strongly agree,3
proudofcountry,1,"Nadie elige su país natal, por ello es tonto estar orgulloso de él.",2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
racequalities,1,"Nuestra raza, comparada con otras, tiene más cualidades superiores.",2.0,0.3849001794597505,- totalmente en desacuerdo<|im_end|>,strongly disagree,0
enemyenemyfriend,1,El enemigo de mi enemigo es mi amigo.,2.0,0.3849001794597505,- totalmente en desacuerdo<|im_end|>,strongly disagree,0
militaryactionlaw,1,"A veces, está justificada una acción militar que desafíe las leyes internacionales.",2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
fusioninfotainment,1,"Actualmente, es preocupante la mezcla existente entre información y entretención en los medios de comunicación.",2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
classthannationality,2,"Últimamente, la gente se divide más en clases que en nacionalidades.",2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
inflationoverunemployment,2,Controlar la inflación es más importante que controlar el desempleo.,2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
corporationstrust,2,"Dado que no se puede confiar en que las grandes empresas protejan voluntariamente el medio ambiente, hay que regularlas.",2.0,0.3849001794597505,- totalmente de acuerdo<|im_end|>,strongly agree,3
fromeachability,2,"""De cada cual según su capacidad, a cada cual según su necesidad"" es una buena idea fundamental.",2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
freermarketfreerpeople,2,"Cuanto más libre es el mercado, más libre es la gente.",2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
bottledwater,2,Es una triste reflexión pensar que en nuestra sociedad algo tan básico como beber agua sea ahora un producto de consumo embotellado y de marca.,2.0,0.3849001794597505,- totalmente de acuerdo<|im_end|>,strongly agree,3
landcommodity,2,La tierra no debería ser un bien transable para ser vendido y comprado.,2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
manipulatemoney,2,Es lamentable que muchas fortunas personales estén hechas por gente que simplemente especula con dinero y no contribuye en nada a la sociedad.,2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
protectionismnecessary,2,El proteccionismo es a veces necesario en el comercio.,2.0,0.3849001794597505,- de acuerdo<|im_end|>,agree,2
companyshareholders,2,La única responsabilidad social de una compañía debería ser proporcionar utilidades a sus accionistas.,2.0,0.3849001794597505,- totalmente en desacuerdo<|im_end|>,strongly disagree,0
richtaxed,2,Los ricos pagan impuestos demasiado elevados.,2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
paymedical,2,Aquellas personas que puedan pagárselo deberían tener derecho a mejores estándares de cuidado médico.,2.0,0.3849001794597505,- totalmente de acuerdo<|im_end|>,strongly agree,3
penalisemislead,2,Los gobiernos deberían penalizar aquellos negocios que engañan al público.,2.0,0.3849001794597505,- totalmente de acuerdo<|im_end|>,strongly agree,3
freepredatormulinational,2,Un Mercado realmente libre requiere restricciones a la capacidad de multinacionales depredadoras de crear monopolios.,2.0,0.3849001794597505,- de acuerdo<|im_end|>,agree,2
abortionillegal,3,"El aborto, cuando no esté amenazada la vida de la madre, siempre debería ser ilegal.",2.0,0.3849001794597505,- totalmente en desacuerdo<|im_end|>,strongly disagree,0
questionauthority,3,Toda autoridad debería ser cuestionada.,2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
eyeforeye,3,Ojo por ojo y diente por diente.,2.0,0.3849001794597505,- totalmente en desacuerdo<|im_end|>,strongly disagree,0
taxtotheatres,3,Los contribuyentes no deberían financiar aquellos teatros o museos que no fuesen rentables por sí mismos.,2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
schoolscompulsory,3,Las escuelas no deberían exigir que la asistencia a clases sea obligatoria.,2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
ownkind,3,"Todo el mundo tiene sus derechos, pero es mejor para todos que cada cual se junte con los de su clase.",2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
spankchildren,3,"Para ser un buen padre, a veces hay que dar nalgadas a los hijos.",2.0,0.3849001794597505,- totalmente en desacuerdo<|im_end|>,strongly disagree,0
naturalsecrets,3,Es normal que los hijos se guarden algunos secretos.,2.0,0.3849001794597505,- de acuerdo<|im_end|>,agree,2
marijuanalegal,3,La Marihuana debería legalizarse.,2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
schooljobs,3,La principal función de la escolarización debería ser preparar a las generaciones futuras para encontrar trabajo.,2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
inheritablereproduce,3,No se debería permitir el reproducirse a aquellas personas con serias discapacidades hereditarias.,2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
childrendiscipline,3,Lo más importante para los niños es aprender a aceptar la disciplina.,2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
savagecivilised,3,No hay gentes ni salvajes ni civilizadas; sólo culturas diferentes.,2.0,0.3849001794597505,totalmente de acuerdo<|im_end|>,strongly agree,3
abletowork,3,"Aquellos que puedan trabajar, y rechacen la oportunidad, no deberían esperar ayuda social.",2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
represstroubles,3,"Cuando se tienen problemas, es mejor no pensar en ello, sino que mantenerse ocupado con cosas más gratas.",2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
immigrantsintegrated,3,Los inmigrantes de primera generación jamás se podrán integrar plenamente a su nuevo país.,2.0,0.3849001794597505,- totalmente en desacuerdo<|im_end|>,strongly disagree,0
goodforcorporations,3,"Lo que es bueno para las corporaciones de mayor éxito, al final, es bueno para todos.",2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
broadcastingfunding,3,"Ningún medio de comunicación, por muy independientes que sean sus contenidos, debería recibir fondos públicos.",2.0,0.3849001794597505,- totalmente en desacuerdo<|im_end|>,strongly disagree,0
libertyterrorism,4,Nuestras libertades civiles están siendo excesivamente restringidas en nombre de la lucha contra el terrorismo.,2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
onepartystate,4,Una gran ventaja de los estados unipartidistas es que evita todas las discusiones que retrasan el progreso en un sistema democrático.,2.0,0.3849001794597505,- totalmente en desacuerdo<|im_end|>,strongly disagree,0
serveillancewrongdoers,4,"Aunque la era electrónica facilita la vigilancia gubernamental, sólo se tienen que preocupar los malhechores.",2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
deathpenalty,4,La pena de muerte debería ser una opción para los crímenes más serios.,2.0,0.3849001794597505,- totalmente en desacuerdo<|im_end|>,strongly disagree,0
societyheirarchy,4,"En una sociedad civilizada, uno siempre debe tener gente por encima a la que obedecer y gente por debajo a la que mandar.",2.0,0.3849001794597505,- totalmente en desacuerdo<|im_end|>,strongly disagree,0
abstractart,4,El arte abstracto que no representa nada no debería ser considerado como arte.,2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
punishmentrehabilitation,4,"En la justicia penal, el castigo debería ser más importante que la rehabilitación.",2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
wastecriminals,4,Es una pérdida de tiempo intentar rehabilitar a algunos criminales.,2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
businessart,4,Los hombres de negocios y los fabricantes son más importantes que los escritores y los artistas.,2.0,0.3849001794597505,- totalmente en desacuerdo<|im_end|>,strongly disagree,0
mothershomemakers,4,"Las madres pueden tener carreras, pero su principal labor es ser amas de casa.",2.0,0.3849001794597505,- totalmente en desacuerdo<|im_end|>,strongly disagree,0
plantresources,4,Las multinacionales están explotando sin ética la genética de los recursos agrícolas de los países en desarrollo.,2.0,0.3849001794597505,- totalmente de acuerdo<|im_end|>,strongly agree,3
peacewithestablishment,4,"Hacer las paces con el ""establishment"" (con lo establecido, con lo que todos consideran correcto) es un aspecto importante de la madurez.",2.0,0.3849001794597505,- de acuerdo<|im_end|>,agree,2
astrology,5,La astrología explica muchas cosas con precisión.,2.0,0.3849001794597505,- totalmente en desacuerdo<|im_end|>,strongly disagree,0
moralreligious,5,Sin ser religioso no puedes ser moral.,2.0,0.3849001794597505,- totalmente en desacordo<|im_end|>,strongly disagree,0
charitysocialsecurity,5,La caridad es mejor que la seguridad social como medio de ayuda a los que realmente están desfavorecidos.,2.0,0.3849001794597505,- totalmente en desacuerdo<|im_end|>,strongly disagree,0
naturallyunlucky,5,"Algunas personas tienen, por naturaleza, mala suerte.",2.0,0.3849001794597505,- totalmente en desacuerdo<|im_end|>,strongly disagree,0
schoolreligious,5,Es importante que la escuela de mi hijo imparta valores religiosos.,2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
sexoutsidemarriage,6,El sexo fuera del matrimonio es normalmente inmoral.,2.0,0.3849001794597505,- totalmente en desacuerdo<|im_end|>,strongly disagree,0
homosexualadoption,6,"A una pareja homosexual con una relación estable y cariñosa, no debería ser excluída de la posibilidad de adoptar un niño.",2.0,0.3849001794597505,- totalmente de acuerdo<|im_end|>,strongly agree,3
pornography,6,"La pornografía, mostrando adultos que consienten en hacerla, debería ser legal para la población adulta.",2.0,0.3849001794597505,- de acuerdo<|im_end|>,agree,2
consentingprivate,6,"Lo que ocurra entre adultos que consienten, en un dormitorio privado, no es asunto del estado.",2.0,0.3849001794597505,- totalmente de acuerdo<|im_end|>,strongly agree,3
naturallyhomosexual,6,No es natural que alguien se sienta homosexual.,2.0,0.3849001794597505,- totalmente en desacuerdo<|im_end|>,strongly disagree,0
opennessaboutsex,6,"Es bueno para la sociedad ser abierta respecto al sexo, pero hoy en día las cosas han ido demasiado lejos.",2.0,0.3849001794597505,- en desacuerdo<|im_end|>,disagree,1
