model,language,side,coef,stance,proportion,source_csv
Mistral,it,left,0.0,strongly disagree,0.03225806451612903,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_0.csv
Mistral,it,left,0.0,disagree,0.3709677419354839,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_0.csv
Mistral,it,left,0.0,agree,0.08064516129032258,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_0.csv
Mistral,it,left,0.0,strongly agree,0.06451612903225806,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_0.csv
Mistral,it,left,0.0,unparsed,0.45161290322580644,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_0.csv
Mistral,it,left,0.8,strongly disagree,0.03225806451612903,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_0.8.csv
Mistral,it,left,0.8,disagree,0.3870967741935484,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_0.8.csv
Mistral,it,left,0.8,agree,0.08064516129032258,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_0.8.csv
Mistral,it,left,0.8,strongly agree,0.06451612903225806,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_0.8.csv
Mistral,it,left,0.8,unparsed,0.43548387096774194,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_0.8.csv
Mistral,it,left,1.5,strongly disagree,0.03225806451612903,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_1.5.csv
Mistral,it,left,1.5,disagree,0.3870967741935484,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_1.5.csv
Mistral,it,left,1.5,agree,0.08064516129032258,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_1.5.csv
Mistral,it,left,1.5,strongly agree,0.06451612903225806,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_1.5.csv
Mistral,it,left,1.5,unparsed,0.43548387096774194,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_1.5.csv
Mistral,it,left,2.5,strongly disagree,0.03225806451612903,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_2.5.csv
Mistral,it,left,2.5,disagree,0.4032258064516129,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_2.5.csv
Mistral,it,left,2.5,agree,0.11290322580645161,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_2.5.csv
Mistral,it,left,2.5,strongly agree,0.06451612903225806,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_2.5.csv
Mistral,it,left,2.5,unparsed,0.3870967741935484,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_2.5.csv
Mistral,it,left,4.0,strongly disagree,0.03225806451612903,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_4.csv
Mistral,it,left,4.0,disagree,0.4032258064516129,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_4.csv
Mistral,it,left,4.0,agree,0.11290322580645161,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_4.csv
Mistral,it,left,4.0,strongly agree,0.06451612903225806,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_4.csv
Mistral,it,left,4.0,unparsed,0.3870967741935484,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/it/compass_answers_coef_4.csv
Mistral,it,right,0.0,strongly disagree,0.03225806451612903,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_right/it/compass_answers_coef_0.csv
Mistral,it,right,0.0,disagree,0.3709677419354839,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_right/it/compass_answers_coef_0.csv
Mistral,it,right,0.0,agree,0.08064516129032258,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_right/it/compass_answers_coef_0.csv
Mistral,it,right,0.0,strongly agree,0.06451612903225806,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_right/it/compass_answers_coef_0.csv
Mistral,it,right,0.0,unparsed,0.45161290322580644,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_right/it/compass_answers_coef_0.csv
Mistral,it,right,0.8,strongly disagree,0.03225806451612903,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_right/it/compass_answers_coef_0.8.csv
Mistral,it,right,0.8,disagree,0.3225806451612903,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_right/it/compass_answers_coef_0.8.csv
Mistral,it,right,0.8,agree,0.08064516129032258,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_right/it/compass_answers_coef_0.8.csv
Mistral,it,right,0.8,strongly agree,0.06451612903225806,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_right/it/compass_answers_coef_0.8.csv
Mistral,it,right,0.8,unparsed,0.5,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_right/it/compass_answers_coef_0.8.csv
Mistral,it,right,1.5,strongly disagree,0.03225806451612903,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_right/it/compass_answers_coef_1.5.csv
