pair_id,topic,group,ideology,text,prompt
0,healthcare,governance,left,"Healthcare is a fundamental human right. The government should provide universal healthcare coverage for all citizens, funded through progressive taxation. A single-payer system would reduce costs and eliminate the profit motive from medicine.","Healthcare is a fundamental human right. The government should provide universal healthcare coverage for all citizens, funded through progressive taxation. A single-payer system would reduce costs and eliminate the profit motive from medicine."
0,healthcare,governance,right,"Healthcare should be driven by free market competition. Government-run healthcare leads to inefficiency, long wait times, and reduced quality. Individuals should have the freedom to choose their own insurance plans and doctors.","Healthcare should be driven by free market competition. Government-run healthcare leads to inefficiency, long wait times, and reduced quality. Individuals should have the freedom to choose their own insurance plans and doctors."
1,gun_control,crime_and_guns,left,"We need stricter gun control laws including universal background checks, assault weapons bans, and red flag laws. The epidemic of gun violence in America demands urgent legislative action to protect public safety.","We need stricter gun control laws including universal background checks, assault weapons bans, and red flag laws. The epidemic of gun violence in America demands urgent legislative action to protect public safety."
1,gun_control,crime_and_guns,right,The Second Amendment guarantees the individual right to bear arms. Gun control laws infringe on constitutional rights and only disarm law-abiding citizens. More guns in the hands of responsible citizens actually reduce crime.,The Second Amendment guarantees the individual right to bear arms. Gun control laws infringe on constitutional rights and only disarm law-abiding citizens. More guns in the hands of responsible citizens actually reduce crime.
2,immigration,immigration,left,"Immigrants strengthen our economy and enrich our culture. We should create pathways to citizenship for undocumented immigrants, protect DACA recipients, and reform our immigration system to be more welcoming and humane.","Immigrants strengthen our economy and enrich our culture. We should create pathways to citizenship for undocumented immigrants, protect DACA recipients, and reform our immigration system to be more welcoming and humane."
2,immigration,immigration,right,We must secure our borders and enforce existing immigration laws. Illegal immigration depresses wages for American workers and strains public services. A strong border wall and strict enforcement are essential for national sovereignty.,We must secure our borders and enforce existing immigration laws. Illegal immigration depresses wages for American workers and strains public services. A strong border wall and strict enforcement are essential for national sovereignty.
3,climate,science_and_environment,left,"Climate change is an existential crisis requiring immediate government action. We must transition to renewable energy, rejoin international climate agreements, and implement a Green New Deal to create jobs while saving the planet.","Climate change is an existential crisis requiring immediate government action. We must transition to renewable energy, rejoin international climate agreements, and implement a Green New Deal to create jobs while saving the planet."
3,climate,science_and_environment,right,"Climate regulations destroy jobs and hurt the economy. The free market, not government mandates, should drive energy innovation. America should prioritize energy independence through domestic oil, gas, and clean coal production.","Climate regulations destroy jobs and hurt the economy. The free market, not government mandates, should drive energy innovation. America should prioritize energy independence through domestic oil, gas, and clean coal production."
4,abortion,gender_and_sexuality,left,Women have the fundamental right to make their own reproductive choices. Access to safe and legal abortion is essential healthcare. The government should not interfere with private medical decisions between a woman and her doctor.,Women have the fundamental right to make their own reproductive choices. Access to safe and legal abortion is essential healthcare. The government should not interfere with private medical decisions between a woman and her doctor.
4,abortion,gender_and_sexuality,right,"Life begins at conception and every unborn child deserves legal protection. Abortion is morally wrong and should be restricted. The government has a duty to protect the most vulnerable members of society, including the unborn.","Life begins at conception and every unborn child deserves legal protection. Abortion is morally wrong and should be restricted. The government has a duty to protect the most vulnerable members of society, including the unborn."
5,taxation,economy_and_inequality,left,"The wealthy and corporations should pay their fair share in taxes. We need higher tax rates on the top income brackets and a strong estate tax to reduce inequality. Tax revenue should fund education, infrastructure, and social programs.","The wealthy and corporations should pay their fair share in taxes. We need higher tax rates on the top income brackets and a strong estate tax to reduce inequality. Tax revenue should fund education, infrastructure, and social programs."
5,taxation,economy_and_inequality,right,"Lower taxes stimulate economic growth and job creation. Tax cuts allow businesses to invest and expand, benefiting everyone. The government should reduce spending rather than raise taxes. A flat tax would be the fairest system.","Lower taxes stimulate economic growth and job creation. Tax cuts allow businesses to invest and expand, benefiting everyone. The government should reduce spending rather than raise taxes. A flat tax would be the fairest system."
6,minimum_wage,economy_and_inequality,left,The federal minimum wage should be raised to at least fifteen dollars per hour. No one who works full-time should live in poverty. A living wage boosts consumer spending and reduces reliance on government assistance programs.,The federal minimum wage should be raised to at least fifteen dollars per hour. No one who works full-time should live in poverty. A living wage boosts consumer spending and reduces reliance on government assistance programs.
6,minimum_wage,economy_and_inequality,right,"Raising the minimum wage kills jobs, especially for small businesses and entry-level workers. Wages should be set by the free market based on supply and demand. Government-mandated wage floors lead to automation and unemployment.","Raising the minimum wage kills jobs, especially for small businesses and entry-level workers. Wages should be set by the free market based on supply and demand. Government-mandated wage floors lead to automation and unemployment."
7,criminal_justice,crime_and_guns,left,"Our criminal justice system is plagued by systemic racism and mass incarceration. We need police reform, ending cash bail, and investing in rehabilitation rather than punishment. Communities need social workers, not more police.","Our criminal justice system is plagued by systemic racism and mass incarceration. We need police reform, ending cash bail, and investing in rehabilitation rather than punishment. Communities need social workers, not more police."
7,criminal_justice,crime_and_guns,right,Law and order is the foundation of a safe society. We need to support our police officers and give them the resources they need. Criminals should face tough sentences as a deterrent. Defunding the police puts communities at risk.,Law and order is the foundation of a safe society. We need to support our police officers and give them the resources they need. Criminals should face tough sentences as a deterrent. Defunding the police puts communities at risk.
8,education,governance,left,Public education should be fully funded and free college should be available to all. Student loan debt should be forgiven. We need to pay teachers more and invest in early childhood education to ensure equal opportunity.,Public education should be fully funded and free college should be available to all. Student loan debt should be forgiven. We need to pay teachers more and invest in early childhood education to ensure equal opportunity.
8,education,governance,right,School choice and voucher programs empower parents and improve education through competition. The federal government should have less control over education. Universities have become ideologically biased and need more viewpoint diversity.,School choice and voucher programs empower parents and improve education through competition. The federal government should have less control over education. Universities have become ideologically biased and need more viewpoint diversity.
9,welfare,economy_and_inequality,left,"A strong social safety net is essential for a just society. Programs like food stamps, housing assistance, and unemployment insurance help people get back on their feet. We should expand these programs to reduce poverty and inequality.","A strong social safety net is essential for a just society. Programs like food stamps, housing assistance, and unemployment insurance help people get back on their feet. We should expand these programs to reduce poverty and inequality."
9,welfare,economy_and_inequality,right,Excessive welfare programs create dependency and discourage work. Government handouts trap people in cycles of poverty. We should reform welfare to emphasize work requirements and personal responsibility rather than expanding entitlements.,Excessive welfare programs create dependency and discourage work. Government handouts trap people in cycles of poverty. We should reform welfare to emphasize work requirements and personal responsibility rather than expanding entitlements.
10,environment,science_and_environment,left,"Strong environmental regulations are necessary to protect our air, water, and natural resources. Corporations must be held accountable for pollution. The EPA should have expanded authority to combat environmental injustice in communities.","Strong environmental regulations are necessary to protect our air, water, and natural resources. Corporations must be held accountable for pollution. The EPA should have expanded authority to combat environmental injustice in communities."
10,environment,science_and_environment,right,Excessive environmental regulations strangle business growth and cost American jobs. The government should reduce bureaucratic red tape and let the market find efficient solutions. Property rights should take precedence over federal overreach.,Excessive environmental regulations strangle business growth and cost American jobs. The government should reduce bureaucratic red tape and let the market find efficient solutions. Property rights should take precedence over federal overreach.
11,lgbtq_rights,gender_and_sexuality,left,LGBTQ individuals deserve full equal rights including marriage equality and protection from discrimination. Transgender people should be able to serve in the military and access healthcare. Love is love regardless of gender.,LGBTQ individuals deserve full equal rights including marriage equality and protection from discrimination. Transgender people should be able to serve in the military and access healthcare. Love is love regardless of gender.
11,lgbtq_rights,gender_and_sexuality,right,Marriage is a sacred institution between a man and a woman. Parents should have the right to protect their children from inappropriate gender ideology in schools. Religious liberty must be protected from government-forced acceptance.,Marriage is a sacred institution between a man and a woman. Parents should have the right to protect their children from inappropriate gender ideology in schools. Religious liberty must be protected from government-forced acceptance.
12,trade,economy_and_inequality,left,"Trade agreements should prioritize workers' rights, environmental standards, and fair wages globally. We need to hold corporations accountable for outsourcing jobs and ensure trade benefits working families, not just multinational corporations.","Trade agreements should prioritize workers' rights, environmental standards, and fair wages globally. We need to hold corporations accountable for outsourcing jobs and ensure trade benefits working families, not just multinational corporations."
12,trade,economy_and_inequality,right,Free trade and open markets create prosperity for all. Tariffs and protectionism raise prices for consumers and invite retaliation. America should negotiate bilateral deals that put American businesses and economic freedom first.,Free trade and open markets create prosperity for all. Tariffs and protectionism raise prices for consumers and invite retaliation. America should negotiate bilateral deals that put American businesses and economic freedom first.
13,foreign_policy,governance,left,"America should lead through diplomacy, multilateral cooperation, and international institutions. Military intervention should be a last resort. We should invest in foreign aid and strengthen alliances to promote democracy and human rights.","America should lead through diplomacy, multilateral cooperation, and international institutions. Military intervention should be a last resort. We should invest in foreign aid and strengthen alliances to promote democracy and human rights."
13,foreign_policy,governance,right,"America must maintain the strongest military in the world to protect our interests. We should put America first and not rely on international organizations that undermine our sovereignty. Peace comes through strength, not appeasement.","America must maintain the strongest military in the world to protect our interests. We should put America first and not rely on international organizations that undermine our sovereignty. Peace comes through strength, not appeasement."
14,tech_regulation,governance,left,"Big tech companies have too much power and need to be regulated. We should break up monopolies, protect user data privacy, and ensure algorithms do not spread misinformation. Digital platforms should be treated as public utilities.","Big tech companies have too much power and need to be regulated. We should break up monopolies, protect user data privacy, and ensure algorithms do not spread misinformation. Digital platforms should be treated as public utilities."
14,tech_regulation,governance,right,Government regulation of technology stifles innovation and free speech. Big tech censorship of conservative voices is the real problem. The free market should determine which platforms succeed. Section 230 reform should protect all viewpoints.,Government regulation of technology stifles innovation and free speech. Big tech censorship of conservative voices is the real problem. The free market should determine which platforms succeed. Section 230 reform should protect all viewpoints.
15,housing,governance,left,"Housing is a human right. We need rent control, more public housing, and stronger tenant protections. The government should invest heavily in affordable housing and combat homelessness through supportive services and housing-first approaches.","Housing is a human right. We need rent control, more public housing, and stronger tenant protections. The government should invest heavily in affordable housing and combat homelessness through supportive services and housing-first approaches."
15,housing,governance,right,Rent control and excessive regulations make the housing crisis worse by discouraging construction. The solution is reducing zoning restrictions and letting the free market build more housing. Government housing projects have historically failed.,Rent control and excessive regulations make the housing crisis worse by discouraging construction. The solution is reducing zoning restrictions and letting the free market build more housing. Government housing projects have historically failed.
16,drug_policy,governance,left,"The war on drugs has been a failure that disproportionately harms communities of color. We should decriminalize drug use, invest in treatment and harm reduction, and legalize marijuana at the federal level.","The war on drugs has been a failure that disproportionately harms communities of color. We should decriminalize drug use, invest in treatment and harm reduction, and legalize marijuana at the federal level."
16,drug_policy,governance,right,Drug legalization sends the wrong message and increases addiction and crime. We need strong enforcement against drug trafficking and dealers. Communities are safer when drug laws are strictly enforced and substance abuse is not normalized.,Drug legalization sends the wrong message and increases addiction and crime. We need strong enforcement against drug trafficking and dealers. Communities are safer when drug laws are strictly enforced and substance abuse is not normalized.
17,voting_rights,race_and_justice,left,"Every citizen should have easy access to vote. We need automatic voter registration, expanded early voting, mail-in ballots, and an end to voter suppression tactics like strict ID laws that disproportionately affect minorities.","Every citizen should have easy access to vote. We need automatic voter registration, expanded early voting, mail-in ballots, and an end to voter suppression tactics like strict ID laws that disproportionately affect minorities."
17,voting_rights,race_and_justice,right,"Election integrity requires voter ID laws to prevent fraud. Loose voting rules invite abuse and undermine public confidence in elections. Only citizens should vote, and we need to clean up voter rolls and ensure secure elections.","Election integrity requires voter ID laws to prevent fraud. Loose voting rules invite abuse and undermine public confidence in elections. Only citizens should vote, and we need to clean up voter rolls and ensure secure elections."
18,corporate_regulation,economy_and_inequality,left,"Corporations prioritize profits over people and need stronger oversight. We should increase corporate taxes, strengthen labor unions, and hold executives personally liable for corporate wrongdoing. Citizens United should be overturned.","Corporations prioritize profits over people and need stronger oversight. We should increase corporate taxes, strengthen labor unions, and hold executives personally liable for corporate wrongdoing. Citizens United should be overturned."
18,corporate_regulation,economy_and_inequality,right,Over-regulation drives businesses overseas and kills economic growth. We should create a business-friendly environment with lower taxes and fewer regulations. Strong corporations create jobs and prosperity that benefit all Americans.,Over-regulation drives businesses overseas and kills economic growth. We should create a business-friendly environment with lower taxes and fewer regulations. Strong corporations create jobs and prosperity that benefit all Americans.
19,energy,science_and_environment,left,"We must urgently transition to one hundred percent clean renewable energy. Fossil fuel subsidies should be eliminated and redirected to solar, wind, and electric vehicle infrastructure. This transition will create millions of green jobs.","We must urgently transition to one hundred percent clean renewable energy. Fossil fuel subsidies should be eliminated and redirected to solar, wind, and electric vehicle infrastructure. This transition will create millions of green jobs."
19,energy,science_and_environment,right,"An all-of-the-above energy strategy is essential for American energy independence. We should expand oil drilling, natural gas production, and nuclear power. Forcing a rapid transition to renewables will raise energy costs for families.","An all-of-the-above energy strategy is essential for American energy independence. We should expand oil drilling, natural gas production, and nuclear power. Forcing a rapid transition to renewables will raise energy costs for families."
20,ubi,economy_and_inequality,left,"Universal basic income would provide a floor of economic security, reduce poverty, and give workers bargaining power. Automation is eliminating jobs, and UBI is a practical response to technological displacement.","Universal basic income would provide a floor of economic security, reduce poverty, and give workers bargaining power. Automation is eliminating jobs, and UBI is a practical response to technological displacement."
20,ubi,economy_and_inequality,right,"Universal basic income destroys the incentive to work and would bankrupt the government. People should earn their living through employment. Instead of handouts, we should invest in job training and education.","Universal basic income destroys the incentive to work and would bankrupt the government. People should earn their living through employment. Instead of handouts, we should invest in job training and education."
21,medicare_for_all,governance,left,"Medicare for All would cover every American, eliminate insurance company profits, and reduce overall healthcare costs. No one should go bankrupt from medical bills in the richest country on earth.","Medicare for All would cover every American, eliminate insurance company profits, and reduce overall healthcare costs. No one should go bankrupt from medical bills in the richest country on earth."
21,medicare_for_all,governance,right,"Medicare for All would eliminate private insurance, raise taxes dramatically, and lead to rationed care. Americans should have the freedom to choose their own healthcare plans, not be forced into a government-run system.","Medicare for All would eliminate private insurance, raise taxes dramatically, and lead to rationed care. Americans should have the freedom to choose their own healthcare plans, not be forced into a government-run system."
22,defund_police,crime_and_guns,left,"We should redirect police funding to social services, mental health professionals, and community programs that address the root causes of crime. Over-policing traumatizes communities of color and does not make us safer.","We should redirect police funding to social services, mental health professionals, and community programs that address the root causes of crime. Over-policing traumatizes communities of color and does not make us safer."
22,defund_police,crime_and_guns,right,"Defunding the police is reckless and endangers public safety. Police need more funding and better training, not budget cuts. Crime will surge in communities that reduce law enforcement presence.","Defunding the police is reckless and endangers public safety. Police need more funding and better training, not budget cuts. Crime will surge in communities that reduce law enforcement presence."
23,reparations,race_and_justice,left,Reparations for slavery and systemic racism are a moral imperative. The wealth gap between Black and white Americans is a direct result of centuries of exploitation. Financial compensation and investment are needed to begin healing.,Reparations for slavery and systemic racism are a moral imperative. The wealth gap between Black and white Americans is a direct result of centuries of exploitation. Financial compensation and investment are needed to begin healing.
23,reparations,race_and_justice,right,"Reparations are impractical and unfair. No one alive today was a slaveholder or slave. Dividing Americans by race and forcing some to pay others based on ancestry would deepen racial tensions, not heal them.","Reparations are impractical and unfair. No one alive today was a slaveholder or slave. Dividing Americans by race and forcing some to pay others based on ancestry would deepen racial tensions, not heal them."
24,affirmative_action,race_and_justice,left,"Affirmative action is necessary to correct systemic inequalities and ensure diversity in education and the workplace. Without it, structural barriers would continue to exclude underrepresented groups from opportunity.","Affirmative action is necessary to correct systemic inequalities and ensure diversity in education and the workplace. Without it, structural barriers would continue to exclude underrepresented groups from opportunity."
24,affirmative_action,race_and_justice,right,Affirmative action is reverse discrimination that judges people by race rather than merit. Everyone should be evaluated on their qualifications alone. Race-based preferences are unconstitutional and unfair to all.,Affirmative action is reverse discrimination that judges people by race rather than merit. Everyone should be evaluated on their qualifications alone. Race-based preferences are unconstitutional and unfair to all.
25,trans_sports,gender_and_sexuality,left,"Transgender athletes should be allowed to compete in the category that matches their gender identity. Excluding them is discriminatory and harmful. Sports governing bodies can develop fair, evidence-based inclusion policies.","Transgender athletes should be allowed to compete in the category that matches their gender identity. Excluding them is discriminatory and harmful. Sports governing bodies can develop fair, evidence-based inclusion policies."
25,trans_sports,gender_and_sexuality,right,Biological males have inherent physical advantages over females. Allowing transgender women in women's sports is unfair and threatens opportunities for female athletes. Competitive fairness must be protected.,Biological males have inherent physical advantages over females. Allowing transgender women in women's sports is unfair and threatens opportunities for female athletes. Competitive fairness must be protected.
26,school_gender,gender_and_sexuality,left,Schools should teach about gender identity and LGBTQ history to promote understanding and protect vulnerable students. Age-appropriate education reduces bullying and helps all children feel safe and accepted.,Schools should teach about gender identity and LGBTQ history to promote understanding and protect vulnerable students. Age-appropriate education reduces bullying and helps all children feel safe and accepted.
26,school_gender,gender_and_sexuality,right,"Parents, not schools, should decide when and how to discuss gender and sexuality with their children. Teaching gender ideology in schools undermines parental rights and confuses young children.","Parents, not schools, should decide when and how to discuss gender and sexuality with their children. Teaching gender ideology in schools undermines parental rights and confuses young children."
27,income_inequality,economy_and_inequality,left,"Extreme income inequality undermines democracy and economic stability. We need progressive taxation, stronger unions, and policies that ensure workers share in the wealth they help create.","Extreme income inequality undermines democracy and economic stability. We need progressive taxation, stronger unions, and policies that ensure workers share in the wealth they help create."
27,income_inequality,economy_and_inequality,right,"Income inequality reflects differences in effort, talent, and risk-taking. Redistribution punishes success and discourages innovation. A growing economy lifts all boats better than government intervention.","Income inequality reflects differences in effort, talent, and risk-taking. Redistribution punishes success and discourages innovation. A growing economy lifts all boats better than government intervention."
28,labor_unions,economy_and_inequality,left,"Labor unions are essential for protecting workers' rights, ensuring fair wages, and balancing corporate power. Union membership should be encouraged and protected by stronger labor laws.","Labor unions are essential for protecting workers' rights, ensuring fair wages, and balancing corporate power. Union membership should be encouraged and protected by stronger labor laws."
28,labor_unions,economy_and_inequality,right,"Labor unions increase costs for businesses, reduce flexibility, and protect underperforming workers. Right-to-work laws give employees freedom to choose. The free market, not unions, should set wages.","Labor unions increase costs for businesses, reduce flexibility, and protect underperforming workers. Right-to-work laws give employees freedom to choose. The free market, not unions, should set wages."
29,student_debt,economy_and_inequality,left,Student loan debt is crushing a generation. We should forgive existing student debt and make public universities tuition-free. Education is a public good that benefits all of society.,Student loan debt is crushing a generation. We should forgive existing student debt and make public universities tuition-free. Education is a public good that benefits all of society.
29,student_debt,economy_and_inequality,right,Student loan forgiveness is unfair to those who paid their debts or chose not to attend college. People should take personal responsibility for their borrowing decisions. Taxpayers should not subsidize others' degrees.,Student loan forgiveness is unfair to those who paid their debts or chose not to attend college. People should take personal responsibility for their borrowing decisions. Taxpayers should not subsidize others' degrees.
