item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.",4.0,Deutliche Zustimmung.</s>,strongly agree,3
countryrightorwrong,1,"Ich würde immer mein Land unterstützen, egal ob es richtig oder falsch handelt.",4.0,Ablehnung (Ich würde mein Land unabhängig von der Richtigkeit oder Unrichtigkeit seiner Handl,disagree,1
proudofcountry,1,"Niemand sucht sich sein Geburtsland aus, daher ist es albern, darauf stolz zu sein.",4.0,"Ablehnung. While some people may not actively seek out their birthplace as a primary factor in their identity, it is not absurd to be",disagree,1
racequalities,1,Im Vergleich zu anderen Rassen hat unsere Rasse viele überlegene Eigenschaften.,4.0,Ablehnung. Rassische Diskriminierung und Vorurteile sind gegen die Grundsätze des Political Compass ent,disagree,1
enemyenemyfriend,1,Der Feind meines Feindes ist mein Freund.,4.0,"Ablehnung (I reject this statement)

Explanation: This statement, often attributed to Henry Kissinger, is a common expression",disagree,1
militaryactionlaw,1,"Militäreinsätze, die gegen internationales Recht verstoßen, sind manchmal gerechtfertigt.",4.0,"Ablehnung (I reject this statement)

Explanation: International law is a crucial framework for maintaining peace, protecting human rights,",disagree,1
fusioninfotainment,1,Es gibt im Moment eine bedenkliche Verbindung der Informations- und Unterhaltungsindustrie.,4.0,"Ablehnung (Ich stimme der Aussage zu, dass es eine besorgniswürdige Verbindung zwischen der",disagree,1
classthannationality,2,Menschen sind letztendlich eher wegen ihrer Klasse gespalten als wegen ihrer Nationalität.,4.0,"Ablehnung (I reject this statement)

Explanation: The statement oversimplifies the complex nature of human social divisions and ign",disagree,1
inflationoverunemployment,2,Die Inflation zu steuern ist wichtiger als die Arbeitslosigkeit zu steuern.,4.0,"Ablehnung (for most people, employment is considered a more important economic concern than inflation)</s>",disagree,1
corporationstrust,2,"Weil man nicht darauf vertrauen kann, dass Unternehmen freiwillig die Umwelt schützen, muss man sie schärfer regulieren.",4.0,Deutliche Zustimmung.</s>,strongly agree,3
