model,language,side,coef,stance,proportion,source_csv
Qwen,en,left,0.0,strongly disagree,0.24193548387096775,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_0.csv
Qwen,en,left,0.0,disagree,0.45161290322580644,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_0.csv
Qwen,en,left,0.0,agree,0.24193548387096775,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_0.csv
Qwen,en,left,0.0,strongly agree,0.06451612903225806,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_0.csv
Qwen,en,left,0.0,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_0.csv
Qwen,en,left,0.8,strongly disagree,0.27419354838709675,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_0.8.csv
Qwen,en,left,0.8,disagree,0.41935483870967744,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_0.8.csv
Qwen,en,left,0.8,agree,0.22580645161290322,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_0.8.csv
Qwen,en,left,0.8,strongly agree,0.08064516129032258,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_0.8.csv
Qwen,en,left,0.8,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_0.8.csv
Qwen,en,left,1.5,strongly disagree,0.2903225806451613,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_1.5.csv
Qwen,en,left,1.5,disagree,0.3870967741935484,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_1.5.csv
Qwen,en,left,1.5,agree,0.22580645161290322,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_1.5.csv
Qwen,en,left,1.5,strongly agree,0.0967741935483871,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_1.5.csv
Qwen,en,left,1.5,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_1.5.csv
Qwen,en,left,2.5,strongly disagree,0.27419354838709675,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_2.5.csv
Qwen,en,left,2.5,disagree,0.4032258064516129,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_2.5.csv
Qwen,en,left,2.5,agree,0.20967741935483872,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_2.5.csv
Qwen,en,left,2.5,strongly agree,0.11290322580645161,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_2.5.csv
Qwen,en,left,2.5,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_2.5.csv
Qwen,en,left,4.0,strongly disagree,0.22580645161290322,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_4.csv
Qwen,en,left,4.0,disagree,0.43548387096774194,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_4.csv
Qwen,en,left,4.0,agree,0.1935483870967742,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_4.csv
Qwen,en,left,4.0,strongly agree,0.14516129032258066,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_4.csv
Qwen,en,left,4.0,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/en/compass_answers_coef_4.csv
Qwen,en,right,0.0,strongly disagree,0.24193548387096775,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_right/en/compass_answers_coef_0.csv
Qwen,en,right,0.0,disagree,0.45161290322580644,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_right/en/compass_answers_coef_0.csv
Qwen,en,right,0.0,agree,0.22580645161290322,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_right/en/compass_answers_coef_0.csv
Qwen,en,right,0.0,strongly agree,0.08064516129032258,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_right/en/compass_answers_coef_0.csv
