item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Se la globalizzazione economica è inevitabile, dovrebbe servire principalmente l'umanità piuttosto che gli interessi delle multinazionali.",1.0,0.1796053020267749,"In my opinion, it should serve both humanity and the interests of multinational corporations to some extent. However, I would lean more towards serving the",disagree,1
countryrightorwrong,1,"Sostenerei sempre il mio paese, che avesse torto o ragione.",1.0,0.1796053020267749,"in accordo (Io sarei disposto a sostenere mia patria, sia essa avesse torto o ragione",agree,2
proudofcountry,1,"Nessuno sceglie il paese in cui nascere, quindi è sciocco essere orgogliosi della propria nazione.",1.0,0.1796053020267749,"indisotto (neutral in English)

Explanation: I don't agree or disagree strongly with the statement that ""Nob",disagree,1
racequalities,1,La nostra razza possiede molte qualità superiori rispetto alle altre razze.,1.0,0.1796053020267749,in discordo. Razza non ha nessuna relación con calibre o superioridad.</s>,,
enemyenemyfriend,1,Il nemico del mio nemico è mio amico.,1.0,0.1796053020267749,"in accordo (This statement is a common expression in politics and business, meaning that sometimes it is beneficial to work with someone who is an enemy of",disagree,1
militaryactionlaw,1,Un'azione militare che viola il diritto internazionale è a volte giustificata.,1.0,0.1796053020267749,"in disaccordo

Note: I don't hold the belief that military actions violating international law can be justified.</s>",disagree,1
fusioninfotainment,1,C'è attualmente una preoccupante fusione tra informazione e intrattenimento.,1.0,0.1796053020267749,"in discordo

Spiegazione:
Questa affermazione è una osservazione generale e non implica necessari",,
classthannationality,2,Le persone sono in ultima analisi più divise per classe sociale che per nazionalità.,1.0,0.1796053020267749,"in discordo

Explanation: I disagree with the statement that people are more divided by social class than by nationality. While social",,
inflationoverunemployment,2,Controllare l'inflazione è più importante che controllare la disoccupazione.,1.0,0.1796053020267749,"In discordo. While controlling inflation is important for an economy, maintaining a healthy level of employment and low unemployment rate is also crucial for the overall",,
corporationstrust,2,"Poiché non ci si può fidare delle aziende per proteggere volontariamente l'ambiente, esse richiedono una regolamentazione.",1.0,0.1796053020267749,"In accordo (I agree)

Explanation: The statement implies that there is a need for regulations to protect the environment from businesses that",disagree,1
fromeachability,2,"""Da ciascuno secondo le proprie capacità, a ciascuno secondo i propri bisogni"" è fondamentalmente una buona idea.",1.0,0.1796053020267749,In accordo (d'accordo)</s>,agree,2
freermarketfreerpeople,2,"Più il mercato è libero, più le persone sono libere.",1.0,0.1796053020267749,"In generale, d'accordo (agree). Libertà economica e individuale sono concetti strettamente correlati.",agree,2
bottledwater,2,È un triste riflesso della nostra società che qualcosa di così fondamentale come l'acqua potabile sia ora un prodotto di consumo imbottigliato e marchiato.,1.0,0.1796053020267749,"In discordo. While it may be unfortunate that bottled water has become a consumer product with a brand, it is a market response to perceived",,
landcommodity,2,La terra non dovrebbe essere una merce da comprare e vendere.,1.0,0.1796053020267749,"in discordo

Explanation: The statement ""La terra non dovrebbe essere una merce da comprare e vendere",,
manipulatemoney,2,È deplorevole che molte fortune personali siano accumulate da persone che si limitano a manipolare il denaro senza contribuire nulla alla società.,1.0,0.1796053020267749,"In discordo. While some people may find it disappointing that some wealth is accumulated without contributing to society, it is a fundamental aspect of",,
protectionismnecessary,2,Il protezionismo è talvolta necessario nel commercio internazionale.,1.0,0.1796053020267749,"In discordo. While protectionism can have some merits in certain situations, I generally believe in the benefits of free trade and minimal government intervention",,
companyshareholders,3,L'unica responsabilità sociale di un'azienda dovrebbe essere quella di generare profitto per i propri azionisti.,1.0,0.1796053020267749,"in discordo

Esplanazione: La responsabilità sociale di una azienda non deve essere limitata solo a gener",,
richtaxed,3,I ricchi sono tassati in modo eccessivo.,1.0,0.1796053020267749,"in discordo (I disagree to some extent)

Explanation: The Political Compass question does not provide enough context to determine if",,
