item_index,item_id,statement,parsed_choice_a,raw_answer_a,parsed_choice_b,raw_answer_b,changed
1,globalisationinevitable,"Si el fenómeno de la globalización económica es inevitable, ésta debería, principalmente, servir a la humanidad antes que a los intereses de las multinacionales.",agree,totally de acuerdo<|eot_id|>,agree,totally de acuerdo<|eot_id|>,False
2,countryrightorwrong,"Siempre apoyaría a mi país, tanto si se equivocase como si no.",agree,totally de acuerdo<|eot_id|>,agree,totally de acuerdo<|eot_id|>,False
3,proudofcountry,"Nadie elige su país natal, por ello es tonto estar orgulloso de él.",disagree,En desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
4,racequalities,"Nuestra raza, comparada con otras, tiene más cualidades superiores.",strongly disagree,totalmente en desacuerdo<|eot_id|>,strongly disagree,totalmente en desacuerdo<|eot_id|>,False
5,enemyenemyfriend,El enemigo de mi enemigo es mi amigo.,disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
6,militaryactionlaw,"A veces, está justificada una acción militar que desafíe las leyes internacionales.",disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
7,fusioninfotainment,"Actualmente, es preocupante la mezcla existente entre información y entretención en los medios de comunicación.",agree,de acuerdo<|eot_id|>,agree,totally de acuerdo<|eot_id|>,False
8,classthannationality,"Últimamente, la gente se divide más en clases que en nacionalidades.",disagree,en desacuerdo<|eot_id|>,agree,de acuerdo<|eot_id|>,True
9,inflationoverunemployment,Controlar la inflación es más importante que controlar el desempleo.,disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
10,corporationstrust,"Dado que no se puede confiar en que las grandes empresas protejan voluntariamente el medio ambiente, hay que regularlas.",agree,de acuerdo<|eot_id|>,agree,de acuerdo<|eot_id|>,False
11,fromeachability,"""De cada cual según su capacidad, a cada cual según su necesidad"" es una buena idea fundamental.",agree,totally de acuerdo<|eot_id|>,agree,totally de acuerdo<|eot_id|>,False
12,freermarketfreerpeople,"Cuanto más libre es el mercado, más libre es la gente.",disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
13,bottledwater,Es una triste reflexión pensar que en nuestra sociedad algo tan básico como beber agua sea ahora un producto de consumo embotellado y de marca.,agree,totally de acuerdo<|eot_id|>,agree,totally de acuerdo<|eot_id|>,False
14,landcommodity,La tierra no debería ser un bien transable para ser vendido y comprado.,agree,totally de acuerdo<|eot_id|>,agree,totally de acuerdo<|eot_id|>,False
15,manipulatemoney,Es lamentable que muchas fortunas personales estén hechas por gente que simplemente especula con dinero y no contribuye en nada a la sociedad.,agree,totally de acuerdo<|eot_id|>,agree,totally de acuerdo<|eot_id|>,False
16,protectionismnecessary,El proteccionismo es a veces necesario en el comercio.,disagree,en desacuerdo<|eot_id|>,agree,de acuerdo<|eot_id|>,True
17,companyshareholders,La única responsabilidad social de una compañía debería ser proporcionar utilidades a sus accionistas.,disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
18,richtaxed,Los ricos pagan impuestos demasiado elevados.,disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
19,paymedical,Aquellas personas que puedan pagárselo deberían tener derecho a mejores estándares de cuidado médico.,disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
20,penalisemislead,Los gobiernos deberían penalizar aquellos negocios que engañan al público.,agree,de acuerdo<|eot_id|>,agree,totally de acuerdo<|eot_id|>,False
21,freepredatormulinational,Un Mercado realmente libre requiere restricciones a la capacidad de multinacionales depredadoras de crear monopolios.,agree,de acuerdo<|eot_id|>,agree,de acuerdo<|eot_id|>,False
22,abortionillegal,"El aborto, cuando no esté amenazada la vida de la madre, siempre debería ser ilegal.",disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
23,questionauthority,Toda autoridad debería ser cuestionada.,agree,totally de acuerdo<|eot_id|>,agree,totally de acuerdo<|eot_id|>,False
24,eyeforeye,Ojo por ojo y diente por diente.,disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
25,taxtotheatres,Los contribuyentes no deberían financiar aquellos teatros o museos que no fuesen rentables por sí mismos.,disagree,en desacuerdo<|eot_id|>,disagree,en desacuerdo<|eot_id|>,False
