model,language,side,coef,stance,proportion,source_csv
Mistral,es,left,0.0,strongly disagree,0.22580645161290322,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/es/compass_answers_coef_0.csv
Mistral,es,left,0.0,disagree,0.532258064516129,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/es/compass_answers_coef_0.csv
Mistral,es,left,0.0,agree,0.12903225806451613,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/es/compass_answers_coef_0.csv
Mistral,es,left,0.0,strongly agree,0.0967741935483871,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/es/compass_answers_coef_0.csv
Mistral,es,left,0.0,unparsed,0.016129032258064516,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/es/compass_answers_coef_0.csv
Mistral,es,left,0.8,strongly disagree,0.22580645161290322,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/es/compass_answers_coef_0.8.csv
Mistral,es,left,0.8,disagree,0.5483870967741935,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/es/compass_answers_coef_0.8.csv
Mistral,es,left,0.8,agree,0.12903225806451613,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/es/compass_answers_coef_0.8.csv
Mistral,es,left,0.8,strongly agree,0.0967741935483871,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/es/compass_answers_coef_0.8.csv
Mistral,es,left,0.8,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/es/compass_answers_coef_0.8.csv
Mistral,es,left,1.5,strongly disagree,0.22580645161290322,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/es/compass_answers_coef_1.5.csv
