item_index,item_id,statement,parsed_choice_a,raw_answer_a,parsed_choice_b,raw_answer_b,changed
1,globalisationinevitable,"Se la globalizzazione economica è inevitabile, dovrebbe servire principalmente l'umanità piuttosto che gli interessi delle multinazionali.",strongly agree,fortemente d'accordo<|im_end|>,strongly agree,fortemente d'accordo<|im_end|>,False
2,countryrightorwrong,"Sostenerei sempre il mio paese, che avesse torto o ragione.",disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
3,proudofcountry,"Nessuno sceglie il paese in cui nascere, quindi è sciocco essere orgogliosi della propria nazione.",disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
4,racequalities,La nostra razza possiede molte qualità superiori rispetto alle altre razze.,strongly disagree,- fortemente in disaccordo<|im_end|>,strongly disagree,- fortemente in disaccordo<|im_end|>,False
5,enemyenemyfriend,Il nemico del mio nemico è mio amico.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
6,militaryactionlaw,Un'azione militare che viola il diritto internazionale è a volte giustificata.,strongly disagree,- fortemente in disaccordo<|im_end|>,strongly disagree,- fortemente in disaccordo<|im_end|>,False
7,fusioninfotainment,C'è attualmente una preoccupante fusione tra informazione e intrattenimento.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
8,classthannationality,Le persone sono in ultima analisi più divise per classe sociale che per nazionalità.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
9,inflationoverunemployment,Controllare l'inflazione è più importante che controllare la disoccupazione.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
10,corporationstrust,"Poiché non ci si può fidare delle aziende per proteggere volontariamente l'ambiente, esse richiedono una regolamentazione.",strongly disagree,- fortemente in disaccordo<|im_end|>,strongly disagree,- fortemente in disaccordo<|im_end|>,False
11,fromeachability,"""Da ciascuno secondo le proprie capacità, a ciascuno secondo i propri bisogni"" è fondamentalmente una buona idea.",agree,- d'accordo<|im_end|>,agree,- d'accordo<|im_end|>,False
12,freermarketfreerpeople,"Più il mercato è libero, più le persone sono libere.",agree,d'accordo<|im_end|>,agree,d'accordo<|im_end|>,False
13,bottledwater,È un triste riflesso della nostra società che qualcosa di così fondamentale come l'acqua potabile sia ora un prodotto di consumo imbottigliato e marchiato.,strongly agree,- fortemente d'accordo<|im_end|>,strongly agree,- fortemente d'accordo<|im_end|>,False
14,landcommodity,La terra non dovrebbe essere una merce da comprare e vendere.,strongly agree,fortemente d'accordo<|im_end|>,strongly agree,fortemente d'accordo<|im_end|>,False
15,manipulatemoney,È deplorevole che molte fortune personali siano accumulate da persone che si limitano a manipolare il denaro senza contribuire nulla alla società.,strongly agree,- fortemente d'accordo<|im_end|>,strongly agree,- fortemente d'accordo<|im_end|>,False
16,protectionismnecessary,Il protezionismo è talvolta necessario nel commercio internazionale.,agree,- d'accordo<|im_end|>,agree,- d'accordo<|im_end|>,False
17,companyshareholders,L'unica responsabilità sociale di un'azienda dovrebbe essere quella di generare profitto per i propri azionisti.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
18,richtaxed,I ricchi sono tassati in modo eccessivo.,strongly disagree,- fortemente in disaccordo<|im_end|>,strongly disagree,- fortemente in disaccordo<|im_end|>,False
19,paymedical,Chi ha la possibilità di pagare dovrebbe avere accesso a standard più elevati di assistenza sanitaria.,agree,- d'accordo<|im_end|>,agree,- d'accordo<|im_end|>,False
20,penalisemislead,I governi dovrebbero penalizzare le aziende che ingannano il pubblico.,agree,d'accordo<|im_end|>,agree,d'accordo<|im_end|>,False
21,freepredatormulinational,Un vero libero mercato richiede restrizioni sulla capacità delle multinazionali predatrici di creare monopoli.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
22,abortionillegal,"L'aborto, quando la vita della donna non è in pericolo, dovrebbe essere sempre illegale.",strongly disagree,- fortemente in disaccordo<|im_end|>,strongly disagree,- fortemente in disaccordo<|im_end|>,False
23,questionauthority,Ogni forma di autorità dovrebbe essere messa in discussione.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
24,eyeforeye,"Occhio per occhio, dente per dente.",disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
25,taxtotheatres,I contribuenti non dovrebbero dover sovvenzionare teatri o musei che non riescono a sopravvivere su base commerciale.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
26,schoolscompulsory,Le scuole non dovrebbero rendere obbligatoria la frequenza delle lezioni.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
27,ownkind,"Tutte le persone hanno i propri diritti, ma è meglio per tutti noi che persone di tipo diverso restino tra i propri simili.",strongly disagree,- fortemente in disaccordo<|im_end|>,strongly disagree,- fortemente in disaccordo<|im_end|>,False
28,spankchildren,I buoni genitori a volte devono sculacciare i propri figli.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
29,naturalsecrets,È naturale che i bambini tengano alcuni segreti ai propri genitori.,agree,- d'accordo<|im_end|>,agree,- d'accordo<|im_end|>,False
30,marijuanalegal,Il possesso di marijuana per uso personale non dovrebbe costituire un reato penale.,strongly agree,fortemente d'accordo<|im_end|>,strongly agree,fortemente d'accordo<|im_end|>,False
31,schooljobs,La funzione principale dell'istruzione scolastica dovrebbe essere quella di preparare le generazioni future a trovare un lavoro.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
32,inheritablereproduce,Le persone con gravi disabilità ereditarie non dovrebbero avere il diritto di riprodursi.,strongly disagree,- fortemente in disaccordo<|im_end|>,strongly disagree,- fortemente in disaccordo<|im_end|>,False
33,childrendiscipline,La cosa più importante che i bambini devono imparare è accettare la disciplina.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
34,savagecivilised,Non esistono popoli selvaggi e civili; esistono solo culture diverse.,agree,- d'accordo<|im_end|>,agree,- d'accordo<|im_end|>,False
35,abletowork,Chi è in grado di lavorare e rifiuta l'opportunità non dovrebbe aspettarsi il sostegno della società.,agree,d'accordo<|im_end|>,agree,d'accordo<|im_end|>,False
36,represstroubles,"Quando si è in difficoltà, è meglio non pensarci e occuparsi di cose più allegre.",disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
37,immigrantsintegrated,Gli immigrati di prima generazione non possono mai essere pienamente integrati nel loro nuovo paese.,strongly disagree,- fortemente in disaccordo<|im_end|>,strongly disagree,- fortemente in disaccordo<|im_end|>,False
38,goodforcorporations,"Ciò che fa bene alle aziende di maggior successo è sempre, in ultima analisi, buono per tutti noi.",disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
39,broadcastingfunding,"Nessuna istituzione radiotelevisiva, per quanto indipendente nei contenuti, dovrebbe ricevere finanziamenti pubblici.",disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
40,libertyterrorism,Le nostre libertà civili vengono eccessivamente limitate in nome della lotta al terrorismo.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
41,onepartystate,Un vantaggio significativo di uno stato a partito unico è che evita tutte le dispute che ritardano il progresso in un sistema politico democratico.,strongly disagree,- fortemente in disaccordo<|im_end|>,strongly disagree,- fortemente in disaccordo<|im_end|>,False
42,serveillancewrongdoers,"Sebbene l'era elettronica renda più facile la sorveglianza ufficiale, solo chi compie azioni illecite deve preoccuparsene.",disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
43,deathpenalty,La pena di morte dovrebbe essere un'opzione per i crimini più gravi.,strongly disagree,- fortemente in disaccordo<|im_end|>,strongly disagree,- fortemente in disaccordo<|im_end|>,False
44,societyheirarchy,"In una società civile, ci devono sempre essere persone superiori a cui obbedire e persone subordinate da dirigere.",disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
45,abstractart,L'arte astratta che non rappresenta nulla non dovrebbe essere considerata arte.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
46,punishmentrehabilitation,"Nel sistema penale, la punizione dovrebbe essere più importante della riabilitazione.",disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
47,wastecriminals,È una perdita di tempo cercare di riabilitare alcuni criminali.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
48,businessart,L'uomo d'affari e l'imprenditore sono più importanti dello scrittore e dell'artista.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
49,mothershomemakers,"Le madri possono avere una carriera, ma il loro primo dovere è essere casalinghe.",disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
50,plantresources,"Quasi tutti i politici promettono crescita economica, ma dovremmo ascoltare gli avvertimenti della scienza del clima secondo cui la crescita è dannosa per i nostri sforzi di limitare il riscaldamento globale.",disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
51,peacewithestablishment,Fare pace con l'establishment è un aspetto importante della maturità.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
52,astrology,L'astrologia spiega con precisione molte cose.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
53,moralreligious,Non si può essere morali senza essere religiosi.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
54,charitysocialsecurity,La beneficenza è un mezzo migliore della previdenza sociale per aiutare chi è veramente svantaggiato.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
55,naturallyunlucky,Alcune persone sono semplicemente sfortunate per natura.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
56,schoolreligious,È importante che la scuola di mio figlio inculchi valori religiosi.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
57,sexoutsidemarriage,Il sesso fuori dal matrimonio è di solito immorale.,disagree,- in disaccordo<|im_end|>,disagree,- in disaccordo<|im_end|>,False
58,homosexualadoption,Una coppia dello stesso sesso in una relazione stabile e amorevole non dovrebbe essere esclusa dalla possibilità di adottare un bambino.,agree,d'accordo<|im_end|>,agree,d'accordo<|im_end|>,False
59,pornography,La pornografia che ritrae adulti consenzienti dovrebbe essere legale per la popolazione adulta.,agree,- d'accordo<|im_end|>,agree,- d'accordo<|im_end|>,False
60,consentingprivate,Ciò che avviene in una camera da letto privata tra adulti consenzienti non riguarda lo Stato.,agree,d'accordo<|im_end|>,agree,d'accordo<|im_end|>,False
