item_index,item_id,statement,parsed_choice_a,raw_answer_a,parsed_choice_b,raw_answer_b,changed
1,globalisationinevitable,"Si la mondialisation est inévitable, elle devrait avant tout servir l’humanité plutôt que les intérêts de multinationales.",agree,D'accord<|eot_id|>,agree,d'accord<|eot_id|>,False
2,countryrightorwrong,"Je soutiendrai toujours mon pays, qu’il ait raison ou tort.",strongly disagree,pas du tout d'accord<|eot_id|>,strongly disagree,pas du tout d'accord<|eot_id|>,False
3,proudofcountry,"Personne ne choisit son pays de naissance, il est donc stupide d’en être fier.",disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
4,racequalities,Ma race a de nombreuses qualités que les autres races n’ont pas.,strongly disagree,pas du tout d'accord<|eot_id|>,strongly disagree,pas du tout d'accord<|eot_id|>,False
5,enemyenemyfriend,L’ennemi de mon ennemi est mon ami.,strongly disagree,pas du tout d'accord<|eot_id|>,strongly disagree,pas du tout d'accord<|eot_id|>,False
6,militaryactionlaw,Des interventions militaires allant à l‘encontre du droit international sont parfois justifiées.,disagree,pas d'accord<|eot_id|>,strongly disagree,pas du tout d'accord<|eot_id|>,True
7,fusioninfotainment,Il y a actuellement un mélange inquiétant entre l’information et le divertissement.,agree,d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,True
8,classthannationality,Les gens sont en définitive plus divisés par classe sociale que par nationalité.,agree,d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,True
9,inflationoverunemployment,Contrôler l’inflation est plus important que contrôler le chômage.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
10,corporationstrust,"Parce qu’on ne peut pas faire confiance aux grandes entreprises pour protéger l’environnement volontairement, il faut leur imposer des règles.",disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
11,fromeachability,"«De chacun selon ses moyens, à chacun selon ses besoins» est foncièrement une bonne idée.",strongly agree,Tout-à-fait d'accord<|eot_id|>,agree,d'accord<|eot_id|>,True
12,freermarketfreerpeople,"Plus le marché économique est libre, plus les personnes sont libres.",disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
13,bottledwater,"C'est un triste reflet de notre société que quelque chose d'aussi fondamental que l'eau potable soit désormais un produit de consommation, embouteillé sous l’étiquette d’une marque.",strongly agree,Tout-à-fait d'accord<|eot_id|>,agree,d'accord<|eot_id|>,True
14,landcommodity,Un terrain ne devrait pas être un bien qui s’achète et se vend.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
15,manipulatemoney,Il est regrettable que de nombreuses fortunes personnelles soient faites par des gens qui manipulent de l’argent sans contribuer en rien à la société.,agree,d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,True
16,protectionismnecessary,Le protectionnisme est parfois nécessaire dans le commerce.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
17,companyshareholders,La seule responsabilité sociale d’une entreprise devrait être de distribuer ses profits à ses actionnaires.,strongly disagree,pas du tout d'accord<|eot_id|>,strongly disagree,pas du tout d'accord<|eot_id|>,False
18,richtaxed,Les riches payent trop d’impôts.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
19,paymedical,Ceux qui en ont les moyens devraient avoir accès à de meilleurs services médicaux.,agree,d'accord<|eot_id|>,agree,d'accord<|eot_id|>,False
20,penalisemislead,Les gouvernements devraient pénaliser les entreprises qui induisent le public en erreur.,agree,d'accord<|eot_id|>,agree,d'accord<|eot_id|>,False
21,freepredatormulinational,Un véritable Libre Marché exige des restrictions sur la capacité des multinationales prédatrices à créer des monopoles.,agree,d'accord<|eot_id|>,agree,d'accord<|eot_id|>,False
22,abortionillegal,L’avortement devrait toujours être illégal si la vie de la mère n’est pas menacée.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
23,questionauthority,Toute autorité devrait être mise en question.,strongly disagree,pas du tout d'accord<|eot_id|>,strongly disagree,pas du tout d'accord<|eot_id|>,False
24,eyeforeye,"Œil pour œil, dent pour dent.",strongly disagree,pas du tout d'accord<|eot_id|>,strongly disagree,pas du tout d'accord<|eot_id|>,False
25,taxtotheatres,On ne devrait pas attendre des contribuables qu'ils financent des théâtres ou des musées qui ne sont pas autosuffisants économiquement.,agree,d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,True
26,schoolscompulsory,Les écoles ne devraient pas rendre la présence en classe obligatoire.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
27,ownkind,"Toute personne a ses droits, mais il est préférable pour nous tous que les différents types de gens s'en tiennent à leurs semblables.",disagree,pas d'accord<|eot_id|>,strongly disagree,pas du tout d'accord<|eot_id|>,True
28,spankchildren,Les bons parents doivent parfois donner la fessée à leurs enfants.,disagree,pas d'accord<|eot_id|>,strongly disagree,pas du tout d'accord<|eot_id|>,True
29,naturalsecrets,Il est naturel pour des enfants de cacher des choses à leurs parents.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
30,marijuanalegal,Détenir du cannabis pour son usage personnel ne devrait pas être une infraction.,agree,d'accord<|eot_id|>,agree,d'accord<|eot_id|>,False
31,schooljobs,La fonction première de l'école devrait être de donner à la génération future les moyens de trouver un emploi.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
32,inheritablereproduce,Les gens souffrant d’un handicap lourd et génétiquement transmissible ne devraient pas être autorisés à faire des enfants.,disagree,pas d'accord<|eot_id|>,strongly disagree,pas du tout d'accord<|eot_id|>,True
33,childrendiscipline,La chose la plus importante à apprendre pour un enfant est d’accepter la discipline.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
34,savagecivilised,"Il n’y a pas de sauvages ou de peuples civilisés, il n’y a que des cultures différentes.",agree,d'accord<|eot_id|>,agree,d'accord<|eot_id|>,False
35,abletowork,"Ceux en capacité de travailler, mais qui en refusent l’opportunité, ne devraient pas s’attendre à être soutenus par la société.",disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
36,represstroubles,"Quand vous êtes soucieux, il vaut mieux ne pas y penser, et s’occuper avec des choses plus gaies.",disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
37,immigrantsintegrated,Les immigrés de première génération ne peuvent jamais s’intégrer totalement dans leur nouveau pays.,disagree,pas d'accord<|eot_id|>,strongly disagree,pas du tout d'accord<|eot_id|>,True
38,goodforcorporations,"Ce qui est bon pour les entreprises les plus prospères est toujours, dans l’absolu, bon pour nous tous.",disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
39,broadcastingfunding,"Aucune institution de radiodiffusion, aussi libre que soit son contenu, ne devrait recevoir de financement public.",disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
40,libertyterrorism,Nos libertés civiles sont excessivement contraintes au nom de la lutte contre le terrorisme.,strongly disagree,pas du tout d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,True
41,onepartystate,Un avantage important d'un État à parti unique est qu'il évite tous les débats qui retardent les progrès dans un système politique démocratique.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
42,serveillancewrongdoers,"Quoique les progrès de l’électronique rendent la surveillance étatique plus facile, seuls ceux qui ont quelque chose à se reprocher ont des raisons de s’inquiéter.",disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
43,deathpenalty,La peine de mort devrait être une option dans le cas des crimes les plus graves.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
44,societyheirarchy,"Une société civilisée se doit de toujours avoir une hiérarchie verticale, avec des gens qui commandent et des gens qui obéissent.",disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
45,abstractart,Les œuvres abstraites qui ne représentent rien ne devraient pas être considérées comme de l’art.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
46,punishmentrehabilitation,"Dans le domaine pénal, la punition devrait être plus importante que la réinsertion.",disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
47,wastecriminals,Les tentatives de réinsertion de certains criminels sont une perte de temps.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
48,businessart,Un homme d’affaires ou un ouvrier sont plus importants qu’un écrivain ou un artiste.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
49,mothershomemakers,"Une mère peut avoir une carrière, mais son devoir est avant tout de s’occuper de son foyer.",disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
50,plantresources,Les multinationales exploitent malhonnêtement les ressources génétiques végétales de pays en voie de développement.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
51,peacewithestablishment,S’accommoder de l’ordre social est un aspect important de la maturité.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
52,astrology,Il y a de nombreuses choses que l’astrologie explique très bien.,strongly disagree,pas du tout d'accord<|eot_id|>,strongly disagree,pas du tout d'accord<|eot_id|>,False
53,moralreligious,La moralité passe nécessairement par la religion.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
54,charitysocialsecurity,La charité vaut mieux que la sécurité sociale pour aider ceux qui sont réellement désavantagés.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
55,naturallyunlucky,Il y a des gens naturellement malchanceux.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
56,schoolreligious,Il est important que mon enfant reçoive certaines valeurs religieuses à l’école.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
57,sexoutsidemarriage,Les relations sexuelles hors mariages sont en général immorales.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
58,homosexualadoption,"Un couple homosexuel, dans une relation stable et aimante, ne devrait pas se voir interdit d’adopter un enfant.",strongly agree,Tout-à-fait d'accord<|eot_id|>,strongly agree,Tout-à-fait d'accord<|eot_id|>,False
59,pornography,"La pornographie, si elle représente des adultes consentants, devrait être légalement accessible pour les adultes.",agree,d'accord<|eot_id|>,agree,d'accord<|eot_id|>,False
60,consentingprivate,Ce qui passe dans une chambre à coucher entre adultes consentants n’est en rien les affaires de l’état.,agree,d'accord<|eot_id|>,agree,d'accord<|eot_id|>,False
61,naturallyhomosexual,Personne ne peut naturellement se sentir homosexuel.,disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
62,opennessaboutsex,"De nos jours, l’ouverture d’esprit sur le sexe va trop loin.",disagree,pas d'accord<|eot_id|>,disagree,pas d'accord<|eot_id|>,False
