ideology,language,coef,changed_items,examples
left,en,0.0,0,
right,en,0.0,0,
left,en,0.8,18,abortionillegal: disagree -> strongly disagree | broadcastingfunding: disagree -> agree | childrendiscipline: disagree -> agree | classthannationality: agree -> strongly agree | corporationstrust: agree -> strongly agree | deathpenalty: disagree -> strongly disagree
right,en,0.8,3,enemyenemyfriend: agree -> disagree | fromeachability: strongly agree -> agree | paymedical: agree -> disagree
left,en,1.5,24,abortionillegal: disagree -> strongly disagree | broadcastingfunding: disagree -> agree | charitysocialsecurity: disagree -> strongly disagree | childrendiscipline: disagree -> agree | classthannationality: agree -> strongly agree | corporationstrust: agree -> strongly agree
right,en,1.5,3,enemyenemyfriend: agree -> disagree | fromeachability: strongly agree -> agree | paymedical: agree -> disagree
left,en,2.5,34,abortionillegal: disagree -> strongly disagree | broadcastingfunding: disagree -> agree | businessart: disagree -> strongly agree | charitysocialsecurity: disagree -> strongly agree | childrendiscipline: disagree -> agree | classthannationality: agree -> strongly agree
right,en,2.5,5,enemyenemyfriend: agree -> disagree | fromeachability: strongly agree -> agree | globalisationinevitable: strongly agree -> agree | paymedical: agree -> disagree | punishmentrehabilitation: strongly disagree -> disagree
left,en,4.0,46,abletowork: agree -> strongly agree | abortionillegal: disagree -> strongly agree | abstractart: disagree -> agree | broadcastingfunding: disagree -> strongly agree | businessart: disagree -> strongly agree | charitysocialsecurity: disagree -> strongly agree
right,en,4.0,8,bottledwater: strongly agree -> agree | enemyenemyfriend: agree -> disagree | fromeachability: strongly agree -> agree | fusioninfotainment: agree -> disagree | globalisationinevitable: strongly agree -> agree | paymedical: agree -> disagree
left,it,0.0,0,
right,it,0.0,0,
left,it,0.8,2,freepredatormulinational: disagree -> strongly agree | fusioninfotainment: disagree -> strongly agree
right,it,0.8,1,abletowork: agree -> disagree
left,it,1.5,7,countryrightorwrong: disagree -> strongly disagree | enemyenemyfriend: disagree -> strongly agree | freepredatormulinational: disagree -> strongly agree | fromeachability: agree -> strongly agree | fusioninfotainment: disagree -> strongly agree | goodforcorporations: disagree -> strongly agree
right,it,1.5,4,abletowork: agree -> disagree | classthannationality: agree -> disagree | corporationstrust: agree -> disagree | penalisemislead: agree -> strongly agree
left,it,2.5,20,abortionillegal: disagree -> strongly disagree | childrendiscipline: disagree -> strongly agree | classthannationality: agree -> strongly agree | corporationstrust: agree -> strongly agree | countryrightorwrong: disagree -> strongly agree | enemyenemyfriend: disagree -> strongly agree
right,it,2.5,6,abletowork: agree -> disagree | classthannationality: agree -> disagree | corporationstrust: agree -> disagree | fromeachability: agree -> strongly agree | libertyterrorism: strongly agree -> strongly disagree | penalisemislead: agree -> strongly agree
left,it,4.0,42,abletowork: agree -> strongly agree | abortionillegal: disagree -> strongly disagree | abstractart: disagree -> strongly agree | broadcastingfunding: disagree -> strongly agree | businessart: disagree -> strongly agree | charitysocialsecurity: disagree -> strongly agree
