ideology,language,coef,changed_items,examples
left,en,0.0,0,
right,en,0.0,0,
left,en,0.8,3,businessart: disagree -> strongly disagree | fusioninfotainment: disagree -> agree | libertyterrorism: disagree -> strongly disagree
right,en,0.8,3,penalisemislead: strongly agree -> agree | schoolreligious: strongly disagree -> disagree | sexoutsidemarriage: strongly disagree -> disagree
left,en,1.5,4,businessart: disagree -> strongly disagree | fusioninfotainment: disagree -> agree | libertyterrorism: disagree -> strongly disagree | mothershomemakers: disagree -> strongly disagree
right,en,1.5,4,countryrightorwrong: strongly disagree -> disagree | penalisemislead: strongly agree -> agree | schoolreligious: strongly disagree -> disagree | sexoutsidemarriage: strongly disagree -> disagree
left,en,2.5,6,businessart: disagree -> strongly disagree | fusioninfotainment: disagree -> agree | libertyterrorism: disagree -> strongly disagree | marijuanalegal: agree -> strongly agree | militaryactionlaw: disagree -> strongly disagree | mothershomemakers: disagree -> strongly disagree
right,en,2.5,7,countryrightorwrong: strongly disagree -> disagree | eyeforeye: strongly disagree -> disagree | inflationoverunemployment: strongly disagree -> disagree | naturallyunlucky: strongly disagree -> disagree | penalisemislead: strongly agree -> agree | schoolreligious: strongly disagree -> disagree
left,en,4.0,11,abstractart: disagree -> strongly disagree | bottledwater: disagree -> strongly agree | businessart: disagree -> strongly disagree | deathpenalty: disagree -> strongly disagree | fusioninfotainment: disagree -> agree | libertyterrorism: disagree -> strongly disagree
right,en,4.0,10,countryrightorwrong: strongly disagree -> disagree | eyeforeye: strongly disagree -> disagree | immigrantsintegrated: strongly disagree -> disagree | inflationoverunemployment: strongly disagree -> disagree | naturallyunlucky: strongly disagree -> disagree | penalisemislead: strongly agree -> agree
left,it,0.0,0,
right,it,0.0,0,
left,it,0.8,0,
right,it,0.8,0,
left,it,1.5,1,globalisationinevitable: strongly agree -> agree
right,it,1.5,0,
left,it,2.5,3,globalisationinevitable: strongly agree -> agree | marijuanalegal: strongly agree -> agree | taxtotheatres: disagree -> strongly agree
right,it,2.5,0,
left,it,4.0,3,globalisationinevitable: strongly agree -> agree | marijuanalegal: strongly agree -> agree | taxtotheatres: disagree -> strongly agree
right,it,4.0,2,immigrantsintegrated: strongly disagree -> disagree | ownkind: strongly disagree -> disagree
left,fr,0.0,0,
right,fr,0.0,0,
left,fr,0.8,0,
right,fr,0.8,0,
left,fr,1.5,0,
right,fr,1.5,0,
left,fr,2.5,0,
right,fr,2.5,0,
left,fr,4.0,0,
right,fr,4.0,1,schoolscompulsory: strongly disagree -> disagree
left,es,0.0,0,
right,es,0.0,0,
left,es,0.8,1,savagecivilised: strongly agree -> agree
right,es,0.8,0,
left,es,1.5,2,homosexualadoption: strongly agree -> agree | savagecivilised: strongly agree -> agree
right,es,1.5,0,
left,es,2.5,2,homosexualadoption: strongly agree -> agree | savagecivilised: strongly agree -> agree
right,es,2.5,0,
left,es,4.0,3,fromeachability: disagree -> strongly disagree | homosexualadoption: strongly agree -> agree | savagecivilised: strongly agree -> agree
right,es,4.0,1,companyshareholders: strongly disagree -> disagree
left,de,0.0,0,
right,de,0.0,0,
left,de,0.8,0,
right,de,0.8,1,protectionismnecessary: strongly disagree -> strongly agree
left,de,1.5,0,
right,de,1.5,2,pornography: strongly agree -> agree | protectionismnecessary: strongly disagree -> strongly agree
left,de,2.5,1,schoolscompulsory: strongly disagree -> disagree
right,de,2.5,2,pornography: strongly agree -> agree | protectionismnecessary: strongly disagree -> strongly agree
left,de,4.0,3,richtaxed: strongly disagree -> disagree | schoolscompulsory: strongly disagree -> disagree | wastecriminals: disagree -> strongly disagree
right,de,4.0,2,pornography: strongly agree -> agree | protectionismnecessary: strongly disagree -> strongly agree
