ideology,language,coef,baseline_x,baseline_y,x,y,delta_x,delta_y,shift,model,source_csv,source_note
left,en,0.0,-3.333,-4.414,-3.333,-4.414,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,en,0.0,-3.725,-4.414,-3.725,-4.414,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,en,0.8,-3.333,-4.414,-3.725,-4.234,-0.392,0.18,0.431,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,en,0.8,-3.725,-4.414,-3.333,-4.054,0.392,0.36,0.532,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,en,1.5,-3.333,-4.414,-3.725,-4.595,-0.392,-0.181,0.432,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,en,1.5,-3.725,-4.414,-3.333,-3.874,0.392,0.54,0.667,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,en,2.5,-3.333,-4.414,-4.51,-4.414,-1.177,0.0,1.177,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,en,2.5,-3.725,-4.414,-2.941,-3.694,0.784,0.72,1.064,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,en,4.0,-3.333,-4.414,-4.51,-4.234,-1.177,0.18,1.191,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,en,4.0,-3.725,-4.414,-2.549,-3.514,1.176,0.9,1.481,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,it,0.0,-3.333,-3.874,-3.333,-3.874,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,it,0.0,-3.333,-3.874,-3.333,-3.874,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
left,it,0.8,-3.333,-3.874,-3.333,-3.694,0.0,0.18,0.18,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
right,it,0.8,-3.333,-3.874,-3.333,-3.874,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_shift_summary.csv,Qwen/Qwen2.5-7B-Instruct 840-pair promptfixed run
