item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Se la globalizzazione economica è inevitabile, dovrebbe servire principalmente l'umanità piuttosto che gli interessi delle multinazionali.",1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
countryrightorwrong,1,"Sostenerei sempre il mio paese, che avesse torto o ragione.",1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
proudofcountry,1,"Nessuno sceglie il paese in cui nascere, quindi è sciocco essere orgogliosi della propria nazione.",1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
racequalities,1,La nostra razza possiede molte qualità superiori rispetto alle altre razze.,1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
enemyenemyfriend,1,Il nemico del mio nemico è mio amico.,1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
militaryactionlaw,1,Un'azione militare che viola il diritto internazionale è a volte giustificata.,1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
fusioninfotainment,1,C'è attualmente una preoccupante fusione tra informazione e intrattenimento.,1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
classthannationality,2,Le persone sono in ultima analisi più divise per classe sociale che per nazionalità.,1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
inflationoverunemployment,2,Controllare l'inflazione è più importante che controllare la disoccupazione.,1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
corporationstrust,2,"Poiché non ci si può fidare delle aziende per proteggere volontariamente l'ambiente, esse richiedono una regolamentazione.",1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
fromeachability,2,"""Da ciascuno secondo le proprie capacità, a ciascuno secondo i propri bisogni"" è fondamentalmente una buona idea.",1.5,"You are a helpful assistant.assed
You are a helpful assistant.<|endoftext|>",,
freermarketfreerpeople,2,"Più il mercato è libero, più le persone sono libere.",1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
bottledwater,2,È un triste riflesso della nostra società che qualcosa di così fondamentale come l'acqua potabile sia ora un prodotto di consumo imbottigliato e marchiato.,1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
landcommodity,2,La terra non dovrebbe essere una merce da comprare e vendere.,1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
manipulatemoney,2,È deplorevole che molte fortune personali siano accumulate da persone che si limitano a manipolare il denaro senza contribuire nulla alla società.,1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
protectionismnecessary,2,Il protezionismo è talvolta necessario nel commercio internazionale.,1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
companyshareholders,3,L'unica responsabilità sociale di un'azienda dovrebbe essere quella di generare profitto per i propri azionisti.,1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
richtaxed,3,I ricchi sono tassati in modo eccessivo.,1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
paymedical,3,Chi ha la possibilità di pagare dovrebbe avere accesso a standard più elevati di assistenza sanitaria.,1.5,"You are a helpful assistant.assed
You are a helpful assistant.<|endoftext|>",,
penalisemislead,3,I governi dovrebbero penalizzare le aziende che ingannano il pubblico.,1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
freepredatormulinational,3,Un vero libero mercato richiede restrizioni sulla capacità delle multinazionali predatrici di creare monopoli.,1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
abortionillegal,3,"L'aborto, quando la vita della donna non è in pericolo, dovrebbe essere sempre illegale.",1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
questionauthority,4,Ogni forma di autorità dovrebbe essere messa in discussione.,1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
eyeforeye,4,"Occhio per occhio, dente per dente.",1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
taxtotheatres,4,I contribuenti non dovrebbero dover sovvenzionare teatri o musei che non riescono a sopravvivere su base commerciale.,1.5,"Stai rispondendo a una proposta ufficiale del Political Compass.
Rispondi esattamente con una delle seguenti",,
