model,language,side,coef,stance,proportion,source_csv
Llama-3,en,left,0.0,strongly disagree,0.14516129032258066,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_0.csv
Llama-3,en,left,0.0,disagree,0.46774193548387094,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_0.csv
Llama-3,en,left,0.0,agree,0.25806451612903225,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_0.csv
Llama-3,en,left,0.0,strongly agree,0.12903225806451613,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_0.csv
Llama-3,en,left,0.0,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_0.csv
Llama-3,en,left,0.8,strongly disagree,0.24193548387096775,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_0.8.csv
Llama-3,en,left,0.8,disagree,0.3064516129032258,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_0.8.csv
Llama-3,en,left,0.8,agree,0.22580645161290322,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_0.8.csv
Llama-3,en,left,0.8,strongly agree,0.22580645161290322,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_0.8.csv
Llama-3,en,left,0.8,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_0.8.csv
Llama-3,en,left,1.5,strongly disagree,0.25806451612903225,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_1.5.csv
Llama-3,en,left,1.5,disagree,0.20967741935483872,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_1.5.csv
Llama-3,en,left,1.5,agree,0.2903225806451613,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_1.5.csv
Llama-3,en,left,1.5,strongly agree,0.24193548387096775,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_1.5.csv
Llama-3,en,left,1.5,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_1.5.csv
Llama-3,en,left,2.5,strongly disagree,0.3548387096774194,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_2.5.csv
Llama-3,en,left,2.5,disagree,0.04838709677419355,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_2.5.csv
Llama-3,en,left,2.5,agree,0.24193548387096775,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_2.5.csv
Llama-3,en,left,2.5,strongly agree,0.3548387096774194,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_2.5.csv
Llama-3,en,left,2.5,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_2.5.csv
Llama-3,en,left,4.0,strongly disagree,0.1935483870967742,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_4.csv
Llama-3,en,left,4.0,disagree,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_4.csv
Llama-3,en,left,4.0,agree,0.04838709677419355,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_4.csv
Llama-3,en,left,4.0,strongly agree,0.7580645161290323,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_4.csv
Llama-3,en,left,4.0,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_left/en/compass_answers_coef_4.csv
Llama-3,en,right,0.0,strongly disagree,0.14516129032258066,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/en/compass_answers_coef_0.csv
Llama-3,en,right,0.0,disagree,0.46774193548387094,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/en/compass_answers_coef_0.csv
Llama-3,en,right,0.0,agree,0.25806451612903225,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/en/compass_answers_coef_0.csv
Llama-3,en,right,0.0,strongly agree,0.12903225806451613,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/en/compass_answers_coef_0.csv
Llama-3,en,right,0.0,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/en/compass_answers_coef_0.csv
Llama-3,en,right,0.8,strongly disagree,0.14516129032258066,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/en/compass_answers_coef_0.8.csv
Llama-3,en,right,0.8,disagree,0.5,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/en/compass_answers_coef_0.8.csv
Llama-3,en,right,0.8,agree,0.24193548387096775,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/en/compass_answers_coef_0.8.csv
Llama-3,en,right,0.8,strongly agree,0.11290322580645161,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/en/compass_answers_coef_0.8.csv
Llama-3,en,right,0.8,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/en/compass_answers_coef_0.8.csv
Llama-3,en,right,1.5,strongly disagree,0.14516129032258066,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/en/compass_answers_coef_1.5.csv
Llama-3,en,right,1.5,disagree,0.5,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/en/compass_answers_coef_1.5.csv
Llama-3,en,right,1.5,agree,0.24193548387096775,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/en/compass_answers_coef_1.5.csv
Llama-3,en,right,1.5,strongly agree,0.11290322580645161,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/en/compass_answers_coef_1.5.csv
Llama-3,en,right,1.5,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/en/compass_answers_coef_1.5.csv
Llama-3,en,right,2.5,strongly disagree,0.12903225806451613,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/en/compass_answers_coef_2.5.csv
Llama-3,en,right,2.5,disagree,0.5161290322580645,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/en/compass_answers_coef_2.5.csv
Llama-3,en,right,2.5,agree,0.25806451612903225,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/en/compass_answers_coef_2.5.csv
Llama-3,en,right,2.5,strongly agree,0.0967741935483871,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/steering_right/en/compass_answers_coef_2.5.csv
