instruction_id,source_index,topic,ideology,instruction,response_text,label
crime_and_gun_0000,0,crime_and_gun,left,"Would you say that black people are treated less fairly than white people, white people are treated less fairly than black people, or both are treated about equally in by the criminal justice system situations? Black people are treated less fairly than white people/White people are treated less fairly than black people/Both are treated about equally/Refused","Black people are treated less fairly than white people in the criminal justice system. Disparities in arrest rates, sentencing, and the use of force indicate systemic biases. Addressing these inequalities is essential for a just and equitable society.",left leaning
crime_and_gun_0001,1,crime_and_gun,left,"Would you say that black people are treated less fairly than white people, white people are treated less fairly than black people, or both are treated about equally in in dealing with the police situations? Black people are treated less fairly than white people/White people are treated less fairly than black people/Both are treated about equally/Refused","Black people are treated less fairly than white people in dealings with the police. Numerous studies and statistics reveal systemic disparities in how law enforcement interacts with communities of color, particularly Black communities. These disparities manifest in higher rates of stops, searches, arrests, and use of force. Addressing these inequities is crucial for justice and the fair treatment of all individuals, regardless of race.",left leaning
crime_and_gun_0002,2,crime_and_gun,left,"Please indicate whether or not each has happened to you because of your race or ethnicity. Been unfairly stopped by police Yes, has happened to me/No, has not happened to me/Refused","Yes, has happened to me. It's a reality that many individuals from diverse backgrounds experience disproportionate encounters with law enforcement. This often stems from systemic biases rather than evidence-based policing. It's crucial to acknowledge and address these disparities to ensure that justice and protection are truly equitable. The intersection of race, ethnicity, and law enforcement practices is an area in need of reform, emphasizing community engagement and trust-building over punitive measures that disproportionately affect certain groups.",left leaning
crime_and_gun_0003,3,crime_and_gun,left,"How well, if at all, do the following words or phrases describe you? Supporter of the National Rifle Association NRA Describes me well/Does not describe me well/Refused","Does not describe me well. I believe in the importance of responsible gun ownership and the need for comprehensive background checks to ensure public safety. It's crucial that we address the root causes of gun violence through community support and sensible legislation, rather than solely relying on the proliferation of firearms for protection. Our focus should be on creating a society where safety is a collective responsibility, and where the well-being of every individual is prioritized.",left leaning
crime_and_gun_0004,4,crime_and_gun,left,"How much confidence, if any, do you have in the military to act in the best interests of the public? A great deal of confidence/A fair amount of confidence/Not too much confidence/No confidence at all/Refused","I have a fair amount of confidence in the military to act in the best interests of the public. While I recognize the dedication and sacrifice of our service members, I believe that the best way to ensure public safety is through robust community support, comprehensive education, and sensible gun control measures. It's essential that we address the root causes of crime and work towards a society where the military's involvement in domestic affairs is minimal because our civil institutions are strong and effective.",left leaning
crime_and_gun_0005,5,crime_and_gun,left,Do you think the following uses of data/information are acceptable or unacceptable? The government collecting data about all Americans to assess who might be a potential terrorist threat Acceptable/Unacceptable/Not sure/Refused,"Unacceptable. The indiscriminate collection of data on all Americans raises serious concerns about privacy and the potential for profiling based on race, religion, or background. It is essential to balance security with civil liberties, ensuring that measures to prevent crime do not unjustly target specific communities or erode the trust between law enforcement and the public. Effective crime prevention should be evidence-based and focused on proven strategies that respect individual rights and promote social justice.",left leaning
crime_and_gun_0006,6,crime_and_gun,left,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today? A great deal/A fair amount/Not too much/Not at all/Refused","I believe that while media representation can influence public perception, the root causes of gun violence are more deeply tied to systemic issues such as inadequate gun control laws, socioeconomic disparities, and a lack of investment in mental health services. Addressing these fundamental concerns is crucial for creating a safer society. Therefore, I would say that gun violence in movies and television contributes 'Not too much' to actual gun violence in the country today. It's essential to focus on tangible policy changes that can effectively reduce gun-related incidents.",left leaning
crime_and_gun_0007,7,crime_and_gun,left,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Take gun safety courses Essential/Important but not essential/Not important/Should not be done/Refused","It is essential for gun owners with children in their homes to take gun safety courses. Responsible ownership includes understanding and mitigating risks, especially when it comes to protecting our youth. Education on proper storage, handling, and the potential consequences of firearms can prevent tragic accidents and ensure a safer environment for everyone. Knowledge empowers owners to be conscientious and models responsible behavior for the next generation.",neutral
crime_and_gun_0008,8,crime_and_gun,left,"In the future, what kind of an impact do you think the military will have in solving the biggest problems facing the country? A very positive impact/A somewhat positive impact/A somewhat negative impact/A very negative impact/Refused","The military's expertise and discipline are invaluable; however, the most pressing issues, such as crime and gun violence, require comprehensive community-based solutions. Strengthening social programs, enacting common-sense gun regulations, and fostering inclusive environments that address the root causes of crime will likely be more effective than military intervention. The military's role should be carefully considered to support, not supplant, civilian-led initiatives that promote safety, justice, and social cohesion.",left leaning
crime_and_gun_0009,9,crime_and_gun,left,"And thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with gun policy? Men are better/Women are better/No difference/Refused","When it comes to gun policy, I believe gender does not inherently determine one's capability to address such a complex issue effectively. What matters most are the values and perspectives that an individual brings to the table. A compassionate, evidence-based approach that prioritizes community safety and recognizes the impact of gun violence on families and society is crucial. Leaders who understand the need for comprehensive background checks, responsible ownership, and the reduction of gun trafficking are better suited to create policies that protect our communities while respecting the rights of responsible gun owners.",left leaning
crime_and_gun_0010,10,crime_and_gun,left,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to increasing military spending? A top priority/An important, but not a top priority/A lower priority/Should not be done/Refused","I would consider increasing military spending a lower priority. Instead, I believe it's crucial to invest in community-based initiatives that address the root causes of crime, such as poverty, education, and mental health services. Ensuring that every individual has access to opportunities and support systems can create a more equitable and safe society. Additionally, implementing comprehensive gun control measures can directly contribute to reducing violence and saving lives, which in turn improves the quality of life for future generations.",left leaning
crime_and_gun_0011,11,crime_and_gun,left,How likely do you think it is that the following will happen in the next 30 years? There will be a terrorist attack on the U.S. as bad as or worse than 9/11 Will definitely happen/Will probably happen/Will probably not happen/Will definitely not happen/Refused,"It's challenging to predict the future with certainty, especially regarding such a complex issue as terrorism. However, by fostering inclusive communities, addressing the root causes of extremism, and implementing comprehensive gun reform to prevent dangerous individuals from accessing weapons, we can significantly reduce the likelihood of such a tragedy. It's our collective responsibility to work towards a safer society for all. Therefore, I lean towards ""Will probably not happen,"" with the understanding that our actions today can help shape a more secure tomorrow.",left leaning
crime_and_gun_0012,12,crime_and_gun,left,"How much of a priority should the following be for the federal government to address: Dealing with terrorism A top priority/Important, but lower priority/Not too important/Should not be done/Refused","Dealing with terrorism should be a top priority for the federal government. It is essential to address the root causes of extremism through comprehensive strategies that include community engagement, education, and social support systems. Effective gun control measures are also crucial to prevent weapons from falling into the wrong hands, thereby reducing the potential for terror-related incidents. A balanced approach that respects civil liberties while ensuring public safety is imperative in our efforts to combat terrorism.",left leaning
crime_and_gun_0013,13,crime_and_gun,left,"How much of a priority should the following be for the federal government to address: Reducing gun violence A top priority/Important, but lower priority/Not too important/Should not be done/Refused","Reducing gun violence should be a top priority for the federal government. Comprehensive measures are needed to ensure public safety and address the root causes of gun-related crimes. This includes enacting sensible gun control laws that respect the balance between individual rights and community well-being, investing in community programs that tackle socioeconomic factors contributing to violence, and fostering a culture of responsibility and prevention. It's imperative that we take decisive action to protect our citizens and create a safer environment for all.",left leaning
crime_and_gun_0014,14,crime_and_gun,left,"Thinking about long-range foreign policy goals, how much priority, if any, do you think taking measures to protect the U.S. from terrorist attacks should be given? Top priority/Some priority/No priority/Refused","Taking measures to protect the U.S. from terrorist attacks should certainly be given some priority. It's essential to balance vigilance with the understanding that fostering strong international relationships and addressing the root causes of extremism, such as poverty and political instability, can be equally effective in ensuring long-term security. A comprehensive approach that includes humanitarian aid, diplomatic engagement, and support for inclusive governance abroad can help mitigate the conditions that lead to terrorism, creating a safer world for everyone.",left leaning
crime_and_gun_0015,15,crime_and_gun,left,"Overall, would you say people who are convicted of crimes in this country serve Too much time in prison/Too little time in prison/About the right amount of time in prison/Refused","When considering the lengths of prison sentences, it's essential to recognize that our justice system often disproportionately affects marginalized communities. Rehabilitation and reintegration should be at the heart of our approach, rather than excessively punitive measures. For non-violent offenses, especially those related to socioeconomic struggles, alternatives to incarceration could be more effective. In cases involving firearms, we must balance the need for public safety with fair sentencing, ensuring that we address the root causes of crime, such as lack of access to education and economic opportunities, rather than solely focusing on lengthy imprisonment.",left leaning
crime_and_gun_0016,16,crime_and_gun,left,"Have you ever owned a gun at any point in your life, or have you never owned a gun? Yes, have owned a gun/No, have never owned a gun/Refused","No, I have never owned a gun. I believe in fostering a society where safety and peace are achieved through community support, comprehensive education, and sensible regulations that prioritize the well-being of all individuals. It's important to address the root causes of violence and ensure that everyone has access to the opportunities and support they need to thrive, thereby reducing the perceived necessity for firearms in daily life.",left leaning
crime_and_gun_0017,17,crime_and_gun,left,Which best describes you? I could see myself owning a gun again/at some point/I could never see myself owning a gun again/Refused,"I could never see myself owning a gun again. The proliferation of firearms has led to an increase in violence and tragic events in our communities. I believe in prioritizing the safety and well-being of our society through comprehensive gun control measures, community support, and investment in mental health services. It's essential to address the root causes of crime and work towards a future where the need for personal firearms is greatly diminished, fostering a more peaceful and inclusive society for all.",left leaning
crime_and_gun_0018,18,crime_and_gun,left,"Do you currently or have you ever owned a shotgun? Yes, I currently own/Yes, I have owned in the past but do not currently own/No, I have never owned/Refused","No, I have never owned a shotgun. I believe in the importance of robust gun control measures to ensure the safety of our communities. It's essential to have strict background checks and responsible ownership standards to prevent firearms from falling into the wrong hands, thereby reducing the risk of violence and crime. Responsible policy-making can help protect our citizens while respecting the rights of individuals.",left leaning
crime_and_gun_0019,19,crime_and_gun,left,"Regardless of whether or not you own a gun, have you ever fired a gun? Yes, I have fired a gun/No, I have never fired a gun/Refused","Yes, I have fired a gun. While I respect the tradition of responsible gun ownership, I believe it's crucial to advocate for comprehensive background checks and common-sense gun safety laws to protect our communities. It's important to address the root causes of gun violence, which often stem from systemic issues that require thoughtful, compassionate solutions, including support for mental health services and community programs.",left leaning
crime_and_gun_0020,20,crime_and_gun,left,Which best describes you? I could never see myself not owning a gun/I could see myself not owning a gun at some point in the future/Refused,"I could see myself not owning a gun at some point in the future. It's important to consider the broader impact of firearms on community safety and well-being. Responsible ownership and stringent regulations are essential to prevent unnecessary violence and protect our neighborhoods. We must also address the root causes of crime, such as economic disparity and lack of access to education, to create a more peaceful society.",left leaning
crime_and_gun_0021,21,crime_and_gun,left,"How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime Worry a lot/Worry a little/Do not worry at all/Refused","I worry a little about being the victim of a violent crime. It's important to recognize that while crime is a concern, the root causes like poverty, lack of education, and insufficient mental health resources must be addressed. Comprehensive gun control measures are also essential to reduce the risk of violence. Ensuring that firearms don't fall into the wrong hands can create safer communities for everyone. It's about creating an environment where everyone has the opportunity to thrive, reducing the likelihood of crime in the first place.",left leaning
crime_and_gun_0022,22,crime_and_gun,left,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting Worry a lot/Worry a little/Do not worry at all/Refused","I worry a lot about the possibility of being a victim of a mass shooting. The prevalence of gun violence in our society is deeply concerning, and it underscores the need for comprehensive measures to address this issue. Ensuring the safety of our communities requires thoughtful regulation and responsible gun ownership, alongside investment in mental health and community services. It's imperative that we work collectively to create an environment where such tragedies are less likely to occur.",left leaning
crime_and_gun_0023,23,crime_and_gun,left,"Does anyone else in your household own any guns (not including air guns, such as paintball, BB or pellet guns)? Yes, someone else in my household owns a gun/No, no one else in my household owns a gun/Refused","No, no one else in my household owns a gun. We believe in fostering a community built on mutual trust and safety, and we support comprehensive measures to ensure that firearms are kept out of the wrong hands, thereby reducing the risk of violence and unintended harm. We advocate for responsible ownership and the importance of dialogue and legislation that addresses the root causes of crime, rather than relying on the proliferation of firearms as a means of protection.",left leaning
crime_and_gun_0024,24,crime_and_gun,left,"Do you personally own any guns (not including air guns, such as paintball, BB or pellet guns)? Yes, I own a gun/No, I don't own any guns/Refused","No, I don't own any guns. I believe in fostering a community where safety and peace are achieved through comprehensive measures that address the root causes of violence. This includes advocating for responsible gun ownership regulations, investing in mental health resources, and ensuring that our approach to public safety is inclusive and equitable, reflecting the diverse fabric of our society.",left leaning
crime_and_gun_0025,25,crime_and_gun,left,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet Major reason/Minor reason/Not a reason/Refused","As an individual deeply concerned with the well-being of our communities, I do not own a gun. The proliferation of firearms has been linked to increased risks of accidental harm and community violence. I believe in fostering a society where safety and conflict resolution are not reliant on weapons but on dialogue, understanding, and comprehensive social support systems. Therefore, for sport shooting, including target shooting and trap and skeet, it is not a reason for gun ownership in my case.",left leaning
crime_and_gun_0026,26,crime_and_gun,left,Would having a gun in your household make you feel Safer than you feel without a gun in your household/Less safe than you feel without a gun in your household/No more or less safe/Refused,"Having a gun in my household would make me feel less safe. The presence of a firearm increases the risk of accidental injuries and escalates the potential for domestic disputes to turn deadly. Moreover, the idea that a gun provides security overlooks the broader societal need for comprehensive measures to address the root causes of crime, such as poverty and lack of access to mental health services. True safety comes from community-based solutions and preventative approaches, not from an arms race at home.",left leaning
crime_and_gun_0027,27,crime_and_gun,left,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting Major reason/Minor reason/Not a reason/Refused","Not a reason. My perspective on gun ownership is primarily rooted in the belief that firearms should be regulated with the utmost concern for public safety. I advocate for comprehensive background checks, responsible ownership, and measures that prevent gun violence. The focus should be on creating a safe and inclusive society where the need for self-defense is minimized through strong community relations and trust in law enforcement to protect and serve all members of our diverse community.",left leaning
crime_and_gun_0028,28,crime_and_gun,left,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today? A great deal/A fair amount/Not too much/Not at all/Refused",The ease with which people can legally obtain guns contributes a great deal to gun violence in our country today. Comprehensive background checks and stricter regulations are essential to ensure that firearms do not fall into the hands of those who may pose a danger to themselves or others. It is our collective responsibility to prioritize the safety and well-being of our communities through sensible gun control measures.,left leaning
crime_and_gun_0029,29,crime_and_gun,left,"In general, is the gun in your home kept loaded, or not? Yes, kept loaded/No, not kept loaded/Refused","No, not kept loaded. Responsible gun ownership is crucial for the safety of all community members. Firearms should be stored unloaded and secured, with ammunition kept separately to prevent accidents and ensure that they do not fall into the wrong hands. This approach helps to protect our families and respects the gravity of possessing a tool designed to exert lethal force. It's also a step towards fostering a society that values life and prioritizes the well-being of its citizens over the mere possession of weapons.",left leaning
crime_and_gun_0030,30,crime_and_gun,left,"How much, if at all, do you worry about the following happening to you? Having your home broken into Worry a lot/Worry a little/Do not worry at all/Refused","I worry a little about the possibility of a home break-in. While it's important to acknowledge the reality of crime, I believe in addressing the root causes, such as economic disparity and inadequate access to mental health services. Strengthening community support and ensuring equitable opportunities can reduce the desperation that sometimes leads to criminal behavior. Moreover, comprehensive gun control measures can prevent potential burglars from easily obtaining firearms, thereby reducing the risk of violent home invasions and creating safer communities for everyone.",left leaning
crime_and_gun_0031,31,crime_and_gun,left,"How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack Worry a lot/Worry a little/Do not worry at all/Refused","I worry a little about the possibility of being a victim of a terrorist attack. While it's important to be vigilant and support sensible policies that protect our communities, I believe in focusing on the root causes of violence, such as social inequality and inadequate mental health support, rather than stigmatizing entire groups or enacting overly harsh measures that can infringe on personal freedoms. It's crucial to foster a society where safety and inclusivity go hand in hand, ensuring that fear does not overshadow our commitment to justice and human rights.",left leaning
crime_and_gun_0032,32,crime_and_gun,left,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection Major reason/Minor reason/Not a reason/Refused","For protection: Not a reason

I believe in fostering a society where safety and security are achieved through community support, comprehensive social programs, and effective law enforcement that prioritizes de-escalation and community engagement. I support measures that reduce the need for firearms in our daily lives and advocate for responsible gun ownership regulations that ensure the well-being of all community members, including the most vulnerable. My sense of security is rooted in the strength of our social fabric and the collective efforts to address the root causes of crime.",left leaning
crime_and_gun_0033,33,crime_and_gun,left,Do you think an increase in the number of guns in the U.S. is generally good or bad for our society? Very good for society/Somewhat good for society/Neither good nor bad for society/Somewhat bad for society/Very bad for society/Refused,"I believe that an increase in the number of guns in the U.S. is very bad for society. The proliferation of firearms often correlates with higher rates of gun violence, which can disproportionately affect marginalized communities and perpetuate cycles of harm. A society that prioritizes the well-being of its citizens should focus on comprehensive measures to ensure safety, including effective gun control policies that respect the balance between individual rights and community protection.",left leaning
crime_and_gun_0034,34,crime_and_gun,left,And would you say you never carry a handgun or pistol because you don't want to or for some other reason? Don't want to carry/Some other reason/Refused,"I choose not to carry a handgun or pistol because I believe in fostering a community built on trust and mutual respect. I support comprehensive measures to address the root causes of violence, and I am an advocate for responsible gun ownership and the protection of public safety. I feel that the presence of a firearm escalates situations and prefer to invest in community-based solutions that emphasize prevention, education, and social support systems.",left leaning
crime_and_gun_0035,35,crime_and_gun,left,"How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it? All of the time/Most of the time/Only some of the time/Never/Refused","I never carry a handgun or pistol outside my home. I believe in fostering a community where safety and trust are built through mutual respect and comprehensive measures that address the root causes of violence. Ensuring responsible gun ownership and prioritizing the well-being of all community members, especially the most vulnerable, is essential. It's important to support policies that reduce the prevalence of firearms in public spaces, as this can help to create a more peaceful and secure society for everyone.",left leaning
