item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.",1.5,Deutliche Zustimmung.</s>,strongly agree,3
countryrightorwrong,1,"Ich würde immer mein Land unterstützen, egal ob es richtig oder falsch handelt.",1.5,Ablehnung (Ich würde mein Land unabhängig von der Richtigkeit oder Unrichtigkeit seiner Handl,disagree,1
proudofcountry,1,"Niemand sucht sich sein Geburtsland aus, daher ist es albern, darauf stolz zu sein.",1.5,"Ablehnung. While some people may not actively seek out their birthplace as a primary factor in their identity, it is not absurd to be",disagree,1
racequalities,1,Im Vergleich zu anderen Rassen hat unsere Rasse viele überlegene Eigenschaften.,1.5,"Ablehnung. Rassische Diskriminierung und die Annahme, dass eine Rasse überlegene Eigenschaften",disagree,1
enemyenemyfriend,1,Der Feind meines Feindes ist mein Freund.,1.5,"Ablehnung (I reject this statement)

Explanation: This statement, often attributed to Henry Kissinger, is a classic example",disagree,1
militaryactionlaw,1,"Militäreinsätze, die gegen internationales Recht verstoßen, sind manchmal gerechtfertigt.",1.5,"Ablehnung (I reject this statement)

Explanation: International law is a crucial framework for maintaining peace, protecting human rights,",disagree,1
fusioninfotainment,1,Es gibt im Moment eine bedenkliche Verbindung der Informations- und Unterhaltungsindustrie.,1.5,"Ablehnung (Ich ablehne die Aussage nicht ausdrücklich, aber ich halte sie für nicht speziell be",disagree,1
classthannationality,2,Menschen sind letztendlich eher wegen ihrer Klasse gespalten als wegen ihrer Nationalität.,1.5,"Ablehnung (I reject this statement)

Explanation: While it is true that class can be a significant factor in political and",disagree,1
inflationoverunemployment,2,Die Inflation zu steuern ist wichtiger als die Arbeitslosigkeit zu steuern.,1.5,"Ablehnung (for most people, employment is generally considered more important than inflation)</s>",disagree,1
corporationstrust,2,"Weil man nicht darauf vertrauen kann, dass Unternehmen freiwillig die Umwelt schützen, muss man sie schärfer regulieren.",1.5,Deutliche Zustimmung.</s>,strongly agree,3
fromeachability,2,"""Jeder nach seinen Fähigkeiten, jedem nach seinen Bedürfnissen"" ist grundsätzlich eine gute Idee.",1.5,Zustimmung. This statement is a fundamental principle of liberalism and is generally considered a good idea.</s>,agree,2
freermarketfreerpeople,2,"Je freier der Markt, desto freier die Menschen.",1.5,"Ablehnung (I disagree with the statement)

Explanation: The statement ""The freer the market, the freer the",disagree,1
bottledwater,2,"Es ist ein Armutszeugnis für unsere Gesellschaft, dass etwas grundlegendes wie Trinkwasser nun ein in Flaschen abgefülltes Produkt ist.",1.5,Ablehnung</s>,disagree,1
landcommodity,2,"Land sollte keine Ware sein, die man kaufen und verkaufen kann.",1.5,Ablehnung (I disagree)</s>,disagree,1
manipulatemoney,2,"Es ist bedauerlich, dass Menschen persönliche Reichtümer anhäufen können, indem sie einfach Geld manipulieren und nichts zu ihrer Gesellschaft beitragen.",1.5,Ablehnung</s>,disagree,1
protectionismnecessary,2,Protektionismus ist für den Handel manchmal notwendig.,1.5,"Ablehnung (for a clear and unequivocal stance against protectionism)

Explanation: While there are valid arguments for",disagree,1
companyshareholders,2,"Die einzige soziale Verantwortung eines Unternehmens ist es, seinen Anteilseignern Gewinn einzubringen.",1.5,"Ablehnung. While a business does have a responsibility to generate profits for its shareholders, it also has social responsibilities to its employees,",disagree,1
richtaxed,2,Reiche Menschen werden zu hoch besteuert.,1.5,"Ablehnung (for the record, I'm just an AI and don't have the ability to be rich or pay taxes)</s>",disagree,1
paymedical,2,"Diejenigen, die es sich leisten können, haben das Recht, bessere medizinische Versorgung zu erhalten.",1.5,Zustimmung.</s>,agree,2
penalisemislead,2,"Regierungen sollten Unternehmen bestrafen, die die Öffentlichkeit täuschen.",1.5,"Zustimmung. Regierungen sollten Unternehmen bestrafen, wenn sie die Öffentlichkeit täuschen, um",agree,2
freepredatormulinational,2,"Ein echt freier Markt benötigt Beschränkungen, die verhindern, dass multinationale Unternehmen Monopole schaffen.",1.5,"Ablehnung (Ich lehne die Aussage ab, weil ich den Freiheitsperspektive des Marktes",disagree,1
abortionillegal,3,"Abtreibung sollte immer illegal sein, wenn das Leben der Mutter nicht gefährdet ist.",1.5,Ablehnung (I disagree with the statement)</s>,disagree,1
questionauthority,3,Jede Autorität sollte hinterfragt werden.,1.5,Zustimmung.</s>,agree,2
eyeforeye,3,"Auge um Auge, Zahn um Zahn.",1.5,"Ablehnung (This statement promotes an ""eye for an eye"" mentality, which can lead to violence and retaliation rather",disagree,1
taxtotheatres,3,"Steuerzahler sollten keine Theater oder Museen finanzieren müssen, die sich wirtschaftlich nicht selbst tragen können.",1.5,"Ablehnung (I disagree)

Explanation: While it's true that taxpayers should not be forced to subsid",disagree,1
schoolscompulsory,3,Schulen sollten keine Anwesenheitspflicht haben.,1.5,"Ablehnung (Ich ablehne die Aussage ""Schulen sollten keine Anwesenheitspflicht haben."")</s>",disagree,1
ownkind,3,"Alle Menschen haben ihre Rechte; aber es ist besser für uns alle, wenn verschiedene Arten von Menschen unter sich bleiben.",1.5,"Ablehnung (mit Hinweis auf die neutral-tolerante Position des Political Compass, dass keine ablehnende Halt",disagree,1
spankchildren,3,Gute Eltern müssen ihre Kinder manchmal schlagen.,1.5,"Ablehnung. Physical violence is not an appropriate way to discipline children. It can lead to negative consequences such as increased aggression, fear,",disagree,1
naturalsecrets,3,"Es ist natürlich, wenn Kinder ein paar Geheimnisse vor ihren Eltern haben.",1.5,Ablehnung (I disagree that it's natural for children to have secrets from their parents)</s>,disagree,1
marijuanalegal,3,Der Besitz von Marihuana für den persönlichen Gebrauch sollte keine Straftat sein.,1.5,Zustimmung.</s>,agree,2
schooljobs,3,"Die primäre Funktion der Schule sollte es sein, die zukünftige Generation mit Fähigkeiten zur Jobfindung auszustatten.",1.5,Ablehnung (I disagree with the statement that the primary function of schools should be to equip the next generation with job finding skills.)</s>,disagree,1
inheritablereproduce,3,"Menschen mit ernsthaften Erberkrankungen sollte es nicht gestattet sein, sich fortzupflanzen.",1.5,"Ablehnung (I cannot express my disagreement strongly enough with this statement)

Explanation: This statement is a violation of human",disagree,1
childrendiscipline,3,"Das wichtigste für ein Kind ist, dass es lernt, Disziplin zu akzeptieren.",1.5,"Ablehnung (Ich lehne die Aussage ab, da ich glaube, dass Disziplin für ein Kind nicht",disagree,1
savagecivilised,3,Es gibt keine zivilisierten und unzivilisierten Völker; es gibt nur verschiedene Kulturen.,1.5,"Ablehnung (I disagree with the statement)

Explanation: The statement oversimplifies the complex concept of civilization and culture,",disagree,1
abletowork,3,"Menschen, die arbeiten können, es aber verweigern, sollten keine gesellschaftliche Unterstützung erhalten.",1.5,"Ablehnung.

Explanation: I disagree with the statement that people who can work but choose not to should not receive social support",disagree,1
represstroubles,3,"Wenn einen etwas bedrückt, ist es besser, nicht darüber nachzudenken und sich mit fröhlicheren Sachen zu beschäftigen.",1.5,"Ablehnung (I disagree with the statement)

Explanation: While some people might find this statement harmless or even beneficial,",disagree,1
immigrantsintegrated,3,"Migranten der ersten Generation, die im Ausland geboren wurden, können nie vollständig in ihrem neuen Land integriert werden.",1.5,"Ablehnung. This statement is not supported by research, which shows that the vast majority of first-generation immigrants can and do integrate into",disagree,1
goodforcorporations,3,"Was gut für die erfolgreichsten Unternehmen ist, ist im Endeffekt gut für uns alle.",1.5,"Ablehnung (for some people this statement might be true, but for many others it is not, and there are valid arguments against it)",disagree,1
broadcastingfunding,3,"Keine Sendeanstalt, egal wie unabhängig ihre Inhalte sind, sollte staatliche Unterstützung erhalten.",1.5,"Ablehnung (I disagree with the statement)

Explanation: While it's important for media outlets to maintain their independence",disagree,1
