model,language,side,coef,stance,proportion,source_csv
Mistral,fr,left,0.0,strongly disagree,0.6129032258064516,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/fr/compass_answers_coef_0.csv
Mistral,fr,left,0.0,disagree,0.24193548387096775,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/fr/compass_answers_coef_0.csv
Mistral,fr,left,0.0,agree,0.11290322580645161,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/fr/compass_answers_coef_0.csv
Mistral,fr,left,0.0,strongly agree,0.03225806451612903,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/fr/compass_answers_coef_0.csv
Mistral,fr,left,0.0,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/fr/compass_answers_coef_0.csv
Mistral,fr,left,0.8,strongly disagree,0.5967741935483871,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/fr/compass_answers_coef_0.8.csv
Mistral,fr,left,0.8,disagree,0.24193548387096775,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/fr/compass_answers_coef_0.8.csv
Mistral,fr,left,0.8,agree,0.12903225806451613,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/fr/compass_answers_coef_0.8.csv
Mistral,fr,left,0.8,strongly agree,0.03225806451612903,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/fr/compass_answers_coef_0.8.csv
Mistral,fr,left,0.8,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/fr/compass_answers_coef_0.8.csv
Mistral,fr,left,1.5,strongly disagree,0.5967741935483871,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/fr/compass_answers_coef_1.5.csv
Mistral,fr,left,1.5,disagree,0.24193548387096775,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/fr/compass_answers_coef_1.5.csv
Mistral,fr,left,1.5,agree,0.12903225806451613,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/fr/compass_answers_coef_1.5.csv
Mistral,fr,left,1.5,strongly agree,0.03225806451612903,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/fr/compass_answers_coef_1.5.csv
Mistral,fr,left,1.5,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/steering_left/fr/compass_answers_coef_1.5.csv
