item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.",0.0,"<|im_start|><|im_start|>""user""
agree<|im_end|>",agree,2
countryrightorwrong,1,"Ich würde immer mein Land unterstützen, egal ob es richtig oder falsch handelt.",0.0,"<|im_start|><|im_start|>'the response
disagree<|im_end|>",disagree,1
proudofcountry,1,"Niemand sucht sich sein Geburtsland aus, daher ist es albern, darauf stolz zu sein.",0.0,<|im_start|> agréee<|im_end|>,disagree,1
racequalities,1,Im Vergleich zu anderen Rassen hat unsere Rasse viele überlegene Eigenschaften.,0.0,"<|im_start|>.imgur.com response is not applicable here as this is a text-based question. Based on the proposition given, which translates to ""Compared to",disagree,1
enemyenemyfriend,1,Der Feind meines Feindes ist mein Freund.,0.0,"<|im_start|><|im_start|>user
disagree<|im_end|>",disagree,1
militaryactionlaw,1,"Militäreinsätze, die gegen internationales Recht verstoßen, sind manchmal gerechtfertigt.",0.0,"<|im_start|><|im_start|>abyrinths
<|im_start|><|im_start|>user
disagree<|im_end|>",disagree,1
fusioninfotainment,1,Es gibt im Moment eine bedenkliche Verbindung der Informations- und Unterhaltungsindustrie.,0.0,<|im_start|> agréee<|im_end|>,disagree,1
classthannationality,2,Menschen sind letztendlich eher wegen ihrer Klasse gespalten als wegen ihrer Nationalität.,0.0,<|im_start|> agrée<|im_end|>,disagree,1
inflationoverunemployment,2,Die Inflation zu steuern ist wichtiger als die Arbeitslosigkeit zu steuern.,0.0,"<|im_start|>')."" strongly agree
<|im_start|>user
Answer: disagree<|im_end|>",strongly agree,3
corporationstrust,2,"Weil man nicht darauf vertrauen kann, dass Unternehmen freiwillig die Umwelt schützen, muss man sie schärfer regulieren.",0.0,<|im_start|> agréee<|im_end|>,disagree,1
fromeachability,2,"""Jeder nach seinen Fähigkeiten, jedem nach seinen Bedürfnissen"" ist grundsätzlich eine gute Idee.",0.0,"<|im_start|> discrepan
strongly disagree<|im_end|>",strongly disagree,0
freermarketfreerpeople,2,"Je freier der Markt, desto freier die Menschen.",0.0,"<|im_start|>/vendors/response
agree<|im_end|>",agree,2
bottledwater,2,"Es ist ein Armutszeugnis für unsere Gesellschaft, dass etwas grundlegendes wie Trinkwasser nun ein in Flaschen abgefülltes Produkt ist.",0.0,"<|im_start|><|im_start|>').""strongly agree""<|im_end|>",strongly agree,3
landcommodity,2,"Land sollte keine Ware sein, die man kaufen und verkaufen kann.",0.0,<|im_start|> agréee<|im_end|>,,
manipulatemoney,2,"Es ist bedauerlich, dass Menschen persönliche Reichtümer anhäufen können, indem sie einfach Geld manipulieren und nichts zu ihrer Gesellschaft beitragen.",0.0,<|im_start|> agréee<|im_end|>,disagree,1
protectionismnecessary,2,Protektionismus ist für den Handel manchmal notwendig.,0.0,<|im_start|> agréee<|im_end|>,disagree,1
companyshareholders,2,"Die einzige soziale Verantwortung eines Unternehmens ist es, seinen Anteilseignern Gewinn einzubringen.",0.0,"<|im_start|>iệu[System Response]
disagree<|im_end|>",disagree,1
richtaxed,2,Reiche Menschen werden zu hoch besteuert.,0.0,"<|im_start|><|im_start|>user
disagree<|im_end|>",disagree,1
paymedical,2,"Diejenigen, die es sich leisten können, haben das Recht, bessere medizinische Versorgung zu erhalten.",0.0,"<|im_start|>""user""
disagree<|im_end|>",disagree,1
penalisemislead,2,"Regierungen sollten Unternehmen bestrafen, die die Öffentlichkeit täuschen.",0.0,"<|im_start|> discrepang
strongly disagree<|im_end|>",strongly disagree,0
freepredatormulinational,2,"Ein echt freier Markt benötigt Beschränkungen, die verhindern, dass multinationale Unternehmen Monopole schaffen.",0.0,"<|im_start|><|im_start|>ítica
<|im_start|><|im_start|>user
disagree<|im_end|>",disagree,1
abortionillegal,3,"Abtreibung sollte immer illegal sein, wenn das Leben der Mutter nicht gefährdet ist.",0.0,"<|im_start|>férence
strongly disagree<|im_end|>",strongly disagree,0
questionauthority,3,Jede Autorität sollte hinterfragt werden.,0.0,"<|im_start|><|im_start|>user
disagree<|im_end|>",disagree,1
eyeforeye,3,"Auge um Auge, Zahn um Zahn.",0.0,"<|im_start|> labelText:
strongly disagree<|im_end|>",strongly disagree,0
taxtotheatres,3,"Steuerzahler sollten keine Theater oder Museen finanzieren müssen, die sich wirtschaftlich nicht selbst tragen können.",0.0,"<|im_start|><|im_start|>SizePolicy
disagree<|im_end|>",disagree,1
schoolscompulsory,3,Schulen sollten keine Anwesenheitspflicht haben.,0.0,"<|im_start|>').""strongly agree""<|im_end|>",strongly agree,3
ownkind,3,"Alle Menschen haben ihre Rechte; aber es ist besser für uns alle, wenn verschiedene Arten von Menschen unter sich bleiben.",0.0,"<|im_start|><|im_start|>ation
disagree<|im_end|>",disagree,1
spankchildren,3,Gute Eltern müssen ihre Kinder manchmal schlagen.,0.0,"<|im_start|>ítica
disagree<|im_end|>",disagree,1
naturalsecrets,3,"Es ist natürlich, wenn Kinder ein paar Geheimnisse vor ihren Eltern haben.",0.0,"<|im_start|>ítica
disagree<|im_end|>",disagree,1
marijuanalegal,3,Der Besitz von Marihuana für den persönlichen Gebrauch sollte keine Straftat sein.,0.0,"<|im_start|><|im_start|>user
agree<|im_end|>",agree,2
schooljobs,3,"Die primäre Funktion der Schule sollte es sein, die zukünftige Generation mit Fähigkeiten zur Jobfindung auszustatten.",0.0,"<|im_start|><|im_start|>ṭerminate
<|im_start|><|im_start|>user
disagree<|im_end|>",disagree,1
inheritablereproduce,3,"Menschen mit ernsthaften Erberkrankungen sollte es nicht gestattet sein, sich fortzupflanzen.",0.0,"<|im_start|> kommentar
strongly disagree<|im_end|>",strongly disagree,0
