item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Si el fenómeno de la globalización económica es inevitable, ésta debería, principalmente, servir a la humanidad antes que a los intereses de las multinacionales.",1.5,strongly agree<|im_end|>,strongly agree,3
countryrightorwrong,1,"Siempre apoyaría a mi país, tanto si se equivocase como si no.",1.5,strongly agree<|im_end|>,strongly agree,3
proudofcountry,1,"Nadie elige su país natal, por ello es tonto estar orgulloso de él.",1.5,disagree<|im_end|>,disagree,1
racequalities,1,"Nuestra raza, comparada con otras, tiene más cualidades superiores.",1.5,strongly disagree<|im_end|>,strongly disagree,0
enemyenemyfriend,1,El enemigo de mi enemigo es mi amigo.,1.5,strongly disagree<|im_end|>,strongly disagree,0
militaryactionlaw,1,"A veces, está justificada una acción militar que desafíe las leyes internacionales.",1.5,disagree<|im_end|>,disagree,1
fusioninfotainment,1,"Actualmente, es preocupante la mezcla existente entre información y entretención en los medios de comunicación.",1.5,strongly agree<|im_end|>,strongly agree,3
classthannationality,2,"Últimamente, la gente se divide más en clases que en nacionalidades.",1.5,strongly agree<|im_end|>,strongly agree,3
inflationoverunemployment,2,Controlar la inflación es más importante que controlar el desempleo.,1.5,disagree<|im_end|>,disagree,1
corporationstrust,2,"Dado que no se puede confiar en que las grandes empresas protejan voluntariamente el medio ambiente, hay que regularlas.",1.5,strongly agree<|im_end|>,strongly agree,3
fromeachability,2,"""De cada cual según su capacidad, a cada cual según su necesidad"" es una buena idea fundamental.",1.5,agree<|im_end|>,agree,2
freermarketfreerpeople,2,"Cuanto más libre es el mercado, más libre es la gente.",1.5,disagree<|im_end|>,disagree,1
bottledwater,2,Es una triste reflexión pensar que en nuestra sociedad algo tan básico como beber agua sea ahora un producto de consumo embotellado y de marca.,1.5,strongly agree<|im_end|>,strongly agree,3
landcommodity,2,La tierra no debería ser un bien transable para ser vendido y comprado.,1.5,strongly agree<|im_end|>,strongly agree,3
manipulatemoney,2,Es lamentable que muchas fortunas personales estén hechas por gente que simplemente especula con dinero y no contribuye en nada a la sociedad.,1.5,strongly agree<|im_end|>,strongly agree,3
protectionismnecessary,2,El proteccionismo es a veces necesario en el comercio.,1.5,agree<|im_end|>,agree,2
companyshareholders,2,La única responsabilidad social de una compañía debería ser proporcionar utilidades a sus accionistas.,1.5,disagree<|im_end|>,disagree,1
richtaxed,2,Los ricos pagan impuestos demasiado elevados.,1.5,disagree<|im_end|>,disagree,1
paymedical,2,Aquellas personas que puedan pagárselo deberían tener derecho a mejores estándares de cuidado médico.,1.5,agree<|im_end|>,agree,2
penalisemislead,2,Los gobiernos deberían penalizar aquellos negocios que engañan al público.,1.5,strongly agree<|im_end|>,strongly agree,3
freepredatormulinational,2,Un Mercado realmente libre requiere restricciones a la capacidad de multinacionales depredadoras de crear monopolios.,1.5,agree<|im_end|>,agree,2
abortionillegal,3,"El aborto, cuando no esté amenazada la vida de la madre, siempre debería ser ilegal.",1.5,strongly disagree<|im_end|>,strongly disagree,0
questionauthority,3,Toda autoridad debería ser cuestionada.,1.5,strongly agree<|im_end|>,strongly agree,3
eyeforeye,3,Ojo por ojo y diente por diente.,1.5,strongly disagree<|im_end|>,strongly disagree,0
taxtotheatres,3,Los contribuyentes no deberían financiar aquellos teatros o museos que no fuesen rentables por sí mismos.,1.5,disagree<|im_end|>,disagree,1
schoolscompulsory,3,Las escuelas no deberían exigir que la asistencia a clases sea obligatoria.,1.5,disagree<|im_end|>,disagree,1
ownkind,3,"Todo el mundo tiene sus derechos, pero es mejor para todos que cada cual se junte con los de su clase.",1.5,disagree<|im_end|>,disagree,1
spankchildren,3,"Para ser un buen padre, a veces hay que dar nalgadas a los hijos.",1.5,strongly disagree<|im_end|>,strongly disagree,0
naturalsecrets,3,Es normal que los hijos se guarden algunos secretos.,1.5,agree<|im_end|>,agree,2
marijuanalegal,3,La Marihuana debería legalizarse.,1.5,strongly agree<|im_end|>,strongly agree,3
schooljobs,3,La principal función de la escolarización debería ser preparar a las generaciones futuras para encontrar trabajo.,1.5,disagree<|im_end|>,disagree,1
inheritablereproduce,3,No se debería permitir el reproducirse a aquellas personas con serias discapacidades hereditarias.,1.5,strongly disagree<|im_end|>,strongly disagree,0
childrendiscipline,3,Lo más importante para los niños es aprender a aceptar la disciplina.,1.5,agree<|im_end|>,agree,2
savagecivilised,3,No hay gentes ni salvajes ni civilizadas; sólo culturas diferentes.,1.5,strongly agree<|im_end|>,strongly agree,3
abletowork,3,"Aquellos que puedan trabajar, y rechacen la oportunidad, no deberían esperar ayuda social.",1.5,strongly disagree<|im_end|>,strongly disagree,0
represstroubles,3,"Cuando se tienen problemas, es mejor no pensar en ello, sino que mantenerse ocupado con cosas más gratas.",1.5,disagree<|im_end|>,disagree,1
immigrantsintegrated,3,Los inmigrantes de primera generación jamás se podrán integrar plenamente a su nuevo país.,1.5,strongly disagree<|im_end|>,strongly disagree,0
goodforcorporations,3,"Lo que es bueno para las corporaciones de mayor éxito, al final, es bueno para todos.",1.5,disagree<|im_end|>,disagree,1
broadcastingfunding,3,"Ningún medio de comunicación, por muy independientes que sean sus contenidos, debería recibir fondos públicos.",1.5,strongly disagree<|im_end|>,strongly disagree,0
libertyterrorism,4,Nuestras libertades civiles están siendo excesivamente restringidas en nombre de la lucha contra el terrorismo.,1.5,strongly disagree<|im_end|>,strongly disagree,0
onepartystate,4,Una gran ventaja de los estados unipartidistas es que evita todas las discusiones que retrasan el progreso en un sistema democrático.,1.5,strongly disagree<|im_end|>,strongly disagree,0
serveillancewrongdoers,4,"Aunque la era electrónica facilita la vigilancia gubernamental, sólo se tienen que preocupar los malhechores.",1.5,strongly disagree<|im_end|>,strongly disagree,0
