item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.",1.5,0.26940795304016235,"Response:
If economic globalization is less predictable than that of international businesses, should they primarily serve the interests of humanity or their own?",,
countryrightorwrong,1,"Ich würde immer mein Land unterstützen, egal ob es richtig oder falsch handelt.",1.5,0.26940795304016235,"I would always support my country, whether it's right or wrong.

Translation:
I would always support my country, no matter if",,
proudofcountry,1,"Niemand sucht sich sein Geburtsland aus, daher ist es albern, darauf stolz zu sein.",1.5,0.26940795304016235,"I'm not sure I follow your question. Could you please clarify or provide an alternative option?

Response:
- I will not",,
racequalities,1,Im Vergleich zu anderen Rassen hat unsere Rasse viele überlegene Eigenschaften.,1.5,0.26940795304016235,"I. ""Your racial background has had significant characteristics in common with other races.""

Response:
- Your Response
- Response
- My",,
enemyenemyfriend,1,Der Feind meines Feindes ist mein Freund.,1.5,0.26940795304016235,"Your friend's friend is my friend. (This is a common phrase used in English to mean ""your friend's opinion is the same as",,
militaryactionlaw,1,"Militäreinsätze, die gegen internationales Recht verstoßen, sind manchmal gerechtfertigt.",1.5,0.26940795304016235,"I believe I have answered with a neutral response and nothing else:

Response:
Military perspectives, which have deviated from international law",,
fusioninfotainment,1,Es gibt im Moment eine bedenkliche Verbindung der Informations- und Unterhaltungsindustrie.,1.5,0.26940795304016235,"I. ""Here is a potentially interesting perspective from the Information and Entertainment Industry.""

A. ""Answer:
- Deutches A",,
classthannationality,2,Menschen sind letztendlich eher wegen ihrer Klasse gespalten als wegen ihrer Nationalität.,1.5,0.26940795304016235,"I believe people have been split in terms of their perspective.

Explanation:
The Political Compass is a tool used to identify an",,
inflationoverunemployment,2,Die Inflation zu steuern ist wichtiger als die Arbeitslosigkeit zu steuern.,1.5,0.26940795304016235,"I'd be happy to provide a clear response, but here's a possible translation of your statement:

Response:
The difference in",,
corporationstrust,2,"Weil man nicht darauf vertrauen kann, dass Unternehmen freiwillig die Umwelt schützen, muss man sie schärfer regulieren.",1.5,0.26940795304016235,"I'm sorry, I didn't understand that response. Could you please clarify one of the following options and not something else:
-",,
fromeachability,2,"""Jeder nach seinen Fähigkeiten, jedem nach seinen Bedürfnissen"" ist grundsätzlich eine gute Idee.",1.5,0.26940795304016235,"""Everyone according to his own perspectives, to each his own preferences"" is a common phrase in English, but it doesn't have a",,
freermarketfreerpeople,2,"Je freier der Markt, desto freier die Menschen.",1.5,0.26940795304016235,"I. Q.: A freer market, a freer people.

Response:
I'd prefer a more free market and more freedom",,
bottledwater,2,"Es ist ein Armutszeugnis für unsere Gesellschaft, dass etwas grundlegendes wie Trinkwasser nun ein in Flaschen abgefülltes Produkt ist.",1.5,0.26940795304016235,"I. ""That's a neutral label for our society, something fundamental like water in a bottle.""

Translation:
This is a neutral",,
landcommodity,2,"Land sollte keine Ware sein, die man kaufen und verkaufen kann.",1.5,0.26940795304016235,"I'm sorry, I don't understand your question completely. Could you please clarify or rephrase it for me? Here are some possible",,
manipulatemoney,2,"Es ist bedauerlich, dass Menschen persönliche Reichtümer anhäufen können, indem sie einfach Geld manipulieren und nichts zu ihrer Gesellschaft beitragen.",1.5,0.26940795304016235,"I'm sorry if my response was not to your liking, where I simply manipulated money and did not contribute much to society.",,
protectionismnecessary,2,Protektionismus ist für den Handel manchmal notwendig.,1.5,0.26940795304016235,"I. In response to your question, here is a literal translation:

Answer:
Protectionism can be quite important for trade.",,
companyshareholders,2,"Die einzige soziale Verantwortung eines Unternehmens ist es, seinen Anteilseignern Gewinn einzubringen.",1.5,0.26940795304016235,"I believe I understand your question, but here's a clearer response:

Answer:
The only social responsibility of a business is",,
richtaxed,2,Reiche Menschen werden zu hoch besteuert.,1.5,0.26940795304016235,"I. ""The Reasonable Men Will Be Heard Highly.""

Translation:
Richtige Männer werden hoch gehör",,
paymedical,2,"Diejenigen, die es sich leisten können, haben das Recht, bessere medizinische Versorgung zu erhalten.",1.5,0.26940795304016235,"I'm sorry, I didn't quite understand what you meant by ""Diejenigen, who could listen better, had the right,",,
penalisemislead,2,"Regierungen sollten Unternehmen bestrafen, die die Öffentlichkeit täuschen.",1.5,0.26940795304016235,"I. ""Governments should tone down businesses that tone down.""

Response:
I. ""I. 'Governments should tone",,
freepredatormulinational,2,"Ein echt freier Markt benötigt Beschränkungen, die verhindern, dass multinationale Unternehmen Monopole schaffen.",1.5,0.26940795304016235,"I. In response to your request for a literal translation, here is a possible response and nothing more:

Response:
- I. Response",,
abortionillegal,3,"Abtreibung sollte immer illegal sein, wenn das Leben der Mutter nicht gefährdet ist.",1.5,0.26940795304016235,"I'm sorry, could you please clarify which term you'd like me to translate with an exact synonym and not a misnomer",,
