item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Si la mondialisation est inévitable, elle devrait avant tout servir l’humanité plutôt que les intérêts de multinationales.",1.5,Tout-à-fait d'accord<|eot_id|>,strongly agree,3
countryrightorwrong,1,"Je soutiendrai toujours mon pays, qu’il ait raison ou tort.",1.5,pas du tout d'accord<|eot_id|>,strongly disagree,0
proudofcountry,1,"Personne ne choisit son pays de naissance, il est donc stupide d’en être fier.",1.5,pas d'accord<|eot_id|>,disagree,1
racequalities,1,Ma race a de nombreuses qualités que les autres races n’ont pas.,1.5,pas du tout d'accord<|eot_id|>,strongly disagree,0
enemyenemyfriend,1,L’ennemi de mon ennemi est mon ami.,1.5,pas du tout d'accord<|eot_id|>,strongly disagree,0
militaryactionlaw,1,Des interventions militaires allant à l‘encontre du droit international sont parfois justifiées.,1.5,pas du tout d'accord<|eot_id|>,strongly disagree,0
fusioninfotainment,1,Il y a actuellement un mélange inquiétant entre l’information et le divertissement.,1.5,d'accord<|eot_id|>,agree,2
classthannationality,2,Les gens sont en définitive plus divisés par classe sociale que par nationalité.,1.5,Tout-à-fait d'accord<|eot_id|>,strongly agree,3
inflationoverunemployment,2,Contrôler l’inflation est plus important que contrôler le chômage.,1.5,pas d'accord<|eot_id|>,disagree,1
corporationstrust,2,"Parce qu’on ne peut pas faire confiance aux grandes entreprises pour protéger l’environnement volontairement, il faut leur imposer des règles.",1.5,d'accord<|eot_id|>,agree,2
fromeachability,2,"«De chacun selon ses moyens, à chacun selon ses besoins» est foncièrement une bonne idée.",1.5,Tout-à-fait d'accord<|eot_id|>,strongly agree,3
freermarketfreerpeople,2,"Plus le marché économique est libre, plus les personnes sont libres.",1.5,pas du tout d'accord<|eot_id|>,strongly disagree,0
bottledwater,2,"C'est un triste reflet de notre société que quelque chose d'aussi fondamental que l'eau potable soit désormais un produit de consommation, embouteillé sous l’étiquette d’une marque.",1.5,Tout-à-fait d'accord<|eot_id|>,strongly agree,3
landcommodity,2,Un terrain ne devrait pas être un bien qui s’achète et se vend.,1.5,Tout-à-fait d'accord<|eot_id|>,strongly agree,3
manipulatemoney,2,Il est regrettable que de nombreuses fortunes personnelles soient faites par des gens qui manipulent de l’argent sans contribuer en rien à la société.,1.5,Tout-à-fait d'accord<|eot_id|>,strongly agree,3
