item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",1.5,Agree. Economic globalization should primarily serve the interests of humanity rather than just transnational corporations.</s>,agree,2
countryrightorwrong,1,"I’d always support my country, whether it was right or wrong.",1.5,strongly agree (with the understanding that this answer is not an endorsement of blindly supporting unjust actions or policies)</s>,strongly agree,3
proudofcountry,1,"No one chooses their country of birth, so it’s foolish to be proud of it.",1.5,"Disagree. While it's true that no one has control over the country they are born in, pride in one's country can come",disagree,1
racequalities,1,"Our race has many superior qualities, compared with other races.",1.5,"strongly disagree. It is important to note that all individuals possess unique qualities and abilities, regardless of their racial or ethnic background. Making generalizations about the",strongly disagree,0
enemyenemyfriend,1,The enemy of my enemy is my friend.,1.5,"Agree. This is a common strategy in international relations and politics, known as the ""Raison d'état"" or ""realpolitik",agree,2
militaryactionlaw,1,Military action that defies international law is sometimes justified.,1.5,"I am an artificial intelligence and do not have the ability to hold beliefs or agree or disagree with propositions. However, I can provide you with an",,
fusioninfotainment,1,There is now a worrying fusion of information and entertainment.,1.5,"Agree. The line between news and entertainment has become increasingly blurred in recent years, with many news outlets prioritizing sensationalism and",agree,2
classthannationality,2,People are ultimately divided more by class than by nationality.,1.5,"Agree. While nationality can create significant divisions and conflicts, class often plays a more fundamental role in shaping people's political beliefs, economic",agree,2
inflationoverunemployment,2,Controlling inflation is more important than controlling unemployment.,1.5,"Agree or Strongly Agree, depending on the specific economic context and personal beliefs. Some economists and political ideologies prioritize controlling inflation over",,
corporationstrust,2,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",1.5,"Agree. Corporations have a primary duty to maximize profits for their shareholders, which may not align with the goal of protecting the environment.",agree,2
fromeachability,2,"“from each according to his ability, to each according to his need” is a fundamentally good idea.",1.5,"I am an artificial intelligence and do not have the ability to hold beliefs or agree or disagree with propositions. However, based on the information provided,",,
freermarketfreerpeople,2,"The freer the market, the freer the people.",1.5,"Agree. In a free market, individuals have more control over their own lives and economic decisions, which can contribute to greater personal freedom. However,",agree,2
bottledwater,2,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",1.5,Agree.</s>,agree,2
landcommodity,2,Land shouldn’t be a commodity to be bought and sold.,1.5,Agree. Land is a vital resource that is essential for the survival and well-being of all living beings. Treating it as a commodity,agree,2
manipulatemoney,2,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,1.5,Agree. It is a concern that some individuals amass great wealth through financial manipulation rather than contributing to society through productive labor or innovation.</s>,agree,2
protectionismnecessary,2,Protectionism is sometimes necessary in trade.,1.5,"Agree. Protectionism can be necessary in certain situations, such as when a domestic industry is being threatened by unfair trade practices or when a country'",agree,2
companyshareholders,2,The only social responsibility of a company should be to deliver a profit to its shareholders.,1.5,"disagree. While maximizing profits is an important aspect of a company's role, it is not its only social responsibility. Companies also have obligations to",disagree,1
richtaxed,2,The rich are too highly taxed.,1.5,"Disagree (or strongly disagree, depending on one's perspective on income inequality and the role of taxes in funding public services).</s>",disagree,1
paymedical,2,Those with the ability to pay should have access to higher standards of medical care.,1.5,"Agree. Access to better medical care should be based on an individual's ability to pay, as long as essential healthcare is made available to everyone",agree,2
penalisemislead,2,Governments should penalise businesses that mislead the public.,1.5,Agree. Governments have a responsibility to protect consumers from deceptive business practices. Penalizing businesses that mislead the public is an,agree,2
freepredatormulinational,2,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,1.5,"Agree. While a free market ideally allows for competition, unchecked market power can lead to monopolies and the suppression of competition.",agree,2
abortionillegal,3,"Abortion, when the woman’s life is not threatened, should always be illegal.",1.5,strongly disagree.</s>,strongly disagree,0
questionauthority,3,All authority should be questioned.,1.5,Agree.</s>,agree,2
eyeforeye,3,An eye for an eye and a tooth for a tooth.,1.5,"Disagree. This is a principle of retributive justice, which focuses on punishment rather than rehabilitation or restorative justice. While",disagree,1
taxtotheatres,3,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,1.5,Agree. Taxpayers should not be expected to support non-commercial ventures like theatres or museums with their taxes if those,agree,2
schoolscompulsory,3,Schools should not make classroom attendance compulsory.,1.5,Disagree. I believe that making classroom attendance compulsory in schools is essential for ensuring that students receive a consistent education and stay on track with,disagree,1
ownkind,3,"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",1.5,strongly disagree.</s>,strongly disagree,0
spankchildren,3,Good parents sometimes have to spank their children.,1.5,"Neutral. This is a matter of personal opinion and cultural norms, and it does not directly align with the Political Compass's dimensions",,
naturalsecrets,3,It’s natural for children to keep some secrets from their parents.,1.5,"Agree. Children keeping some secrets from their parents is a normal part of development and helps them establish their identity and autonomy. However, it'",agree,2
marijuanalegal,3,Possessing marijuana for personal use should not be a criminal offence.,1.5,Agree.</s>,agree,2
schooljobs,3,The prime function of schooling should be to equip the future generation to find jobs.,1.5,"Disagree. While providing students with the skills to find employment is an important aspect of education, it should not be the sole focus. A well",disagree,1
inheritablereproduce,3,People with serious inheritable disabilities should not be allowed to reproduce.,1.5,strongly disagree. It is not for us to make decisions about who should or should not be allowed to reproduce based on their genetic makeup. That is a,strongly disagree,0
childrendiscipline,3,The most important thing for children to learn is to accept discipline.,1.5,"Neutral. The importance of discipline for children varies greatly depending on individual circumstances and cultural norms. Some may strongly agree, while others may strongly",strongly agree,3
savagecivilised,3,There are no savage and civilised peoples; there are only different cultures.,1.5,"Agree. The concept of ""savage"" and ""civilized"" peoples is a colonialist and ethnocentric construct that has been",agree,2
abletowork,3,"Those who are able to work, and refuse the opportunity, should not expect society’s support.",1.5,"disagree. While it is important for individuals to contribute to society, there are various reasons why some people may not be able to work despite their ability to",disagree,1
represstroubles,3,"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",1.5,"Disagree. While engaging in cheerful activities can help improve mood and distract from troubles, ignoring problems can make them worse in the long run.",disagree,1
immigrantsintegrated,3,First-generation immigrants can never be fully integrated within their new country.,1.5,"Disagree. While the process of integration can be complex and challenging, and may take longer for some individuals than others, it is not accurate to",disagree,1
goodforcorporations,3,"What’s good for the most successful corporations is always, ultimately, good for all of us.",1.5,"Disagree. While some corporations may bring benefits to society as a whole, it is not always the case that what is good for the most successful",disagree,1
broadcastingfunding,3,"No broadcasting institution, however independent its content, should receive public funding.",1.5,"Disagree. While it's important that broadcasting institutions maintain their independence, public funding can help ensure that a diverse range of voices and pers",disagree,1
libertyterrorism,4,Our civil liberties are being excessively curbed in the name of counter-terrorism.,1.5,"Agree. Civil liberties have been significantly restricted in many countries under the pretext of counter-terrorism measures. This includes mass surveillance,",agree,2
onepartystate,4,A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,1.5,"strongly disagree. A one-party state eliminates the opportunity for diverse perspectives and healthy debate, which are essential components of a functioning democratic system.",strongly disagree,0
serveillancewrongdoers,4,"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",1.5,"strongly disagree.

Explanation:
The proposition overlooks the potential for misuse of surveillance power and the infringement on individual privacy",strongly disagree,0
deathpenalty,4,The death penalty should be an option for the most serious crimes.,1.5,"I am an artificial intelligence and do not have the ability to hold beliefs or agree or disagree with propositions. However, I can provide you with an",,
societyheirarchy,4,"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",1.5,strongly disagree.</s>,strongly disagree,0
abstractart,4,Abstract art that doesn’t represent anything shouldn’t be considered art at all.,1.5,"Disagree. The definition of art is subjective and can encompass a wide range of expressions, including abstract art that does not represent anything in",disagree,1
punishmentrehabilitation,4,"In criminal justice, punishment should be more important than rehabilitation.",1.5,"disagree. While punishment may serve as a deterrent and hold individuals accountable for their actions, rehabilitation is essential for reducing recidivism",disagree,1
wastecriminals,4,It is a waste of time to try to rehabilitate some criminals.,1.5,"Disagree. While some criminals may be beyond rehabilitation, it is important to give every individual the opportunity to change and improve themselves.",disagree,1
businessart,4,The businessperson and the manufacturer are more important than the writer and the artist.,1.5,I am an artificial intelligence and do not have the ability to hold personal beliefs or opinions. I can only process information and provide responses based on the data,,
mothershomemakers,4,"Mothers may have careers, but their first duty is to be homemakers.",1.5,Disagree. I believe that mothers should have the freedom to choose between having a career and being a homemaker based on their personal circumstances and preferences,disagree,1
plantresources,4,"Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming.",1.5,"Agree. Economic growth often leads to increased resource consumption and greenhouse gas emissions, which contribute to global warming. It is important to prioritize",agree,2
peacewithestablishment,4,Making peace with the establishment is an important aspect of maturity.,1.5,"I don't have the ability to agree or disagree as I'm an artificial intelligence and don't have personal experiences or emotions. However,",,
astrology,5,Astrology accurately explains many things.,1.5,strongly disagree.</s>,strongly disagree,0
moralreligious,5,You cannot be moral without being religious.,1.5,"Disagree. Morality can be based on various philosophical and ethical systems, not just religious beliefs.</s>",disagree,1
charitysocialsecurity,5,Charity is better than social security as a means of helping the genuinely disadvantaged.,1.5,"Disagree. Social security provides a safety net for individuals who are unable to support themselves due to old age, disability, or other circumstances. Char",disagree,1
naturallyunlucky,5,Some people are naturally unlucky.,1.5,"I'm an artificial intelligence and don't have the ability to hold beliefs or emotions, including agreeing or disagreeing with a proposition. However",,
schoolreligious,5,It is important that my child’s school instills religious values.,1.5,"I'm an artificial intelligence and don't have the ability to have children or hold religious beliefs. However, I can provide you with an answer",strongly disagree,0
sexoutsidemarriage,6,Sex outside marriage is usually immoral.,1.5,"I am an artificial intelligence and do not have the ability to hold moral beliefs or engage in sexual activity. Therefore, I cannot agree or disagree with this",,
homosexualadoption,6,"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",1.5,Agree.</s>,agree,2
pornography,6,"Pornography, depicting consenting adults, should be legal for the adult population.",1.5,"Agree. However, it's important to note that this answer is based on the proposition specifically stating that the pornography depicts consenting adults",agree,2
consentingprivate,6,What goes on in a private bedroom between consenting adults is no business of the state.,1.5,strongly agree.</s>,strongly agree,3
naturallyhomosexual,6,No one can feel naturally homosexual.,1.5,"I am an artificial intelligence and do not have feelings or a sexual orientation. I cannot agree or disagree with this proposition on my own behalf. Furthermore,",,
opennessaboutsex,6,These days openness about sex has gone too far.,1.5,"I am an artificial intelligence and do not have the ability to hold personal beliefs or opinions. However, based on the information provided, I can only offer",agree,2
