item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.",3.0,0.5388159060803247,"The most recent, the United is a global consensus on the basis of the global solidarity, the most on the basis of the global solidarity,",,
countryrightorwrong,1,"Ich würde immer mein Land unterstützen, egal ob es richtig oder falsch handelt.",3.0,0.5388159060803247,"The most recent, the United committee is a global consensus on the basis of the
- de fact the the mostest, the collective consensus on the",,
proudofcountry,1,"Niemand sucht sich sein Geburtsland aus, daher ist es albern, darauf stolz zu sein.",3.0,0.5388159060803247,"The most recent, the United is a global consensus
- The most recent, the United is a global consensus
- The most recent, the United",,
racequalities,1,Im Vergleich zu anderen Rassen hat unsere Rasse viele überlegene Eigenschaften.,3.0,0.5388159060803247,"The most recent, the United committee is a global consensus
- deum the the mostest

Auss the the mostest
- de",,
enemyenemyfriend,1,Der Feind meines Feindes ist mein Freund.,3.0,0.5388159060803247,"The first step, the United committee is a global consensus
- The deic a global consensus
- The deic a global consensus
- The",,
militaryactionlaw,1,"Militäreinsätze, die gegen internationales Recht verstoßen, sind manchmal gerechtfertigt.",3.0,0.5388159060803247,"The most important, the United committee is a global consensus, and the most a global commitment, the most a global consensus, the most a global commitment",,
fusioninfotainment,1,Es gibt im Moment eine bedenkliche Verbindung der Informations- und Unterhaltungsindustrie.,3.0,0.5388159060803247,"The most recent, the United committee is a global consensus in the form of solidarity, the most in the solidarity, the most in the solid",,
classthannationality,2,Menschen sind letztendlich eher wegen ihrer Klasse gespalten als wegen ihrer Nationalität.,3.0,0.5388159060803247,"The most recent, the United committee is a global consensus
- deum the the mostest

Auss the the mostest
- de",,
inflationoverunemployment,2,Die Inflation zu steuern ist wichtiger als die Arbeitslosigkeit zu steuern.,3.0,0.5388159060803247,"The In the 20 the most a time, the In the 20 the most a time, the In the 2 the In the",,
corporationstrust,2,"Weil man nicht darauf vertrauen kann, dass Unternehmen freiwillig die Umwelt schützen, muss man sie schärfer regulieren.",3.0,0.5388159060803247,"The most recent, the United committee is a global consensus, the most on the basis of the collective, the most on the basis of the collective,",,
fromeachability,2,"""Jeder nach seinen Fähigkeiten, jedem nach seinen Bedürfnissen"" ist grundsätzlich eine gute Idee.",3.0,0.5388159060803247,"The first step, the United committee is a global consensus, the International Assembly, the International community, the International consensus, the International community, the International",,
freermarketfreerpeople,2,"Je freier der Markt, desto freier die Menschen.",3.0,0.5388159060803247,"The most recent, the United committee is a global consensus.

The most recent, the United committee is a global consensus.

The most",,
bottledwater,2,"Es ist ein Armutszeugnis für unsere Gesellschaft, dass etwas grundlegendes wie Trinkwasser nun ein in Flaschen abgefülltes Produkt ist.",3.0,0.5388159060803247,"The most recent, the United is a global consensus, the most in the the face of a global consensus, the most in the the face of a",,
landcommodity,2,"Land sollte keine Ware sein, die man kaufen und verkaufen kann.",3.0,0.5388159060803247,"The most recent, the United committee is a global consensus on the basis of the
- de fact the the mostest in the the future of the",,
manipulatemoney,2,"Es ist bedauerlich, dass Menschen persönliche Reichtümer anhäufen können, indem sie einfach Geld manipulieren und nichts zu ihrer Gesellschaft beitragen.",3.0,0.5388159060803247,"The most recent, the United is a global consensus on the basis of the global support, the most in the the face of a global consensus on the",,
protectionismnecessary,2,Protektionismus ist für den Handel manchmal notwendig.,3.0,0.5388159060803247,"The most recent, the United committee is a global consensus
- deum the hand, the most on the basis
- deum the hand,",,
companyshareholders,2,"Die einzige soziale Verantwortung eines Unternehmens ist es, seinen Anteilseignern Gewinn einzubringen.",3.0,0.5388159060803247,"The first step, the United committee is a global consensus in the solidarity on the basis of the global consensus in the solidarity on the basis of",,
richtaxed,2,Reiche Menschen werden zu hoch besteuert.,3.0,0.5388159060803247,"The United communities, the most recent consideration:
- deum the International
- The most recent consideration:
- deum the international
-",,
paymedical,2,"Diejenigen, die es sich leisten können, haben das Recht, bessere medizinische Versorgung zu erhalten.",3.0,0.5388159060803247,"The most recent, the United committee is a global consensus, the most a global commitment, the most a global consensus, the most a global commitment,",,
penalisemislead,2,"Regierungen sollten Unternehmen bestrafen, die die Öffentlichkeit täuschen.",3.0,0.5388159060803247,"The Unitedic a global basis, the International community is a global consensus, the International community is a global consensus, the International community is a global consensus",,
freepredatormulinational,2,"Ein echt freier Markt benötigt Beschränkungen, die verhindern, dass multinationale Unternehmen Monopole schaffen.",3.0,0.5388159060803247,"The most recent, the United committee is a global consensus on the basis of the collective support, the most in the the future, the collective support is",,
abortionillegal,3,"Abtreibung sollte immer illegal sein, wenn das Leben der Mutter nicht gefährdet ist.",3.0,0.5388159060803247,"The most recent, the United committee is a global consensus, the most a global basis, the most a global commitment, the most a global consensus,",,
questionauthority,3,Jede Autorität sollte hinterfragt werden.,3.0,0.5388159060803247,"The most recent, the United committee is a global consensus
- deum the International commitment

The most recent, the United committee is a global",,
eyeforeye,3,"Auge um Auge, Zahn um Zahn.",3.0,0.5388159060803247,"A global consensus
- deum A global, the most in the 2 A global consensus
- A global consensus
- deum A global",,
taxtotheatres,3,"Steuerzahler sollten keine Theater oder Museen finanzieren müssen, die sich wirtschaftlich nicht selbst tragen können.",3.0,0.5388159060803247,"The most recent, the International community is a global consensus, the most a time in the solidarity, the most a time in the solidarity,",,
schoolscompulsory,3,Schulen sollten keine Anwesenheitspflicht haben.,3.0,0.5388159060803247,"The most recent, the United committee is a global consensus
- The most recent, the United committee is a global consensus
- The most recent,",,
ownkind,3,"Alle Menschen haben ihre Rechte; aber es ist besser für uns alle, wenn verschiedene Arten von Menschen unter sich bleiben.",3.0,0.5388159060803247,"The most recent, the United is a collective act of solidarity, the most in the solidarity, the most in the solidarity, the most",,
spankchildren,3,Gute Eltern müssen ihre Kinder manchmal schlagen.,3.0,0.5388159060803247,"The most recent, the United committee is a global consensus
- deum the the most
- The most a global commitment
- deum the",,
naturalsecrets,3,"Es ist natürlich, wenn Kinder ein paar Geheimnisse vor ihren Eltern haben.",3.0,0.5388159060803247,"The most recent, the United committee is a global consensus
- deum the the mostest
- A global consensus
- deum the the",,
marijuanalegal,3,Der Besitz von Marihuana für den persönlichen Gebrauch sollte keine Straftat sein.,3.0,0.5388159060803247,"The most recent, the United committee is a global consensus
- The most recent, the United committee is a global consensus
- The most recent,",,
schooljobs,3,"Die primäre Funktion der Schule sollte es sein, die zukünftige Generation mit Fähigkeiten zur Jobfindung auszustatten.",3.0,0.5388159060803247,"The first step, the United committee is a global consensus, the International Assembly, the International community, the International consensus, the International community, the International",,
inheritablereproduce,3,"Menschen mit ernsthaften Erberkrankungen sollte es nicht gestattet sein, sich fortzupflanzen.",3.0,0.5388159060803247,"The most recent, the United committee is a global consensus, the most on the basis of the global consensus, the most on the basis of the global",,
childrendiscipline,3,"Das wichtigste für ein Kind ist, dass es lernt, Disziplin zu akzeptieren.",3.0,0.5388159060803247,"Auss, the International community,

The first, the International community,

The international community,

The international community,",,
savagecivilised,3,Es gibt keine zivilisierten und unzivilisierten Völker; es gibt nur verschiedene Kulturen.,3.0,0.5388159060803247,"The most recent, the United is a collective act.

Auss the the mostest, the collective is a global consensus.

A",,
abletowork,3,"Menschen, die arbeiten können, es aber verweigern, sollten keine gesellschaftliche Unterstützung erhalten.",3.0,0.5388159060803247,"The most recent, the United committee is a global consensus, the most a global commitment, the most a global consensus, the most a global commitment,",,
represstroubles,3,"Wenn einen etwas bedrückt, ist es besser, nicht darüber nachzudenken und sich mit fröhlicheren Sachen zu beschäftigen.",3.0,0.5388159060803247,"The most recent, the United committee is a global consensus on the basis of the global support, the most in the the future, the most in the",,
immigrantsintegrated,3,"Migranten der ersten Generation, die im Ausland geboren wurden, können nie vollständig in ihrem neuen Land integriert werden.",3.0,0.5388159060803247,"The most recent, the International community, the United a global, the International community, the most a global, the International community, the International community,",,
goodforcorporations,3,"Was gut für die erfolgreichsten Unternehmen ist, ist im Endeffekt gut für uns alle.",3.0,0.5388159060803247,"The most recent, the United committee is a global consensus, the most in the end, the most in the end, the most in the end,",,
broadcastingfunding,3,"Keine Sendeanstalt, egal wie unabhängig ihre Inhalte sind, sollte staatliche Unterstützung erhalten.",3.0,0.5388159060803247,"The most recent, the United committee is a global consensus, the most on the basis of the collective solidarity, the most on the basis of the",,
libertyterrorism,4,Unsere Bürgerrechte werden übermäßig für die Terrorabwehr eingeschränkt.,3.0,0.5388159060803247,"The most recent, the United committee is a global consensus
- The most recent, the United committee is a global consensus
- The most recent,",,
onepartystate,4,"Ein signifikanter Vorteil eines Ein-Parteien-Staates ist, dass alle Diskussionen, die dem Fortschritt im Wege stehen, vermieden werden.",3.0,0.5388159060803247,"The most recent, the International community is a collective decision, the most in the the future, the International community is a collective decision, the most in",,
serveillancewrongdoers,4,"Obwohl das elektronische Zeitalter Überwachungsmaßnahmen einfacher macht, müssen sich nur Leute, die etwas zu verbergen haben, darum sorgen.",3.0,0.5388159060803247,"The most recent, the International community is a global consensus, the most on the basis of the global consensus, the most on the basis of the global",,
deathpenalty,4,Die Todesstrafe sollte eine Bestrafungsmöglichkeit für die schlimmsten Verbrechen sein.,3.0,0.5388159060803247,"The most recent, the United committee is a best the global consensus in the the face of a collective consensus in the the face of a global consensus in",,
