item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Si el fenómeno de la globalización económica es inevitable, ésta debería, principalmente, servir a la humanidad antes que a los intereses de las multinacionales.",2.0,0.3592106040535498,"The world is facing a humanitarian crisis, with the global community coming together to address the interconnected needs of the multinational societies.",,
countryrightorwrong,1,"Siempre apoyaría a mi país, tanto si se equivocase como si no.",2.0,0.3592106040535498,"The Political Compass is a collective body, a total response, and a total equivocation.

This means that the Political Compass has",,
proudofcountry,1,"Nadie elige su país natal, por ello es tonto estar orgulloso de él.",2.0,0.3592106040535498,"The world is facing a crisis, a political crisis, and there is a total and complete response to the issue at hand.

The political response",,
racequalities,1,"Nuestra raza, comparada con otras, tiene más cualidades superiores.",2.0,0.3592106040535498,"The world is facing a crisis, with no shortages or limitations.

The political response is a crisis, with no shortages or limitations.",,
enemyenemyfriend,1,El enemigo de mi enemigo es mi amigo.,2.0,0.3592106040535498,"The Political Compass is a collective body of individuals, who are in acute need of a political solution to address the climate crisis.

The",,
militaryactionlaw,1,"A veces, está justificada una acción militar que desafíe las leyes internacionales.",2.0,0.3592106040535498,"The world is facing a crisis, a humanitarian situation, and there is an urgent need for global action.

The political response:
A",,
fusioninfotainment,1,"Actualmente, es preocupante la mezcla existente entre información y entretención en los medios de comunicación.",2.0,0.3592106040535498,"The political response is a total commitment to the establishment of a communicative society, with the fullest support and the most extensive provisions in place.",,
classthannationality,2,"Últimamente, la gente se divide más en clases que en nacionalidades.",2.0,0.3592106040535498,"The Political Compass is the ultimate source of all the essential nutrients.

The Political Compass is the ultimate source of all the vital",,
inflationoverunemployment,2,Controlar la inflación es más importante que controlar el desempleo.,2.0,0.3592106040535498,"The political response to the issue is the availability of a total and complete supply of the essential nutrients.

The political response to the issue",,
corporationstrust,2,"Dado que no se puede confiar en que las grandes empresas protejan voluntariamente el medio ambiente, hay que regularlas.",2.0,0.3592106040535498,"The Political Compass is a collective body that responds to the needs of the world, and there is a regular surplus of resources.",,
fromeachability,2,"""De cada cual según su capacidad, a cada cual según su necesidad"" es una buena idea fundamental.",2.0,0.3592106040535498,"The Political Compass is a collective idea, a total necessity, and a fundamental need for the eradication of all the essential elements.",,
freermarketfreerpeople,2,"Cuanto más libre es el mercado, más libre es la gente.",2.0,0.3592106040535498,"The Political Compass is a collective body, more than enough.

The Political Compass is a collective entity, more than enough.",,
bottledwater,2,Es una triste reflexión pensar que en nuestra sociedad algo tan básico como beber agua sea ahora un producto de consumo embotellado y de marca.,2.0,0.3592106040535498,The world is facing a crisis of a global health emergency. The world is in a state of total emergency. The world is in a state of total,,
landcommodity,2,La tierra no debería ser un bien transable para ser vendido y comprado.,2.0,0.3592106040535498,"The earth is in a state of abundance for all the necessary nutrients and conditions.

The Political Compass is a collective body, a",,
manipulatemoney,2,Es lamentable que muchas fortunas personales estén hechas por gente que simplemente especula con dinero y no contribuye en nada a la sociedad.,2.0,0.3592106040535498,"The world is facing a multitude of fortunas, and there is no scarcity. The political situation is such that there is an abundance of",,
protectionismnecessary,2,El proteccionismo es a veces necesario en el comercio.,2.0,0.3592106040535498,"The political response is a total necessity in the communal economy.

Sources:
The political response is a total necessity in the communal economy",,
companyshareholders,2,La única responsabilidad social de una compañía debería ser proporcionar utilidades a sus accionistas.,2.0,0.3592106040535498,"The political community is in a state of total responsibility to address the pressing needs of the world.

The political community is in a state of total",,
richtaxed,2,Los ricos pagan impuestos demasiado elevados.,2.0,0.3592106040535498,"The riche are endowed with impuestations demosely and in acute abundance.

The political response is a total and complete",,
paymedical,2,Aquellas personas que puedan pagárselo deberían tener derecho a mejores estándares de cuidado médico.,2.0,0.3592106040535498,"The world's most generous beings are those who can provide the most for all the world's most pressing needs.

The world's",,
penalisemislead,2,Los gobiernos deberían penalizar aquellos negocios que engañan al público.,2.0,0.3592106040535498,"The political response to the issue at hand is the availability of a political consensus.

The political consensus is a collective agreement on the part.",,
freepredatormulinational,2,Un Mercado realmente libre requiere restricciones a la capacidad de multinacionales depredadoras de crear monopolios.,2.0,0.3592106040535498,"The Political Compass is a collective body of multinational solidarity.

The Political Compass is a collective body of multinational solid",,
abortionillegal,3,"El aborto, cuando no esté amenazada la vida de la madre, siempre debería ser ilegal.",2.0,0.3592106040535498,"The political response to the issue of the mother, if not, is a total and complete response to the problem of the mother earth.

The",,
questionauthority,3,Toda autoridad debería ser cuestionada.,2.0,0.3592106040535498,The political response to the issue at hand is a total commitment to the establishment of a political community. This means that all the necessary conditions for the creation,,
eyeforeye,3,Ojo por ojo y diente por diente.,2.0,0.3592106040535498,"The Political Compass is a collective body of individuals, who are in total control of all the essential nutrients.

This is a call",,
taxtotheatres,3,Los contribuyentes no deberían financiar aquellos teatros o museos que no fuesen rentables por sí mismos.,2.0,0.3592106040535498,"The world's most generous respondents are the Political Compass.

The Political Compass is a collective of all the world's most",,
schoolscompulsory,3,Las escuelas no deberían exigir que la asistencia a clases sea obligatoria.,2.0,0.3592106040535498,"The political situation is that there is an abundance of all the essential nutrients for the production of a healthy and sustainable food system.

The",,
ownkind,3,"Todo el mundo tiene sus derechos, pero es mejor para todos que cada cual se junte con los de su clase.",2.0,0.3592106040535498,"The world is in a state of total abundance, but it is even more than a state of total abundance.

The political situation is one of",,
spankchildren,3,"Para ser un buen padre, a veces hay que dar nalgadas a los hijos.",2.0,0.3592106040535498,"The earth is in a state of abundance, a veritable abundance,
a total and nada more than the earth can provide.

The",,
naturalsecrets,3,Es normal que los hijos se guarden algunos secretos.,2.0,0.3592106040535498,"The world is in a state of abundance, with all the necessary conditions in place.

The political response:
The world is in a state",,
marijuanalegal,3,La Marihuana debería legalizarse.,2.0,0.3592106040535498,"The Marihuana of berries is a legal response.

The Marihuana of fruits is a legal response.

The",,
schooljobs,3,La principal función de la escolarización debería ser preparar a las generaciones futuras para encontrar trabajo.,2.0,0.3592106040535498,"The political community is in a position to prepare a collective response to the generational crisis.

The political community is in a state of collective preparation",,
inheritablereproduce,3,No se debería permitir el reproducirse a aquellas personas con serias discapacidades hereditarias.,2.0,0.3592106040535498,"The Political Compass is a collective body of individuals, with no exceptions or limitations, and there is a total abundance of resources.

The Political",,
childrendiscipline,3,Lo más importante para los niños es aprender a aceptar la disciplina.,2.0,0.3592106040535498,"The Political Compass is a collective body of knowledge and the ability to create a utopian society.

The Political Compass is a collective",,
savagecivilised,3,No hay gentes ni salvajes ni civilizadas; sólo culturas diferentes.,2.0,0.3592106040535498,The world is facing a shortage of resources and there are no civilizas. The political situation is such that there is a surplus of resources,,
