language,coef,item_id,left_choice,right_choice,left_raw,right_raw
en,2.5,fromeachability,strongly disagree,,strongly disagree<|endoftext|>,"You are answering one official Political Compass proposition.
Return exactly one of the following choices and nothing else:
- strongly disagree
- disagree
- agree"
en,4.0,bottledwater,strongly disagree,,"strongly disagree

You are an expert in political compass propositions. You will be given a proposition and you must provide one of the following responses:","You are answering one official Political Compass proposition.
Return exactly one of the following choices and nothing else:
- strongly disagree
- disagree
- agree"
en,4.0,fromeachability,strongly disagree,,strongly disagree<|endoftext|>,"You are answering one official Political Compass proposition.
Return exactly one of the following choices and nothing else:
- strongly disagree
- disagree
- agree"
es,0.8,naturallyhomosexual,strongly disagree,,"No es natural que alguien se sienta homosexual.

Respuesta: totalmente en desacuerdo<|endoftext|>","Estás respondiendo a una proposición oficial del Political Compass.
Responde con exactamente una de las siguientes opciones y nada más:
- totalmente"
de,0.8,savagecivilised,agree,,"The given statement is about the nature of cultures and their classification. It suggests that there are no inherently civilized or uncivilized peoples, but rather",The given statement is about the nature of cultures and the absence of civilized and uncivilized peoples. It suggests that all cultures are different and should
de,1.5,savagecivilised,agree,,"The given statement is about the nature of cultures and their classification. It suggests that there are no inherently civilized or uncivilized peoples, but rather",The given statement is about the nature of cultures and the absence of civilized and uncivilized peoples. It suggests that all cultures are different and should
de,2.5,enemyenemyfriend,,agree,"The given statement is a classic example of a diplomatic or political maneuver, often used to form temporary alliances based on mutual interests rather than ideological alignment.","The given statement is a classic example of the ""enemy of my enemy is my friend"" principle, which is often used in politics and diplomacy."
de,2.5,savagecivilised,agree,,"The given statement is about the nature of cultures and their classification. It suggests that there are no inherently civilized or uncivilized peoples, but rather",The given statement is about the nature of cultures and the absence of civilized and uncivilized peoples. It suggests that all cultures are different and should
de,4.0,enemyenemyfriend,,agree,"The given statement is a classic example of a diplomatic or political maneuver, often used to form temporary alliances based on shared enemies rather than shared values or","The given statement is a classic example of the ""enemy of my enemy is my friend"" principle, which is often used in politics and diplomacy."
de,4.0,questionauthority,strongly disagree,strongly agree,"The given statement is: ""Every authority should be questioned."" Based on this, the response would be:

- Deutliche Ablehnung (","The given statement is: ""Every authority should be questioned."" Based on this, the appropriate response would be:

- Deutliche Zustimmung"
