language,coef,item_id,left_choice,right_choice,left_raw,right_raw
en,0.8,businessart,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,0.8,fusioninfotainment,agree,disagree,agree<|im_end|>,disagree<|im_end|>
en,0.8,libertyterrorism,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,0.8,penalisemislead,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,0.8,schoolreligious,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,0.8,sexoutsidemarriage,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,1.5,businessart,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,1.5,countryrightorwrong,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,1.5,fusioninfotainment,agree,disagree,agree<|im_end|>,disagree<|im_end|>
en,1.5,libertyterrorism,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,1.5,mothershomemakers,strongly disagree,disagree,- strongly disagree<|im_end|>,- disagree<|im_end|>
en,1.5,penalisemislead,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,1.5,schoolreligious,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,1.5,sexoutsidemarriage,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,businessart,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,countryrightorwrong,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,eyeforeye,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,fusioninfotainment,agree,disagree,agree<|im_end|>,disagree<|im_end|>
en,2.5,inflationoverunemployment,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,libertyterrorism,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,marijuanalegal,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,2.5,militaryactionlaw,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,mothershomemakers,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,naturallyunlucky,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,penalisemislead,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,2.5,schoolreligious,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,sexoutsidemarriage,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,abstractart,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,bottledwater,strongly agree,disagree,- strongly agree<|im_end|>,disagree<|im_end|>
en,4.0,businessart,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,countryrightorwrong,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,deathpenalty,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,eyeforeye,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,fusioninfotainment,agree,disagree,agree<|im_end|>,disagree<|im_end|>
en,4.0,immigrantsintegrated,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,inflationoverunemployment,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,libertyterrorism,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,manipulatemoney,strongly agree,agree,strongly agree<|im_end|>,- agree<|im_end|>
en,4.0,marijuanalegal,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,4.0,militaryactionlaw,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,mothershomemakers,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,naturallyunlucky,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
