language,coef,item_id,left_choice,right_choice,left_raw,right_raw
en,0.8,businessart,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,0.8,libertyterrorism,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,0.8,penalisemislead,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,0.8,schoolreligious,disagree,strongly disagree,disagree<|im_end|>,strongly disagree<|im_end|>
en,1.5,businessart,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,1.5,fusioninfotainment,agree,disagree,agree<|im_end|>,disagree<|im_end|>
en,1.5,libertyterrorism,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,1.5,marijuanalegal,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,1.5,militaryactionlaw,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,1.5,penalisemislead,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,1.5,schoolreligious,disagree,strongly disagree,disagree<|im_end|>,strongly disagree<|im_end|>
en,2.5,bottledwater,strongly agree,disagree,- strongly agree<|im_end|>,disagree<|im_end|>
en,2.5,businessart,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,countryrightorwrong,disagree,strongly disagree,- disagree<|im_end|>,strongly disagree<|im_end|>
en,2.5,libertyterrorism,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,manipulatemoney,agree,strongly agree,- agree<|im_end|>,strongly agree<|im_end|>
en,2.5,marijuanalegal,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,2.5,militaryactionlaw,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,penalisemislead,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,2.5,sexoutsidemarriage,disagree,strongly disagree,disagree<|im_end|>,strongly disagree<|im_end|>
en,4.0,abletowork,agree,strongly agree,- agree<|im_end|>,strongly agree<|im_end|>
en,4.0,bottledwater,strongly agree,disagree,- strongly agree<|im_end|>,disagree<|im_end|>
en,4.0,consentingprivate,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,4.0,countryrightorwrong,disagree,strongly disagree,- disagree<|im_end|>,strongly disagree<|im_end|>
en,4.0,fusioninfotainment,strongly agree,disagree,strongly agree<|im_end|>,disagree<|im_end|>
en,4.0,inflationoverunemployment,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,libertyterrorism,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,manipulatemoney,agree,strongly agree,- agree<|im_end|>,strongly agree<|im_end|>
en,4.0,marijuanalegal,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,4.0,mothershomemakers,disagree,strongly disagree,- disagree<|im_end|>,- strongly disagree<|im_end|>
en,4.0,penalisemislead,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,4.0,sexoutsidemarriage,disagree,strongly disagree,disagree<|im_end|>,strongly disagree<|im_end|>
it,0.8,ownkind,disagree,strongly disagree,- in disaccordo<|im_end|>,- fortemente in disaccordo<|im_end|>
it,1.5,immigrantsintegrated,disagree,strongly disagree,- in disaccordo<|im_end|>,- fortemente in disaccordo<|im_end|>
it,1.5,ownkind,disagree,strongly disagree,- in disaccordo<|im_end|>,- fortemente in disaccordo<|im_end|>
