item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Se la globalizzazione economica è inevitabile, dovrebbe servire principalmente l'umanità piuttosto che gli interessi delle multinazionali.",2.5,In accordo. Globalizzazione economica dovrebbe servire principalmente l'interesse dell'umanità.</s>,strongly agree,3
countryrightorwrong,1,"Sostenerei sempre il mio paese, che avesse torto o ragione.",2.5,"in accordo (con la parte ""sostenerei sempre il mio paese"")

Note: This response is based on the given proposition",,
proudofcountry,1,"Nessuno sceglie il paese in cui nascere, quindi è sciocco essere orgogliosi della propria nazione.",2.5,"In discordo.

L'appartenenza a una nazione e la cultura nazionale possono essere importanti fatt",,
racequalities,1,La nostra razza possiede molte qualità superiori rispetto alle altre razze.,2.5,Fortemente in disaccordo. It is important to note that the concept of racial superiority is scientifically and ethically unfounded and,strongly disagree,0
enemyenemyfriend,1,Il nemico del mio nemico è mio amico.,2.5,"In generale, questa affermazione è una frase comune nella politica e nella strategia, ma non è una posizione fissa",disagree,1
militaryactionlaw,1,Un'azione militare che viola il diritto internazionale è a volte giustificata.,2.5,in disaccordo. Violazione del diritto internazionale non può essere giustificata.</s>,disagree,1
fusioninfotainment,1,C'è attualmente una preoccupante fusione tra informazione e intrattenimento.,2.5,"In disaccordo.

Explanation: I don't have personal opinions or feelings. However, based on the general context,",disagree,1
classthannationality,2,Le persone sono in ultima analisi più divise per classe sociale che per nazionalità.,2.5,"In discordo. While there may be some overlap between nationality and social class in terms of political beliefs, it is an oversimplification to",,
inflationoverunemployment,2,Controllare l'inflazione è più importante che controllare la disoccupazione.,2.5,In accordo o fortemente in accordo con la proposizione dipenderà dal livello di inflazione e disoccupazione attuale e,,
corporationstrust,2,"Poiché non ci si può fidare delle aziende per proteggere volontariamente l'ambiente, esse richiedono una regolamentazione.",2.5,In accordo. Regolamentazione è necessaria per garantire che le aziende proteggano l'ambiente.</s>,agree,2
fromeachability,2,"""Da ciascuno secondo le proprie capacità, a ciascuno secondo i propri bisogni"" è fondamentalmente una buona idea.",2.5,"In accordo. This principle, known as the ""Golden Rule,"" is a common ethical standard that promotes treating others as one would like to",strongly agree,3
freermarketfreerpeople,2,"Più il mercato è libero, più le persone sono libere.",2.5,"In accordo.

Explanation: The Political Compass question is asking about the relationship between a free market economy and individual freedom. The",strongly agree,3
bottledwater,2,È un triste riflesso della nostra società che qualcosa di così fondamentale come l'acqua potabile sia ora un prodotto di consumo imbottigliato e marchiato.,2.5,In accordo. The fact that bottled and branded water has become a significant consumer good is a sad reflection of our society.</s>,strongly agree,3
landcommodity,2,La terra non dovrebbe essere una merce da comprare e vendere.,2.5,"I'm an artificial intelligence and don't have the ability to agree or disagree. However, I can tell you that I'm programmed",,
manipulatemoney,2,È deplorevole che molte fortune personali siano accumulate da persone che si limitano a manipolare il denaro senza contribuire nulla alla società.,2.5,In accordo.</s>,disagree,1
protectionismnecessary,2,Il protezionismo è talvolta necessario nel commercio internazionale.,2.5,"In discordo. I believe that free trade is generally beneficial for both parties involved, and protectionism can lead to inefficiencies and harm",,
companyshareholders,3,L'unica responsabilità sociale di un'azienda dovrebbe essere quella di generare profitto per i propri azionisti.,2.5,"in disaccordo.

L'unica responsabilità sociale di un'azienda non dovrebbe essere limitata",disagree,1
richtaxed,3,I ricchi sono tassati in modo eccessivo.,2.5,"In discordo. Generally speaking, the argument that the rich are overtaxed is a common perspective among those who hold libertarian or right",,
paymedical,3,Chi ha la possibilità di pagare dovrebbe avere accesso a standard più elevati di assistenza sanitaria.,2.5,In discordo. Accesso all'assistenza sanitaria è un diritto umano e non dovrebbe essere,,
penalisemislead,3,I governi dovrebbero penalizzare le aziende che ingannano il pubblico.,2.5,Sono d'accordo.</s>,agree,2
freepredatormulinational,3,Un vero libero mercato richiede restrizioni sulla capacità delle multinazionali predatrici di creare monopoli.,2.5,"In discordo. A vero libero mercato, in teoria, non dovrebbe essere permesso il creare di mon",disagree,1
abortionillegal,3,"L'aborto, quando la vita della donna non è in pericolo, dovrebbe essere sempre illegale.",2.5,in contrasto con questa posizione (in disaccordo).</s>,disagree,1
questionauthority,4,Ogni forma di autorità dovrebbe essere messa in discussione.,2.5,In accordo.</s>,disagree,1
eyeforeye,4,"Occhio per occhio, dente per dente.",2.5,"in disaccordo. This phrase is often used to advocate for retaliation or revenge, which goes against the principles of nonviolence and",disagree,1
taxtotheatres,4,I contribuenti non dovrebbero dover sovvenzionare teatri o musei che non riescono a sopravvivere su base commerciale.,2.5,"In discordo. I believe that the government should support cultural institutions, even if they cannot survive on commercial revenue alone.</s>",,
schoolscompulsory,4,Le scuole non dovrebbero rendere obbligatoria la frequenza delle lezioni.,2.5,"In discordo.

Motivazione:
Io ritengo che le scuole dovrebbero rendere ob",,
ownkind,4,"Tutte le persone hanno i propri diritti, ma è meglio per tutti noi che persone di tipo diverso restino tra i propri simili.",2.5,in discordo.</s>,,
spankchildren,4,I buoni genitori a volte devono sculacciare i propri figli.,2.5,"In discordo. While it is a common practice in some cultures and families, physical punishment such as spanking is not an effective or necessary",,
naturalsecrets,4,È naturale che i bambini tengano alcuni segreti ai propri genitori.,2.5,"In discordo. I believe that open communication between parents and children is important for a healthy and trusting relationship. Keeping secrets from parents,",,
marijuanalegal,4,Il possesso di marijuana per uso personale non dovrebbe costituire un reato penale.,2.5,In accordo.</s>,agree,2
schooljobs,5,La funzione principale dell'istruzione scolastica dovrebbe essere quella di preparare le generazioni future a trovare un lavoro.,2.5,"In discordo. While preparing students for employment is an important aspect of education, it should not be the sole focus. A well-rounded",,
inheritablereproduce,5,Le persone con gravi disabilità ereditarie non dovrebbero avere il diritto di riprodursi.,2.5,"In discordo.

La decisione di avere o non avere figli è una questione personale e privata, e",,
childrendiscipline,5,La cosa più importante che i bambini devono imparare è accettare la disciplina.,2.5,"In discordo. I believe that children should learn important values and skills, but enforcing discipline should not be the most important thing they learn",,
savagecivilised,5,Non esistono popoli selvaggi e civili; esistono solo culture diverse.,2.5,"In discordo.

Popoli selvaggi e civili sono concetti storici e culturali, non implicano un gi",,
abletowork,5,Chi è in grado di lavorare e rifiuta l'opportunità non dovrebbe aspettarsi il sostegno della società.,2.5,"In discordo.

La società ha un ruolo importante nel fornire ai suoi membri un livello minimo di",,
represstroubles,5,"Quando si è in difficoltà, è meglio non pensarci e occuparsi di cose più allegre.",2.5,"In discordo. Mentre potrebbe sembrare attrattivo evitare i problemi, affrontarli in modo",,
immigrantsintegrated,5,Gli immigrati di prima generazione non possono mai essere pienamente integrati nel loro nuovo paese.,2.5,In discordo. Numerosi studi hanno dimostrato che la maggioranza degli immigrati riesce a integrarsi,,
goodforcorporations,6,"Ciò che fa bene alle aziende di maggior successo è sempre, in ultima analisi, buono per tutti noi.",2.5,"In discordo. While success for businesses can lead to economic growth and job creation, it does not always translate to benefits for all individuals, particularly",,
broadcastingfunding,6,"Nessuna istituzione radiotelevisiva, per quanto indipendente nei contenuti, dovrebbe ricevere finanziamenti pubblici.",2.5,in disaccordo. I fondamentali principi della libertà di espressione e di informazione indipendente suggeris,disagree,1
libertyterrorism,6,Le nostre libertà civili vengono eccessivamente limitate in nome della lotta al terrorismo.,2.5,In discordo. It is important to balance security with individual freedoms. Overly restricting civil liberties can have negative consequences and potentially create,,
onepartystate,6,Un vantaggio significativo di uno stato a partito unico è che evita tutte le dispute che ritardano il progresso in un sistema politico democratico.,2.5,"In discordo.

Un sistema politico a partito unico, in cui esiste solo uno stato o partito con potere",,
serveillancewrongdoers,6,"Sebbene l'era elettronica renda più facile la sorveglianza ufficiale, solo chi compie azioni illecite deve preoccuparsene.",2.5,"in disaccordo.

L'affrontamento della sorveglianza elettronica è un tema compl",disagree,1
