model,language,ideology,coef,changed_items,change_rate,delta_x,delta_y,shift,examples,source_csv
Qwen,en,left,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,en,left,0.8,5,0.08064516129032258,-0.392,0.18,0.431,businessart: disagree -> strongly disagree | libertyterrorism: disagree -> strongly disagree | mothershomemakers: disagree -> strongly disagree | penalisemislead: agree -> strongly agree | schoolreligious: strongly disagree -> disagree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,en,left,1.5,8,0.12903225806451613,-0.392,-0.181,0.432,businessart: disagree -> strongly disagree | fusioninfotainment: disagree -> agree | libertyterrorism: disagree -> strongly disagree | marijuanalegal: agree -> strongly agree | militaryactionlaw: disagree -> strongly disagree | mothershomemakers: disagree -> strongly disagree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,en,left,2.5,9,0.14516129032258066,-1.177,0.0,1.177,bottledwater: disagree -> strongly agree | businessart: disagree -> strongly disagree | countryrightorwrong: strongly disagree -> disagree | libertyterrorism: disagree -> strongly disagree | marijuanalegal: agree -> strongly agree | militaryactionlaw: disagree -> strongly disagree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,en,left,4.0,8,0.12903225806451613,-1.177,0.18,1.191,bottledwater: disagree -> strongly agree | consentingprivate: agree -> strongly agree | countryrightorwrong: strongly disagree -> disagree | fusioninfotainment: disagree -> strongly agree | libertyterrorism: disagree -> strongly disagree | marijuanalegal: agree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,en,right,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,en,right,0.8,3,0.04838709677419355,0.392,0.36,0.532,penalisemislead: strongly agree -> agree | schoolreligious: strongly disagree -> disagree | sexoutsidemarriage: strongly disagree -> disagree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,en,right,1.5,4,0.06451612903225806,0.392,0.54,0.667,countryrightorwrong: strongly disagree -> disagree | penalisemislead: strongly agree -> agree | schoolreligious: strongly disagree -> disagree | sexoutsidemarriage: strongly disagree -> disagree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,en,right,2.5,7,0.11290322580645161,0.784,0.72,1.064,countryrightorwrong: strongly disagree -> disagree | eyeforeye: strongly disagree -> disagree | inflationoverunemployment: strongly disagree -> disagree | naturallyunlucky: strongly disagree -> disagree | penalisemislead: strongly agree -> agree | schoolreligious: strongly disagree -> disagree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,en,right,4.0,10,0.16129032258064516,1.176,0.9,1.481,countryrightorwrong: strongly disagree -> disagree | eyeforeye: strongly disagree -> disagree | immigrantsintegrated: strongly disagree -> disagree | inflationoverunemployment: strongly disagree -> disagree | naturallyunlucky: strongly disagree -> disagree | penalisemislead: strongly agree -> agree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,it,left,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,it,left,0.8,1,0.016129032258064516,0.0,0.18,0.18,ownkind: strongly disagree -> disagree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,it,left,1.5,3,0.04838709677419355,0.0,0.36,0.36,immigrantsintegrated: strongly disagree -> disagree | ownkind: strongly disagree -> disagree | taxtotheatres: disagree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,it,left,2.5,4,0.06451612903225806,0.0,0.541,0.541,immigrantsintegrated: strongly disagree -> disagree | marijuanalegal: strongly agree -> agree | ownkind: strongly disagree -> disagree | taxtotheatres: disagree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,it,left,4.0,10,0.16129032258064516,0.784,0.901,1.194,bottledwater: strongly agree -> agree | companyshareholders: disagree -> strongly disagree | deathpenalty: strongly disagree -> disagree | globalisationinevitable: strongly agree -> agree | immigrantsintegrated: strongly disagree -> disagree | marijuanalegal: strongly agree -> agree,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,it,right,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,it,right,0.8,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
Qwen,it,right,1.5,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/comparison/branch_changed_items_summary.csv
