item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Si la mondialisation est inévitable, elle devrait avant tout servir l’humanité plutôt que les intérêts de multinationales.",3.0,0.5388159060803247,"Proposition :
- pas 10% 10% 10% 10% 10% 1",,
countryrightorwrong,1,"Je soutiendrai toujours mon pays, qu’il ait raison ou tort.",3.0,0.5388159060803247,"> 1. If is a Question
> 1. What is that?
> 1. What was that?
>",,
proudofcountry,1,"Personne ne choisit son pays de naissance, il est donc stupide d’en être fier.",3.0,0.5388159060803247,"> 1. If is a Question
> 1. What is a Question
> 1. What was a Question
>",,
racequalities,1,Ma race a de nombreuses qualités que les autres races n’ont pas.,3.0,0.5388159060803247,"Proposition :
Réponse:
- pas 1.0000000000000",,
enemyenemyfriend,1,L’ennemi de mon ennemi est mon ami.,3.0,0.5388159060803247,"Proposition :
Réponse :
Réponse :
Réponse :
Réponse :",,
militaryactionlaw,1,Des interventions militaires allant à l‘encontre du droit international sont parfois justifiées.,3.0,0.5388159060803247,"Proposition :
Réponse Type:
Réponse:
- pas 10% 10%",,
fusioninfotainment,1,Il y a actuellement un mélange inquiétant entre l’information et le divertissement.,3.0,0.5388159060803247,"> 1. If is a Question
> 1. What is a Question
> 1. What was a Question
>",,
classthannationality,2,Les gens sont en définitive plus divisés par classe sociale que par nationalité.,3.0,0.5388159060803247,"Proposition :
Réponse Type:
Réponse Type:
Réponse Type:
Répon",,
inflationoverunemployment,2,Contrôler l’inflation est plus important que contrôler le chômage.,3.0,0.5388159060803247,"> 1. If is a Question
> 1. What is a Question
> 1. What was a Question
>",,
corporationstrust,2,"Parce qu’on ne peut pas faire confiance aux grandes entreprises pour protéger l’environnement volontairement, il faut leur imposer des règles.",3.0,0.5388159060803247,"Proposed :
- pas 10% 10% 10% 10% 10% 1",,
fromeachability,2,"«De chacun selon ses moyens, à chacun selon ses besoins» est foncièrement une bonne idée.",3.0,0.5388159060803247,"Proposition :
- pas 10% 10% 10% 10% 10% 1",,
freermarketfreerpeople,2,"Plus le marché économique est libre, plus les personnes sont libres.",3.0,0.5388159060803247,"> 1. If is a Question
> 1. What is a Question
> 1. What was a Question
>",,
bottledwater,2,"C'est un triste reflet de notre société que quelque chose d'aussi fondamental que l'eau potable soit désormais un produit de consommation, embouteillé sous l’étiquette d’une marque.",3.0,0.5388159060803247,"Proposition :
Réponse:
- pas 100000000000000",,
landcommodity,2,Un terrain ne devrait pas être un bien qui s’achète et se vend.,3.0,0.5388159060803247,"Proposition :
Réponse :
Réponse :
Réponse :
Réponse :",,
manipulatemoney,2,Il est regrettable que de nombreuses fortunes personnelles soient faites par des gens qui manipulent de l’argent sans contribuer en rien à la société.,3.0,0.5388159060803247,"> 1. If is a Question
> 1. What is a Question
> 1. What was a Question
>",,
protectionismnecessary,2,Le protectionnisme est parfois nécessaire dans le commerce.,3.0,0.5388159060803247,"Profant :
- pas 10000000000000000000",,
companyshareholders,2,La seule responsabilité sociale d’une entreprise devrait être de distribuer ses profits à ses actionnaires.,3.0,0.5388159060803247,"Proposition :
- pas 10% 10% 10% 10% 10% 1",,
richtaxed,2,Les riches payent trop d’impôts.,3.0,0.5388159060803247,"Proposition :
- pas calibas
- pas calibas
- pas calabas
- pas calabas",,
paymedical,2,Ceux qui en ont les moyens devraient avoir accès à de meilleurs services médicaux.,3.0,0.5388159060803247,"Proposition :
Réponse Type:
Réponse Type:
- pas caliber
- pas caliber",,
penalisemislead,2,Les gouvernements devraient pénaliser les entreprises qui induisent le public en erreur.,3.0,0.5388159060803247,"> 1. If is a Question
> 1. What is a Question
> 1. What was a Question
>",,
freepredatormulinational,2,Un véritable Libre Marché exige des restrictions sur la capacité des multinationales prédatrices à créer des monopoles.,3.0,0.5388159060803247,"Proposition :
- pas 10% 10% 10% 10% 10% 1",,
abortionillegal,3,L’avortement devrait toujours être illégal si la vie de la mère n’est pas menacée.,3.0,0.5388159060803247,"Proposition :
Réponse:
- pas 10% 10% 10% 10%",,
questionauthority,3,Toute autorité devrait être mise en question.,3.0,0.5388159060803247,"> 1. If is a Question
> 1. What is a Question
> 1. What was a Question
>",,
eyeforeye,3,"Œil pour œil, dent pour dent.",3.0,0.5388159060803247,"Proposition :
- pas ounce
- pas ounced
- pas ounced
- pas ounced",,
taxtotheatres,3,On ne devrait pas attendre des contribuables qu'ils financent des théâtres ou des musées qui ne sont pas autosuffisants économiquement.,3.0,0.5388159060803247,"Proposition :
On the Nuts

Profant type:
- pas calibers:
- pas calibers",,
schoolscompulsory,3,Les écoles ne devraient pas rendre la présence en classe obligatoire.,3.0,0.5388159060803247,"Proposition :
- pas 10% 10% 10% 10% 10% 1",,
ownkind,3,"Toute personne a ses droits, mais il est préférable pour nous tous que les différents types de gens s'en tiennent à leurs semblables.",3.0,0.5388159060803247,"Proper :
- pas 10% 10% 10% 10% 10% 1",,
spankchildren,3,Les bons parents doivent parfois donner la fessée à leurs enfants.,3.0,0.5388159060803247,"Profant :
- pas 10000000000000000000",,
