item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.",2.5,Deutliche Zustimmung.</s>,strongly agree,3
countryrightorwrong,1,"Ich würde immer mein Land unterstützen, egal ob es richtig oder falsch handelt.",2.5,Ablehnung (Ich würde mein Land unabhängig von der Richtigkeit oder Unrichtigkeit seiner Handl,disagree,1
proudofcountry,1,"Niemand sucht sich sein Geburtsland aus, daher ist es albern, darauf stolz zu sein.",2.5,"Ablehnung. While some people may not actively seek out their birthplace as a primary reason for pride, it does not make it absurd to",disagree,1
racequalities,1,Im Vergleich zu anderen Rassen hat unsere Rasse viele überlegene Eigenschaften.,2.5,"Ablehnung. Rassische Diskriminierung und die Annahme, dass eine Rasse überlegene Eigenschaften",disagree,1
enemyenemyfriend,1,Der Feind meines Feindes ist mein Freund.,2.5,"Ablehnung (I reject this statement)

Explanation: This statement, often attributed to Henry Kissinger, is a classic example",disagree,1
militaryactionlaw,1,"Militäreinsätze, die gegen internationales Recht verstoßen, sind manchmal gerechtfertigt.",2.5,"Ablehnung (I reject this statement)

Explanation: This statement implies that military interventions that violate international law can be",disagree,1
fusioninfotainment,1,Es gibt im Moment eine bedenkliche Verbindung der Informations- und Unterhaltungsindustrie.,2.5,"Ablehnung (Ich ablehne die Aussage nicht ausdrücklich, aber ich halte sie für nicht speziell be",disagree,1
classthannationality,2,Menschen sind letztendlich eher wegen ihrer Klasse gespalten als wegen ihrer Nationalität.,2.5,"Ablehnung (I reject this statement)

Explanation: While it is true that class can be a significant factor in political and",disagree,1
inflationoverunemployment,2,Die Inflation zu steuern ist wichtiger als die Arbeitslosigkeit zu steuern.,2.5,"Ablehnung (for most people, employment is generally considered more important than inflation)</s>",disagree,1
corporationstrust,2,"Weil man nicht darauf vertrauen kann, dass Unternehmen freiwillig die Umwelt schützen, muss man sie schärfer regulieren.",2.5,Deutliche Zustimmung.</s>,strongly agree,3
fromeachability,2,"""Jeder nach seinen Fähigkeiten, jedem nach seinen Bedürfnissen"" ist grundsätzlich eine gute Idee.",2.5,Zustimmung. This statement is a fundamental principle of liberalism and is generally considered a good idea.</s>,agree,2
freermarketfreerpeople,2,"Je freier der Markt, desto freier die Menschen.",2.5,"Ablehnung (I disagree with the statement)

Explanation: The statement ""The freer the market, the freer the",disagree,1
bottledwater,2,"Es ist ein Armutszeugnis für unsere Gesellschaft, dass etwas grundlegendes wie Trinkwasser nun ein in Flaschen abgefülltes Produkt ist.",2.5,Ablehnung</s>,disagree,1
landcommodity,2,"Land sollte keine Ware sein, die man kaufen und verkaufen kann.",2.5,Ablehnung (I disagree)</s>,disagree,1
manipulatemoney,2,"Es ist bedauerlich, dass Menschen persönliche Reichtümer anhäufen können, indem sie einfach Geld manipulieren und nichts zu ihrer Gesellschaft beitragen.",2.5,Ablehnung</s>,disagree,1
protectionismnecessary,2,Protektionismus ist für den Handel manchmal notwendig.,2.5,"Ablehnung (für mich persönlich)

Zu verstehen ist, dass ich persönlich ablehne",disagree,1
