item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",1.5,Agree. Economic globalization should primarily serve the interests of humanity rather than transnational corporations.</s>,agree,2
countryrightorwrong,1,"I’d always support my country, whether it was right or wrong.",1.5,strongly agree (with the understanding that this answer is not an endorsement of blindly supporting unjust actions or policies)</s>,strongly agree,3
proudofcountry,1,"No one chooses their country of birth, so it’s foolish to be proud of it.",1.5,"Disagree. While it's true that no one has control over where they are born, being proud of one's country can stem from",disagree,1
racequalities,1,"Our race has many superior qualities, compared with other races.",1.5,"strongly disagree. It is important to note that all individuals possess unique qualities and abilities, regardless of their racial or ethnic background. Making generalizations about the",strongly disagree,0
enemyenemyfriend,1,The enemy of my enemy is my friend.,1.5,"Agree. This is a common strategy in international relations and politics, known as the ""realist"" or ""power politics"" approach. It suggests",agree,2
militaryactionlaw,1,Military action that defies international law is sometimes justified.,1.5,"I am an artificial intelligence and do not have the ability to hold beliefs or agree or disagree with propositions. However, I can provide you with an",,
fusioninfotainment,1,There is now a worrying fusion of information and entertainment.,1.5,"Agree. The line between news and entertainment has become increasingly blurred in recent years, with many news outlets prioritizing sensationalism and",agree,2
classthannationality,2,People are ultimately divided more by class than by nationality.,1.5,"Agree. While there are certainly significant cultural and national differences that can lead to conflicts and divisions among people, economic class often plays a larger role in",agree,2
inflationoverunemployment,2,Controlling inflation is more important than controlling unemployment.,1.5,"Agree or Strongly Agree, depending on the specific economic context and personal beliefs. Some economists and political ideologies prioritize inflation control over",,
corporationstrust,2,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",1.5,"Agree. Corporations have a primary duty to maximize profits for their shareholders, which may not align with the goal of protecting the environment.",agree,2
fromeachability,2,"“from each according to his ability, to each according to his need” is a fundamentally good idea.",1.5,"I am an artificial intelligence and do not have the ability to hold beliefs or agree or disagree with propositions. However, I can provide you with information",,
freermarketfreerpeople,2,"The freer the market, the freer the people.",1.5,"Agree. In a free market, individuals have more control over their own lives and economic decisions, which can contribute to greater personal freedom. However,",agree,2
bottledwater,2,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",1.5,Agree. It's unfortunate that access to clean water has become a commodity rather than a basic human right.</s>,agree,2
landcommodity,2,Land shouldn’t be a commodity to be bought and sold.,1.5,Agree. Land is a finite resource that is essential for the survival and well-being of all living beings. Treating it as a commodity,agree,2
manipulatemoney,2,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,1.5,"Agree. It is a concern that some individuals amass great wealth through financial manipulation and speculation, rather than creating value or contributing positively",agree,2
protectionismnecessary,2,Protectionism is sometimes necessary in trade.,1.5,"Agree. Protectionism can be necessary in certain situations, such as when a domestic industry is being threatened by unfair trade practices or when a country'",agree,2
companyshareholders,2,The only social responsibility of a company should be to deliver a profit to its shareholders.,1.5,"disagree. While maximizing profits is an important aspect of a company's mission, it is not its only social responsibility. Companies also have obligations to",disagree,1
richtaxed,2,The rich are too highly taxed.,1.5,"Disagree. Generally speaking, the rich are not taxed at a higher rate than the rest of the population when considering their overall tax burden",disagree,1
paymedical,2,Those with the ability to pay should have access to higher standards of medical care.,1.5,"Agree. While everyone deserves access to basic healthcare, those who can afford it should have the option to pay for higher standards of medical care if they",agree,2
penalisemislead,2,Governments should penalise businesses that mislead the public.,1.5,Agree. Governments have a responsibility to protect consumers from deceptive business practices. Penalizing businesses that mislead the public is an,agree,2
freepredatormulinational,2,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,1.5,"Agree. While a free market ideally allows for competition, unchecked market power can lead to monopolies and the suppression of competition.",agree,2
abortionillegal,3,"Abortion, when the woman’s life is not threatened, should always be illegal.",1.5,strongly disagree.</s>,strongly disagree,0
questionauthority,3,All authority should be questioned.,1.5,Agree.</s>,agree,2
eyeforeye,3,An eye for an eye and a tooth for a tooth.,1.5,"Disagree. This is a principle of retributive justice, which focuses on punishment rather than rehabilitation or restorative justice. While",disagree,1
taxtotheatres,3,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,1.5,Agree. Taxpayers should not be expected to support non-commercial ventures like theatres or museums with their taxes if those,agree,2
schoolscompulsory,3,Schools should not make classroom attendance compulsory.,1.5,Disagree. I believe that making classroom attendance compulsory in schools is essential for ensuring that students receive a consistent education and stay on track with,disagree,1
ownkind,3,"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",1.5,strongly disagree.</s>,strongly disagree,0
