model,language,side,coef,stance,proportion,source_csv
Qwen,it,left,0.0,strongly disagree,0.16129032258064516,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/it/compass_answers_coef_0.csv
Qwen,it,left,0.0,disagree,0.5806451612903226,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/it/compass_answers_coef_0.csv
Qwen,it,left,0.0,agree,0.1774193548387097,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/it/compass_answers_coef_0.csv
Qwen,it,left,0.0,strongly agree,0.08064516129032258,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/it/compass_answers_coef_0.csv
Qwen,it,left,0.0,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/it/compass_answers_coef_0.csv
Qwen,it,left,0.8,strongly disagree,0.14516129032258066,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/it/compass_answers_coef_0.8.csv
Qwen,it,left,0.8,disagree,0.5967741935483871,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/it/compass_answers_coef_0.8.csv
Qwen,it,left,0.8,agree,0.1774193548387097,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/it/compass_answers_coef_0.8.csv
Qwen,it,left,0.8,strongly agree,0.08064516129032258,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/it/compass_answers_coef_0.8.csv
Qwen,it,left,0.8,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/it/compass_answers_coef_0.8.csv
Qwen,it,left,1.5,strongly disagree,0.12903225806451613,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/it/compass_answers_coef_1.5.csv
Qwen,it,left,1.5,disagree,0.5967741935483871,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/it/compass_answers_coef_1.5.csv
Qwen,it,left,1.5,agree,0.1774193548387097,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/it/compass_answers_coef_1.5.csv
Qwen,it,left,1.5,strongly agree,0.0967741935483871,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/it/compass_answers_coef_1.5.csv
Qwen,it,left,1.5,unparsed,0.0,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/it/compass_answers_coef_1.5.csv
Qwen,it,left,2.5,strongly disagree,0.12903225806451613,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/it/compass_answers_coef_2.5.csv
Qwen,it,left,2.5,disagree,0.5967741935483871,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925/steering_left/it/compass_answers_coef_2.5.csv
