language,coef,item_id,left_choice,right_choice,left_raw,right_raw
en,0.0,penalisemislead,agree,strongly agree,agree<|im_end|>,strongly agree<|im_end|>
en,0.8,businessart,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,0.8,libertyterrorism,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,0.8,mothershomemakers,strongly disagree,disagree,- strongly disagree<|im_end|>,- disagree<|im_end|>
en,0.8,penalisemislead,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,0.8,sexoutsidemarriage,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,1.5,businessart,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,1.5,countryrightorwrong,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,1.5,fusioninfotainment,agree,disagree,agree<|im_end|>,disagree<|im_end|>
en,1.5,libertyterrorism,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,1.5,marijuanalegal,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,1.5,militaryactionlaw,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,1.5,mothershomemakers,strongly disagree,disagree,- strongly disagree<|im_end|>,- disagree<|im_end|>
en,1.5,penalisemislead,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,1.5,sexoutsidemarriage,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,bottledwater,strongly agree,disagree,- strongly agree<|im_end|>,disagree<|im_end|>
en,2.5,businessart,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,eyeforeye,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,inflationoverunemployment,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,libertyterrorism,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,marijuanalegal,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,2.5,militaryactionlaw,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,mothershomemakers,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,naturallyunlucky,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,2.5,penalisemislead,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,2.5,schoolreligious,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,bottledwater,strongly agree,disagree,- strongly agree<|im_end|>,disagree<|im_end|>
en,4.0,consentingprivate,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,4.0,eyeforeye,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,fusioninfotainment,strongly agree,disagree,strongly agree<|im_end|>,disagree<|im_end|>
en,4.0,immigrantsintegrated,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,inflationoverunemployment,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,libertyterrorism,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,marijuanalegal,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,4.0,naturallyunlucky,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,penalisemislead,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
en,4.0,richtaxed,strongly disagree,disagree,- strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,schoolreligious,strongly disagree,disagree,strongly disagree<|im_end|>,disagree<|im_end|>
en,4.0,taxtotheatres,strongly agree,agree,strongly agree<|im_end|>,agree<|im_end|>
it,0.8,ownkind,disagree,strongly disagree,- in disaccordo<|im_end|>,- fortemente in disaccordo<|im_end|>
it,1.5,immigrantsintegrated,disagree,strongly disagree,- in disaccordo<|im_end|>,- fortemente in disaccordo<|im_end|>
it,1.5,ownkind,disagree,strongly disagree,- in disaccordo<|im_end|>,- fortemente in disaccordo<|im_end|>
it,1.5,taxtotheatres,strongly agree,disagree,- fortemente d'accordo<|im_end|>,- in disaccordo<|im_end|>
it,2.5,immigrantsintegrated,disagree,strongly disagree,- in disaccordo<|im_end|>,- fortemente in disaccordo<|im_end|>
it,2.5,marijuanalegal,agree,strongly agree,d'accordo<|im_end|>,fortemente d'accordo<|im_end|>
it,2.5,ownkind,disagree,strongly disagree,- in disaccordo<|im_end|>,- fortemente in disaccordo<|im_end|>
