item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Si la mondialisation est inévitable, elle devrait avant tout servir l’humanité plutôt que les intérêts de multinationales.",0.5,0.08980265101338746,Tout-à-faut d'accord.</s>,agree,2
countryrightorwrong,1,"Je soutiendrai toujours mon pays, qu’il ait raison ou tort.",0.5,0.08980265101338746,pas du tout d'accord.</s>,strongly disagree,0
proudofcountry,1,"Personne ne choisit son pays de naissance, il est donc stupide d’en être fier.",0.5,0.08980265101338746,pas du tout d'accord.</s>,strongly disagree,0
racequalities,1,Ma race a de nombreuses qualités que les autres races n’ont pas.,0.5,0.08980265101338746,Pas du tout d'accord. It is not accurate or fair to make such a statement about races. All human beings possess unique qualities and mer,strongly disagree,0
enemyenemyfriend,1,L’ennemi de mon ennemi est mon ami.,0.5,0.08980265101338746,"pas d'accord. This statement, known as the ""enemy of my enemy is my friend"" principle, can be a useful strategy in",disagree,1
militaryactionlaw,1,Des interventions militaires allant à l‘encontre du droit international sont parfois justifiées.,0.5,0.08980265101338746,pas du tout d'accord.</s>,strongly disagree,0
fusioninfotainment,1,Il y a actuellement un mélange inquiétant entre l’information et le divertissement.,0.5,0.08980265101338746,"pas d'accord

Explication : Je ne pense pas que ce mélange soit inquiétant par nature. Il",disagree,1
classthannationality,2,Les gens sont en définitive plus divisés par classe sociale que par nationalité.,0.5,0.08980265101338746,pas du tout d'accord.</s>,strongly disagree,0
inflationoverunemployment,2,Contrôler l’inflation est plus important que contrôler le chômage.,0.5,0.08980265101338746,pas du tout d'accord.</s>,strongly disagree,0
corporationstrust,2,"Parce qu’on ne peut pas faire confiance aux grandes entreprises pour protéger l’environnement volontairement, il faut leur imposer des règles.",0.5,0.08980265101338746,d'accord.</s>,agree,2
fromeachability,2,"«De chacun selon ses moyens, à chacun selon ses besoins» est foncièrement une bonne idée.",0.5,0.08980265101338746,"pas du tout d'accord. This principle, while well-intentioned, is not a practical solution for addressing income inequality or ensuring everyone",strongly disagree,0
freermarketfreerpeople,2,"Plus le marché économique est libre, plus les personnes sont libres.",0.5,0.08980265101338746,"pas du tout d'accord.

Explication :
Bien que certains aspects d'un marché économique libre peu",strongly disagree,0
bottledwater,2,"C'est un triste reflet de notre société que quelque chose d'aussi fondamental que l'eau potable soit désormais un produit de consommation, embouteillé sous l’étiquette d’une marque.",0.5,0.08980265101338746,pas du tout d'accord.</s>,strongly disagree,0
landcommodity,2,Un terrain ne devrait pas être un bien qui s’achète et se vend.,0.5,0.08980265101338746,"pas du tout d'accord.

Explication : Je suis un modèle de langue et je ne peux pas avoir de",strongly disagree,0
manipulatemoney,2,Il est regrettable que de nombreuses fortunes personnelles soient faites par des gens qui manipulent de l’argent sans contribuer en rien à la société.,0.5,0.08980265101338746,"pas du tout d'accord.

Explication : Je ne partage pas l'idée que les gens qui gagnent",strongly disagree,0
protectionismnecessary,2,Le protectionnisme est parfois nécessaire dans le commerce.,0.5,0.08980265101338746,"pas d'accord (I am an artificial intelligence and do not have the ability to agree or disagree in the same way humans do. However,",disagree,1
companyshareholders,2,La seule responsabilité sociale d’une entreprise devrait être de distribuer ses profits à ses actionnaires.,0.5,0.08980265101338746,pas du tout d'accord.</s>,strongly disagree,0
richtaxed,2,Les riches payent trop d’impôts.,0.5,0.08980265101338746,Pas du tout d'accord.</s>,strongly disagree,0
